Week,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,USA
2014.30,00.53,00.18,01.13,00.74,00.53,00.63,01.22,00.16,00.78,00.91,00.81
2014.31,00.48,00.42,01.26,00.76,00.44,00.65,01.37,00.17,00.58,00.84,00.82
2014.32,00.48,00.22,01.16,00.66,00.53,00.70,01.21,00.17,00.61,00.75,00.78
2014.33,00.54,00.18,01.13,00.79,00.58,00.70,01.24,00.28,00.71,00.78,00.85
2014.34,00.50,00.26,01.10,00.78,00.67,00.75,01.32,00.15,00.70,00.81,00.83
2014.35,00.47,00.15,01.17,00.89,00.69,00.68,01.52,00.21,00.75,01.00,00.91
2014.36,00.54,00.22,01.19,00.98,00.74,00.93,01.72,00.35,00.42,01.12,01.05
2014.37,00.52,00.27,01.33,01.29,00.74,01.30,01.80,00.32,01.08,01.26,01.17
2014.38,00.60,00.59,01.63,01.40,00.80,01.34,01.90,00.35,00.93,01.34,01.28
2014.39,00.64,00.37,01.79,01.41,01.01,01.14,01.81,00.28,00.92,01.32,01.30
2014.40,00.68,00.55,01.65,01.32,00.91,01.01,01.65,00.44,00.81,01.50,01.21
2014.41,00.75,01.00,01.61,01.56,01.16,01.04,01.85,00.54,00.87,01.55,01.32
2014.42,00.78,00.84,01.95,01.54,01.04,01.14,02.20,00.56,00.90,01.48,01.41
2014.43,00.63,00.80,01.95,01.50,01.22,01.19,02.19,00.56,01.06,01.42,01.43
2014.44,00.81,00.94,01.84,01.55,01.22,01.27,02.21,00.47,00.99,01.47,01.44
2014.45,00.94,01.16,02.07,01.54,01.51,01.42,02.54,00.50,01.05,01.71,01.62
2014.46,00.88,01.13,01.95,01.57,01.74,01.52,02.61,00.58,01.20,01.73,01.66
2014.47,00.81,01.29,02.18,01.79,02.30,01.82,03.68,00.65,01.25,01.85,02.01
2014.48,01.01,01.33,02.45,02.23,03.09,02.60,04.81,01.01,01.67,02.18,02.62
2014.49,00.98,01.53,02.34,02.29,03.16,03.12,04.65,00.97,01.73,01.95,02.61
2014.50,01.16,01.79,02.56,03.10,04.50,04.43,06.05,02.07,02.33,02.15,03.42
2014.51,01.25,02.56,02.89,04.99,06.44,05.21,07.90,02.52,02.96,02.48,04.47
2014.52,01.99,03.69,03.87,09.00,08.18,06.12,07.36,03.29,04.45,03.78,06.11
2014.53,01.96,04.46,03.81,08.12,05.32,04.57,07.30,03.01,04.52,04.37,05.31
2015.01,01.91,03.33,03.36,05.89,03.68,03.09,05.71,04.73,03.45,03.87,04.08
2015.02,02.56,03.73,03.61,04.73,03.21,02.48,06.58,04.01,03.57,04.29,03.94
2015.03,03.78,03.68,03.92,04.56,03.66,02.20,06.21,04.96,03.51,04.85,04.15
2015.04,03.47,03.18,03.77,04.34,03.53,01.99,05.36,04.92,03.11,04.63,03.88
2015.05,03.20,02.46,03.61,03.37,03.11,01.99,05.04,03.85,02.92,04.05,03.46
2015.06,02.79,02.14,03.31,02.80,02.88,02.00,04.53,03.08,02.41,03.63,03.06
2015.07,02.32,01.53,02.65,02.54,03.18,01.99,04.16,02.75,02.19,03.15,02.83
2015.08,01.67,01.44,02.24,01.76,02.75,01.84,03.69,02.71,01.84,02.79,02.36
2015.09,01.61,01.41,01.99,01.82,02.67,02.04,03.63,02.72,01.92,02.58,02.33
2015.10,01.54,01.44,01.94,01.58,02.23,02.08,03.70,02.95,01.66,02.62,02.21
2015.11,01.40,01.47,02.07,01.59,01.78,02.21,03.26,02.38,01.66,02.33,02.08
2015.12,01.39,01.15,02.13,01.81,01.62,02.26,02.94,02.05,01.48,02.02,02.01
2015.13,01.45,01.15,02.02,01.80,01.45,02.18,02.77,01.93,01.57,02.11,01.94
2015.14,01.30,00.84,01.83,01.74,01.29,01.98,02.32,01.58,01.38,01.94,01.75
2015.15,01.21,01.00,01.55,01.45,01.05,01.62,02.09,01.24,01.19,01.77,01.50
2015.16,01.18,01.12,01.61,01.42,01.04,01.42,01.74,01.17,01.40,01.69,01.43
2015.17,00.88,01.32,01.58,01.51,00.99,01.42,02.03,01.25,01.17,01.76,01.46
2015.18,00.86,00.76,01.66,01.41,01.00,01.27,01.98,00.88,01.20,01.79,01.43
2015.19,00.64,00.82,01.57,01.29,01.09,01.20,01.91,00.94,00.91,01.72,01.35
2015.20,00.66,01.27,01.63,01.29,00.99,01.11,01.82,00.67,00.90,01.75,01.33
