Week,D01.tc,D02.tc,D03.tc,D04.tc,D05.tc,D06.tc,D07.tc,D08.tc,D09.tc,MS.tc
2013.32,2,3,2,1,13,1,3,0,2,27
2013.33,2,2,2,5,12,0,0,6,2,31
2013.34,0,0,1,0,11,1,3,3,3,22
2013.35,2,5,0,3,12,0,0,0,5,27
2013.36,1,6,0,0,12,0,2,2,2,25
2013.37,0,5,1,2,18,2,0,1,1,30
2013.38,5,10,0,3,31,4,0,0,5,58
2013.39,4,12,2,3,27,1,0,3,12,64
2013.40,4,23,2,9,36,3,0,4,8,89
2013.41,0,26,6,8,56,5,11,11,14,137
2013.42,3,22,0,7,42,3,2,10,6,95
2013.43,2,24,2,14,74,2,1,7,8,134
2013.44,5,20,2,6,73,2,2,10,18,138
2013.45,9,18,2,2,57,2,1,17,12,120
2013.46,6,9,8,3,78,3,0,8,15,130
2013.47,7,6,7,11,55,3,2,19,21,131
2013.48,5,29,2,10,62,4,1,8,13,134
2013.49,12,21,1,15,60,5,2,12,11,139
2013.50,9,15,7,5,101,3,4,5,8,157
2013.51,17,31,6,20,95,2,3,13,8,195
2013.52,17,20,0,14,56,8,7,9,13,144
2014.01,15,24,4,14,109,4,2,17,21,210
2014.02,26,39,10,16,120,10,4,25,19,269
2014.03,11,30,6,18,79,5,4,17,8,178
2014.04,11,16,6,8,94,3,0,8,10,156
2014.05,10,16,1,11,62,2,5,8,13,128
2014.06,3,21,2,19,61,2,1,4,14,127
2014.07,10,21,0,11,30,1,1,5,4,83
2014.08,1,7,0,6,35,2,2,10,5,68
2014.09,6,1,0,2,27,1,0,5,5,47
2014.10,4,3,1,2,17,2,0,6,0,35
2014.11,1,3,1,2,22,0,0,3,3,35
2014.12,4,4,1,0,693,2,0,3,7,714
2014.13,0,4,1,1,19,1,0,2,2,30
2014.14,4,4,1,3,20,1,1,4,3,41
2014.15,0,5,4,1,12,3,3,3,2,33
2014.16,2,3,0,1,17,1,0,1,3,28
2014.17,0,3,1,1,11,3,0,3,1,23
2014.18,1,3,0,0,9,0,0,0,5,18
2014.19,1,3,1,1,9,0,0,3,2,20
2014.20,0,1,0,1,11,2,1,1,1,18
2014.21,1,7,0,0,6,0,1,1,1,17
2014.22,3,2,0,0,8,0,1,1,1,16
2014.23,3,10,4,0,38,2,4,11,3,75
2014.24,0,2,0,1,10,3,3,0,1,20
2014.25,0,1,0,2,17,0,1,1,1,23
2014.26,2,0,0,2,10,0,0,2,6,22
2014.27,2,1,0,0,5,1,0,1,0,10
2014.28,5,4,0,0,4,2,0,1,1,17
2014.29,1,1,0,0,6,5,0,2,4,19
2014.30,0,1,0,1,8,3,0,1,1,15
2014.31,1,1,1,14,26,0,0,1,1,45
2014.32,5,1,0,0,9,0,0,2,5,22
2014.33,0,0,0,0,24,0,0,0,1,25
2014.34,0,7,0,0,12,1,0,2,4,26
2014.35,0,3,0,0,16,1,0,1,0,21
2014.36,1,8,0,0,14,0,0,4,4,31
2014.37,3,6,1,1,15,0,1,4,1,32
2014.38,1,15,2,5,35,0,1,5,4,68
2014.39,2,6,0,10,39,0,0,20,6,83
2014.40,3,27,1,10,65,0,6,6,8,126
2014.41,6,10,1,7,63,2,6,7,5,107
2014.42,2,12,2,9,90,2,1,9,10,137
2014.43,4,10,7,16,74,1,0,8,10,130
2014.44,3,19,1,5,75,2,1,6,7,119
2014.45,3,7,6,4,60,1,5,16,9,111
2014.46,2,7,0,4,50,1,1,10,3,78
2014.47,2,24,1,1,65,2,1,10,4,110
2014.48,5,10,1,5,49,0,1,5,10,86
2014.49,5,22,1,10,90,2,1,15,8,154
2014.50,6,25,1,4,121,4,8,11,11,191
2014.51,10,37,3,24,131,9,5,17,13,249
2014.52,9,23,3,13,114,10,3,24,15,214
2014.53,15,23,0,11,137,4,5,20,13,228
2015.01,4,22,0,4,88,3,2,17,17,157
2015.02,2,16,6,7,84,3,5,14,10,147
2015.03,5,21,0,2,49,3,0,6,13,99
2015.04,3,16,2,11,86,2,0,10,9,139
2015.05,5,18,4,17,74,4,1,8,8,139
2015.06,7,14,1,6,42,0,1,4,9,84
2015.07,4,5,0,8,34,0,2,7,4,64
2015.08,3,9,1,1,53,2,3,7,4,83
2015.09,0,4,4,5,48,0,3,11,4,79
2015.10,1,5,1,4,104,0,3,8,4,130
2015.11,0,4,0,1,34,0,8,4,4,55
2015.12,0,5,0,0,45,1,0,5,3,59
2015.13,0,0,0,3,22,1,1,0,4,31
2015.14,1,2,0,2,27,0,2,3,5,42
2015.15,3,2,0,0,35,0,0,3,6,49
2015.16,3,1,0,2,47,0,0,2,6,61
2015.17,1,5,0,2,27,0,0,4,2,41
2015.18,0,4,0,1,15,0,0,3,7,30
2015.19,1,1,0,1,27,1,3,3,12,49
2015.20,1,2,0,2,20,0,0,3,4,32
2015.21,0,2,0,0,29,0,1,0,3,35
2015.22,0,2,0,1,23,0,0,3,1,30
2015.23,2,2,0,1,40,1,1,3,2,52
2015.24,0,0,0,2,16,0,0,2,0,20
2015.25,1,1,0,0,13,0,0,2,0,17
2015.26,1,1,0,0,18,0,0,1,2,23
2015.27,0,1,0,0,18,0,0,1,1,21
2015.28,1,0,0,1,21,0,0,2,0,25
2015.29,2,0,0,0,19,0,0,3,2,26
2015.30,0,0,0,0,3,0,0,0,0,3
2015.31,0,0,0,0,12,2,1,0,1,16
2015.32,2,2,0,0,12,0,0,1,3,20
2015.33,0,2,0,2,17,1,2,1,2,27
2015.34,1,5,1,2,22,0,0,4,1,36
2015.35,3,7,1,2,20,0,0,3,1,37
2015.36,5,8,1,3,26,0,1,4,4,52
2015.37,7,12,0,5,40,0,0,6,3,73
2015.38,0,20,0,3,49,0,7,2,5,86
2015.39,7,22,1,14,59,4,4,1,5,117
2015.40,5,35,2,19,75,1,0,8,9,154
2015.41,2,21,14,8,89,5,1,4,6,150
2015.42,4,11,42,9,51,2,1,2,6,128
2015.43,5,13,40,9,58,3,0,7,6,141
2015.44,4,19,43,6,49,3,0,2,3,129
2015.45,0,7,23,2,46,2,0,5,3,88
2015.46,4,5,14,7,42,0,1,3,4,80
2015.47,2,8,2,10,56,1,1,7,5,92
2015.48,4,3,0,5,54,0,0,8,10,84
2015.49,10,5,3,4,42,4,3,4,3,78
2015.50,4,3,0,2,33,2,0,3,5,52
2015.51,2,5,2,2,30,0,2,1,3,47
2015.52,2,6,1,4,34,1,1,3,2,54
2016.01,3,2,1,4,47,1,1,6,3,68
2016.02,5,4,1,1,59,1,1,6,3,81
2016.03,7,8,1,2,34,2,4,5,6,69
2016.04,2,2,0,5,40,3,0,1,3,56
2016.05,5,6,0,7,39,2,6,6,12,83
2016.06,0,3,1,6,35,4,1,0,5,55
2016.07,1,12,5,2,66,3,0,4,9,102
2016.08,6,13,1,6,47,0,4,6,3,86
2016.09,4,18,3,5,104,1,5,1,3,144
2016.10,6,12,1,3,47,2,0,6,3,80
2016.11,4,9,0,8,32,3,0,7,2,65
2016.12,3,8,0,9,31,2,0,1,5,59
2016.13,2,5,1,5,21,3,3,2,4,46
2016.14,4,9,1,3,25,3,0,2,1,48
2016.15,2,5,4,3,31,2,0,4,3,54
2016.16,5,9,3,5,43,2,0,5,6,78
2016.17,1,2,0,5,32,0,0,3,1,44
2016.18,0,6,0,1,25,1,0,2,3,38
2016.19,2,5,2,4,20,0,3,1,1,38
2016.20,1,5,7,1,28,0,2,1,0,45
2016.21,6,12,4,9,36,6,0,2,6,81
2016.22,0,1,0,0,8,1,0,0,1,11
