Week,D01.all,D01.allV%,D01.65+,D01.65+V%,D02.all,D02.allV%,D02.65+,D02.65+V%,D03.all,D03.allV%,D03.65+,D03.65+V%,D04.all,D04.allV%,D04.65+,D04.65+V%,D05.all,D05.allV%,D05.65+,D05.65+V%,D06.all,D06.allV%,D06.65+,D06.65+V%,D07.all,D07.allV%,D07.65+,D07.65+V%,D08.all,D08.allV%,D08.65+,D08.65+V%,D09.all,D09.allV%,D09.65+,D09.65+V%,MS.all,MS.allV%,MS.65+,MS.65+V%
2012.32,14489,0.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,35155,0.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22280,0.19,0,0.00,71924,0.11,0,0.00
2012.33,14489,0.23,0,0.00,19313,0.15,0,0.00,0,0.00,0,0.00,7870,0.25,0,0.00,43978,0.23,0,0.00,10897,0.10,0,0.00,15633,0.39,0,0.00,19849,0.24,0,0.00,35061,0.47,0,0.00,167090,0.28,0,0.00
2012.34,26143,0.63,12411,0.75,41960,0.36,0,0.00,14357,0.32,0,0.00,13629,0.33,0,0.00,57225,0.39,0,0.00,13779,0.30,0,0.00,15633,0.60,0,0.00,19849,0.41,0,0.00,35061,0.61,11887,0.57,237636,0.45,24298,0.66
2012.35,29042,1.63,18476,1.93,50191,0.84,24769,1.01,22461,0.85,3308,0.91,23124,0.64,6155,0.94,60887,0.99,38564,1.09,28519,0.72,2463,1.02,22669,1.30,7803,1.94,34366,0.94,8426,1.82,40833,1.61,27858,1.77,312092,1.06,137822,1.41
2012.36,36960,3.01,18476,4.34,55143,1.81,34434,2.00,29864,1.83,16429,2.28,32813,1.27,7994,2.10,61867,2.44,38564,2.83,34414,1.88,18613,2.26,25124,2.59,14334,3.32,37457,2.21,21441,2.80,40833,3.10,32336,3.31,354475,2.25,202621,2.81
2012.37,36960,5.40,24664,6.47,55143,3.52,37318,3.82,31263,3.52,18205,4.29,32813,2.80,22724,3.11,61867,4.94,48804,5.34,34414,3.68,24282,4.17,26492,4.52,15911,5.70,37457,3.85,25627,4.52,40833,5.17,32336,5.61,357242,4.21,249871,4.81
2012.38,36960,8.54,27186,9.76,55143,5.99,41614,6.60,31263,5.42,21863,6.22,34763,4.82,25007,5.20,61867,7.94,48804,8.73,34414,5.74,25722,6.41,26492,7.27,19296,8.19,37457,6.18,25627,7.36,40833,7.57,32336,8.24,359192,6.69,267455,7.51
2012.39,36960,13.48,28806,14.93,55143,10.06,41614,11.08,31263,8.80,21863,10.14,34763,8.13,26330,8.75,62669,12.67,48804,14.29,34414,9.48,26815,10.60,26492,11.79,19296,13.33,37457,10.08,28173,11.44,40833,11.48,32336,12.59,359994,10.80,274037,12.08
2012.40,36960,19.41,28806,21.57,55143,15.85,41614,17.60,31263,13.16,21863,15.28,34763,13.05,26330,14.30,62669,18.54,49521,20.86,34414,15.03,26815,16.71,26492,17.03,20314,19.04,37457,15.07,29145,16.48,40833,15.86,32336,17.39,359994,16.11,276744,17.98
2012.41,36960,24.95,28806,27.88,55143,21.56,41614,23.96,31263,17.95,22850,20.45,34763,17.88,26330,19.60,62669,23.74,50127,26.39,34414,19.73,26815,21.89,26492,21.73,20314,24.35,37457,19.57,29145,21.62,40833,20.04,32336,22.10,359994,21.08,278337,23.47
2012.42,36960,29.71,28806,33.25,55143,26.43,41614,29.50,31263,21.60,22850,24.82,34763,22.98,26330,25.31,62669,27.97,50127,31.08,34414,23.85,26815,26.56,26492,25.93,20314,29.09,37457,23.69,29145,26.34,40833,23.75,32336,26.28,359994,25.41,278337,28.37
2012.43,36960,33.19,28806,37.02,55143,30.94,41614,34.66,31263,24.85,22850,28.63,34763,26.90,26330,29.65,62669,31.14,50127,34.57,34414,27.57,26815,30.80,26492,29.41,20314,33.08,37457,27.28,29145,30.41,40833,26.84,32336,29.68,359994,29.01,278337,32.41
2012.44,36960,36.05,28806,40.21,55143,34.86,41614,39.01,31263,27.53,22850,31.62,34763,29.98,26330,33.14,62801,33.73,50127,37.49,34414,30.43,26815,34.07,26492,32.32,20314,36.38,37457,30.31,29145,33.71,40833,29.49,32336,32.63,360126,31.98,278337,35.73
2012.45,36960,38.34,28806,42.67,55143,37.88,41614,42.31,31263,29.61,22850,33.99,34763,32.52,26330,35.95,62801,35.89,50127,39.85,34414,32.62,26815,36.55,26492,34.37,20314,38.66,37457,32.74,29145,36.46,40833,31.58,32336,34.98,360126,34.33,278337,38.34
2012.46,36960,39.34,28806,43.78,55143,39.04,41614,43.57,31263,30.40,22850,34.78,34763,33.48,26330,36.98,62801,36.78,50127,40.84,34414,33.38,26815,37.37,26492,35.31,20314,39.69,37457,33.79,29145,37.67,40833,32.52,32336,36.01,360126,35.29,278337,39.38
2012.47,36960,40.67,28806,45.24,55143,40.84,41614,45.55,31263,31.58,22850,36.10,34763,34.97,26330,38.62,62801,38.16,50127,42.34,34414,34.53,26815,38.67,26492,36.59,20314,41.03,37457,35.18,29145,39.20,40833,33.82,32336,37.48,360126,36.68,278337,40.91
