Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,MS.Tmax,MS.Tmin,MS.prcp
1997.01,17.24,11.45,1.89,17.78,11.88,1.06,20.63,12.54,1.28,18.48,10.82,0.70,22.48,14.14,0.73,19.68,11.51,0.60,19.53,12.71,0.86,15.08,9.90,2.63,21.76,15.58,0.29,19.61,12.54,0.97
1997.02,5.13,-1.17,7.74,6.50,-1.40,6.32,6.63,-0.71,8.55,7.93,0.60,11.38,10.00,1.90,9.90,9.68,1.34,7.98,10.60,2.46,11.68,8.45,2.15,7.18,15.25,5.93,8.94,9.36,1.51,8.97
1997.03,0.41,-8.36,2.67,1.00,-8.83,2.49,2.29,-6.83,2.76,4.56,-5.53,3.09,4.80,-4.43,2.83,4.93,-4.73,2.79,5.31,-3.53,5.18,4.87,-2.34,3.30,9.97,-1.73,3.42,4.66,-4.96,3.11
1997.04,14.15,2.36,9.42,14.44,0.96,8.75,16.63,3.00,11.96,14.47,1.23,7.05,19.40,4.23,3.99,16.00,2.21,3.31,17.19,4.46,3.60,12.27,3.83,4.30,17.64,5.47,7.10,16.13,3.13,6.41
1997.05,11.31,-1.99,4.07,11.38,-2.59,4.12,13.50,-0.75,10.40,12.43,-0.78,4.88,16.52,2.34,5.27,13.98,0.78,4.42,14.25,2.31,9.62,11.13,0.97,4.09,16.28,4.48,3.85,13.88,0.85,5.35
1997.06,12.15,4.30,9.75,12.90,3.47,7.90,14.92,5.90,8.71,14.64,4.28,4.96,16.96,6.83,8.67,15.61,6.08,5.77,16.09,7.48,9.62,12.69,5.16,4.04,19.18,9.33,2.70,15.50,6.11,6.68
1997.07,5.87,-0.35,3.27,5.79,-0.39,2.81,7.03,0.72,7.57,6.78,0.34,5.23,8.21,1.38,11.37,7.19,0.67,9.70,7.55,1.18,15.95,6.02,0.80,7.18,11.15,2.49,7.16,7.61,0.90,7.97
1997.08,17.21,4.73,3.31,17.92,3.55,2.57,20.15,5.27,2.82,15.70,4.01,3.95,21.98,5.87,4.47,19.14,3.82,4.02,18.94,5.70,10.13,14.69,4.08,3.31,20.49,7.41,5.96,18.93,5.09,4.48
1997.09,16.37,5.83,9.63,16.21,5.74,9.28,18.43,7.89,8.67,16.05,7.50,6.01,19.12,8.54,8.84,16.21,7.63,5.77,15.46,8.07,15.04,11.30,6.34,9.96,17.25,10.62,12.63,16.66,7.85,9.25
1997.10,17.42,4.62,14.67,17.63,4.63,16.61,20.37,6.35,13.39,18.15,5.92,9.78,23.68,7.57,4.91,20.35,6.14,2.33,20.66,6.05,2.04,15.93,4.56,1.49,22.83,9.53,0.52,20.23,6.51,6.79
1997.11,18.22,7.24,4.57,19.06,7.00,2.56,20.88,9.74,3.73,18.57,8.34,2.56,21.84,11.58,4.25,19.82,9.15,4.51,20.20,11.49,11.82,15.92,8.57,4.42,24.27,14.39,8.54,20.32,10.08,5.08
1997.12,16.34,5.71,2.86,16.50,5.24,2.83,18.94,7.31,4.39,17.07,5.96,1.74,21.35,7.93,4.06,18.35,6.36,2.28,18.06,7.30,8.14,13.87,6.12,2.94,20.46,10.75,8.84,18.40,7.22,4.27
1997.13,20.85,6.51,2.07,21.09,5.92,2.24,23.51,8.78,1.66,20.17,6.00,2.08,25.71,10.58,1.39,22.42,8.16,1.99,22.50,10.05,2.68,17.72,7.40,1.10,25.25,13.71,0.40,22.64,8.92,1.65
1997.14,19.44,6.67,4.15,19.97,5.37,2.58,23.02,10.03,3.32,19.92,5.96,1.20,24.34,10.19,6.20,21.31,8.25,2.52,20.95,9.90,12.03,17.00,7.02,3.52,23.72,12.93,1.47,21.56,8.76,3.82
