Week,NC.Tmax,NC.Tmin,NC.prcp
1997.01,16.41,5.99,2.17
1997.02,10.96,0.83,5.61
1997.03,5.32,-7.66,2.52
1997.04,10.49,-1.74,2.82
1997.05,10.49,-0.17,1.80
1997.06,14.84,2.13,2.60
1997.07,6.63,-0.90,6.82
1997.08,16.43,1.68,1.99
1997.09,16.90,4.70,4.69
1997.10,19.72,6.10,2.94
1997.11,19.03,4.94,6.26
1997.12,16.46,3.07,3.63
1997.13,19.70,4.57,2.76
1997.14,21.28,4.65,0.42
1997.15,19.74,5.80,3.61
1997.16,18.06,3.41,1.47
1997.17,18.26,5.70,6.03
1997.18,20.98,8.84,9.68
1997.19,22.32,7.33,1.33
1997.20,22.70,6.47,0.74
1997.21,26.12,10.70,0.79
1997.22,22.95,12.56,3.78
1997.23,21.17,12.07,7.25
1997.24,23.91,13.02,3.75
1997.25,28.43,16.59,1.72
1997.26,30.14,18.63,3.24
1997.27,29.83,18.02,2.62
1997.28,29.39,17.26,3.24
1997.29,31.66,18.36,1.82
1997.30,30.27,20.07,9.34
1997.31,28.72,17.20,4.02
1997.32,28.39,15.41,1.63
1997.33,30.34,18.87,1.00
1997.34,29.91,17.75,3.15
1997.35,28.78,14.34,0.29
1997.36,28.30,13.81,1.89
1997.37,27.39,14.65,5.29
1997.38,27.79,15.78,1.70
1997.39,22.96,13.18,8.37
1997.40,23.04,10.01,2.78
1997.41,27.51,12.05,0.06
1997.42,20.47,10.41,1.76
1997.43,16.63,4.83,4.58
1997.44,17.99,5.02,7.51
1997.45,14.64,4.14,2.25
1997.46,11.97,3.41,3.97
1997.47,11.89,-1.70,1.95
1997.48,14.64,0.14,0.35
1997.49,13.35,2.19,5.36
1997.50,7.24,-1.26,1.85
1997.51,12.42,-2.32,0.01
1997.52,12.07,2.44,8.06
1997.53,7.00,-4.25,2.66
1998.01,17.91,6.73,9.46
1998.02,11.14,2.12,6.62
1998.03,8.44,-0.23,7.30
1998.04,9.95,-0.91,6.40
1998.05,8.71,0.64,10.52
1998.06,11.07,0.82,1.66
1998.07,13.83,2.92,9.30
1998.08,15.54,3.08,3.48
1998.09,13.22,2.31,0.76
1998.10,11.05,-1.04,8.11
1998.11,14.01,3.84,9.28
1998.12,16.40,3.78,0.26
1998.13,23.92,10.95,4.09
1998.14,20.21,5.66,4.62
1998.15,21.16,8.48,5.65
1998.16,18.59,7.37,5.54
1998.17,21.18,9.11,3.82
1998.18,22.67,10.60,5.88
1998.19,23.04,11.17,2.12
1998.20,28.05,15.04,1.56
1998.21,27.45,16.65,3.50
1998.22,28.94,17.38,5.36
1998.23,25.73,14.34,3.14
1998.24,29.96,17.85,2.48
1998.25,32.12,19.00,1.62
1998.26,31.82,18.92,2.11
1998.27,30.28,19.26,3.08
1998.28,29.74,18.12,3.30
1998.29,32.44,20.20,3.71
1998.30,29.22,19.57,4.34
1998.31,28.46,15.70,1.28
1998.32,29.66,19.29,4.73
1998.33,29.32,17.11,3.22
1998.34,31.70,18.83,7.56
1998.35,30.05,18.28,7.83
1998.36,27.96,13.02,1.94
1998.37,30.36,16.53,0.45
1998.38,27.31,15.21,1.31
1998.39,27.70,14.89,1.46
1998.40,23.14,13.53,6.24
1998.41,22.83,7.69,0.02
1998.42,20.36,5.96,0.19
1998.43,23.40,5.40,0.03
1998.44,15.52,4.22,1.91
1998.45,16.34,4.64,2.20
1998.46,17.37,5.48,3.01
1998.47,17.93,2.21,0.93
1998.48,21.54,4.44,0.04
1998.49,18.63,6.85,1.72
1998.50,11.03,-0.01,6.45
1998.51,9.77,1.47,6.43
1998.52,6.97,-2.53,1.93
1999.01,6.80,-4.40,5.73
1999.02,12.36,-0.99,3.72
1999.03,17.22,3.63,3.68
1999.04,17.13,3.59,6.63
1999.05,13.39,1.49,3.98
1999.06,18.48,2.98,1.18
1999.07,12.56,-0.65,4.37
1999.08,7.36,-3.81,0.42
1999.09,14.57,-0.42,2.81
1999.10,9.45,-2.32,1.23
1999.11,16.11,1.61,3.20
1999.12,15.89,3.50,4.89
1999.13,19.62,5.48,3.19
1999.14,25.10,11.16,0.67
1999.15,20.50,6.97,2.28
1999.16,22.85,7.65,0.26
1999.17,17.43,7.69,8.55
1999.18,23.06,10.26,3.58
1999.19,24.27,11.39,3.84
1999.20,24.24,11.12,1.41
1999.21,25.70,11.97,0.97
1999.22,27.95,14.55,0.65
1999.23,30.13,16.36,1.28
1999.24,25.17,15.20,6.68
1999.25,24.41,15.72,3.55
1999.26,29.02,20.05,3.60
1999.27,31.90,20.56,2.81
1999.28,25.12,17.03,7.16
1999.29,31.90,20.56,2.07
1999.30,33.05,20.19,2.19
1999.31,32.07,18.87,0.70
1999.32,32.10,19.18,1.89
1999.33,31.08,18.91,4.48
1999.34,28.57,17.79,6.10
1999.35,27.49,15.29,4.85
1999.36,27.99,16.67,10.59
1999.37,25.51,12.65,17.00
1999.38,23.45,9.02,3.27
1999.39,23.98,13.15,9.75
1999.40,22.47,9.72,1.59
1999.41,21.70,12.21,4.86
1999.42,18.75,7.92,9.06
1999.43,18.52,2.48,0.01
1999.44,19.52,4.01,4.17
1999.45,21.04,6.39,0.37
1999.46,17.32,1.55,0.05
1999.47,19.96,9.82,5.67
1999.48,13.36,-0.99,0.01
1999.49,16.47,0.85,1.92
1999.50,14.22,1.33,3.42
1999.51,9.23,0.60,2.16
1999.52,11.33,-2.99,0.01
2000.01,15.18,1.99,1.55
2000.02,14.04,0.30,5.07
2000.03,6.23,-4.08,2.52
2000.04,1.55,-6.84,5.25
2000.05,6.35,-4.75,2.62
2000.06,13.48,-1.00,1.92
2000.07,14.63,2.02,4.65
2000.08,16.81,1.47,0.10
2000.09,18.26,3.01,1.25
2000.10,22.83,6.16,1.39
2000.11,16.31,2.28,5.07
2000.12,16.24,4.45,4.48
2000.13,19.18,5.18,1.56
2000.14,21.15,7.12,4.36
2000.15,18.12,5.80,5.84
2000.16,21.38,8.91,3.53
2000.17,17.02,6.07,5.48
2000.18,24.73,9.42,1.09
2000.19,28.67,13.50,0.21
2000.20,26.54,12.65,0.54
2000.21,27.14,15.18,5.68
2000.22,26.43,13.65,2.75
2000.23,25.07,13.20,3.25
2000.24,30.68,18.28,2.16
2000.25,29.26,18.60,4.58
2000.26,28.92,18.13,5.61
2000.27,29.36,17.79,1.90
2000.28,29.09,18.91,3.88
2000.29,29.28,17.52,1.87
2000.30,26.21,17.53,9.82
2000.31,28.40,19.31,8.49
2000.32,30.74,19.41,2.65
2000.33,29.37,16.18,2.21
2000.34,27.02,15.58,1.96
2000.35,27.43,18.53,7.64
2000.36,24.84,16.56,5.78
2000.37,27.75,15.38,0.86
2000.38,24.13,13.58,9.28
2000.39,23.13,11.42,4.53
2000.40,25.17,11.92,0.13
2000.41,18.67,2.16,0.14
2000.42,23.97,7.21,0.00
2000.43,22.93,8.93,0.09
2000.44,21.81,3.17,0.11
2000.45,19.43,7.25,4.04
2000.46,13.26,0.49,1.90
2000.47,7.71,-2.33,4.51
2000.48,12.50,0.09,2.29
2000.49,8.40,-3.92,0.94
