Week,C01.tc,C02.tc,C03.tc,C04.tc,C05.tc,C06.tc,C07.tc,C08.tc,C09.tc,C10.tc,C11.tc,C12.tc,C13.tc,C14.tc,C15.tc,C16.tc,C17.tc,C18.tc,C19.tc,C20.tc,C21.tc,NJ.tc
2013.32,3,12,4,3,1,1,5,3,3,6,9,5,105,6,7,4,0,6,0,1,0,184
2013.33,4,6,2,4,0,0,23,4,11,4,6,7,118,3,6,11,2,1,0,1,0,213
2013.34,3,3,5,4,0,0,5,5,3,2,12,12,108,2,6,3,3,0,1,3,1,181
2013.35,1,9,3,4,1,2,4,1,6,8,4,18,94,8,3,0,2,3,1,2,0,174
2013.36,3,10,0,10,0,0,12,1,9,10,10,21,134,10,5,3,0,5,0,7,4,254
2013.37,4,7,4,8,9,1,18,1,25,5,11,15,128,3,5,6,6,3,0,6,0,265
2013.38,1,7,13,15,5,1,31,3,41,5,4,19,235,2,12,5,0,11,0,7,0,417
2013.39,11,18,10,27,5,5,34,3,40,11,17,24,337,4,5,6,5,13,0,10,0,585
2013.40,9,21,6,13,14,1,48,3,61,23,39,18,290,5,13,14,6,12,0,8,1,605
2013.41,9,23,1,17,13,2,29,5,58,10,22,34,293,7,14,3,8,12,1,7,4,572
2013.42,5,26,2,13,15,2,37,2,46,14,12,36,367,5,16,5,7,6,1,11,1,629
2013.43,10,16,6,19,39,12,21,2,48,11,24,35,330,6,17,6,2,13,0,14,3,634
2013.44,21,15,10,21,16,13,22,3,23,13,13,36,289,2,11,3,0,15,0,8,1,535
2013.45,12,8,16,12,24,5,19,2,43,10,11,12,212,6,9,2,0,6,1,9,4,423
2013.46,5,19,7,18,14,12,20,1,42,11,14,29,284,6,12,5,0,8,1,7,0,515
2013.47,4,18,3,7,25,9,14,1,13,10,11,12,230,12,6,7,1,9,1,10,4,407
2013.48,7,14,3,10,18,7,19,2,41,6,12,13,266,3,8,4,1,14,2,5,0,455
2013.49,7,7,3,8,16,12,28,3,26,13,11,22,248,6,13,4,1,5,1,10,2,446
2013.50,10,16,4,13,40,5,22,2,50,19,24,44,284,8,18,9,0,14,0,10,4,596
2013.51,12,11,4,7,31,3,27,6,47,15,17,17,254,13,15,11,1,16,0,12,3,522
2013.52,9,14,4,4,28,4,14,5,47,10,8,20,231,6,9,5,0,7,0,2,1,428
2014.01,12,24,3,13,44,5,28,2,55,12,23,30,355,5,21,8,0,22,2,5,3,672
2014.02,15,20,5,14,60,1,20,5,64,25,24,37,505,9,21,11,0,16,2,8,5,867
2014.03,10,18,8,11,27,6,28,2,47,16,28,28,398,17,13,7,1,21,3,7,6,702
2014.04,11,26,6,16,40,2,21,8,37,8,30,33,399,13,25,8,2,24,0,13,3,725
2014.05,9,11,12,18,40,4,29,4,60,15,22,50,412,14,11,13,2,39,0,9,6,780
2014.06,5,26,0,7,36,1,22,7,31,15,15,28,293,7,7,16,1,10,0,7,6,540
2014.07,13,12,5,4,23,4,15,2,20,14,10,19,231,3,13,6,0,14,0,7,2,417
2014.08,9,14,4,4,29,2,30,3,31,9,10,31,227,12,12,8,1,30,0,4,9,479
2014.09,11,6,1,2,12,5,18,2,21,7,9,13,173,12,11,1,0,25,1,3,2,335
2014.10,11,5,3,6,18,0,9,1,32,9,9,17,157,1,4,6,0,11,0,7,0,306
2014.11,3,7,3,2,14,0,18,2,18,11,12,7,178,3,4,3,0,17,0,6,1,309
2014.12,4,6,5,3,10,1,18,1,14,8,8,17,189,5,4,2,0,12,1,7,1,316
