Week,C01.all,C01.allV%,C01.65+,C01.65+V%,C02.all,C02.allV%,C02.65+,C02.65+V%,C03.all,C03.allV%,C03.65+,C03.65+V%,C04.all,C04.allV%,C04.65+,C04.65+V%,C05.all,C05.allV%,C05.65+,C05.65+V%,C06.all,C06.allV%,C06.65+,C06.65+V%,C07.all,C07.allV%,C07.65+,C07.65+V%,C08.all,C08.allV%,C08.65+,C08.65+V%,C09.all,C09.allV%,C09.65+,C09.65+V%,C10.all,C10.allV%,C10.65+,C10.65+V%,C11.all,C11.allV%,C11.65+,C11.65+V%,C12.all,C12.allV%,C12.65+,C12.65+V%,C13.all,C13.allV%,C13.65+,C13.65+V%,C14.all,C14.allV%,C14.65+,C14.65+V%,C15.all,C15.allV%,C15.65+,C15.65+V%,C16.all,C16.allV%,C16.65+,C16.65+V%,C17.all,C17.allV%,C17.65+,C17.65+V%,C18.all,C18.allV%,C18.65+,C18.65+V%,C19.all,C19.allV%,C19.65+,C19.65+V%,C20.all,C20.allV%,C20.65+,C20.65+V%,C21.all,C21.allV%,C21.65+,C21.65+V%,NJ.all,NJ.allV%,NJ.65+,NJ.65+V%
2012.32,31805,0.26,27317,0.22,99045,0.26,91348,0.26,45482,0.20,39654,0.18,48599,0.33,40329,0.31,17101,0.41,15107,0.36,17456,0.96,14036,1.00,57895,0.29,49855,0.30,26242,0.44,22011,0.44,40061,0.27,33881,0.28,14140,0.22,0,0.00,36851,0.39,31452,0.38,71683,0.40,63542,0.41,70113,0.26,62715,0.27,51741,0.15,47617,0.13,91430,0.26,82881,0.26,42741,0.22,37469,0.22,8894,0.54,0,0.00,29015,0.26,0,0.00,15891,0.18,0,0.00,47559,0.30,0,0.00,13882,0.24,0,0.00,877626,0.30,659214,0.29
2012.33,31805,0.86,27317,0.82,99045,0.80,91348,0.81,45482,0.97,39654,0.97,48599,1.34,40329,1.38,17101,1.08,15107,0.97,17456,2.62,14036,2.81,57895,0.81,49855,0.86,26242,1.31,22011,1.34,40061,0.80,33881,0.80,14140,1.01,0,0.00,36851,1.15,31452,1.16,71683,1.31,63542,1.34,70113,0.90,62715,0.94,51741,0.71,47617,0.70,91430,0.93,82881,0.96,42741,0.63,37469,0.66,8894,1.75,7472,1.87,29015,0.87,26584,0.87,15891,0.64,0,0.00,47559,1.01,42111,1.04,13882,0.66,0,0.00,877626,0.98,735381,1.01
2012.34,31805,1.95,27317,1.96,99045,1.69,91348,1.73,45482,2.45,39654,2.49,48599,2.89,40329,3.00,17101,2.06,15107,1.95,17456,4.63,14036,5.07,57895,1.58,49855,1.67,26242,2.61,22011,2.74,40061,1.67,33881,1.70,14140,2.28,12978,2.32,36851,2.42,31452,2.45,71683,2.63,63542,2.70,70113,1.94,62715,2.04,51741,1.92,47617,1.93,91430,1.93,82881,2.00,42741,1.65,37469,1.67,8894,3.35,7472,3.51,29015,1.90,26584,1.88,15891,2.29,13825,2.42,47559,2.08,42111,2.13,13882,1.82,12241,1.88,877626,2.12,774425,2.17
2012.35,31805,3.57,27317,3.58,99045,3.48,91348,3.56,45482,5.15,39654,5.26,48599,5.48,40329,5.72,17101,3.51,15107,3.48,17456,6.82,14036,7.45,57895,3.18,49855,3.31,26242,4.64,22011,4.90,40061,3.05,33881,3.09,14140,4.53,12978,4.65,36851,4.76,31452,4.92,71683,5.16,63542,5.28,70113,4.17,62715,4.38,51741,4.87,47617,5.04,91430,3.91,82881,4.03,42741,3.55,37469,3.48,8894,5.50,7472,5.65,29015,4.02,26584,4.00,15891,5.32,13825,5.64,47559,3.92,42111,4.01,13882,3.98,12241,4.08,877626,4.24,774425,4.35
2012.36,31805,6.69,27317,6.85,99045,7.59,91348,7.78,45482,9.59,39654,9.93,48599,9.96,40329,10.58,17101,6.33,15107,6.47,17456,10.45,14036,11.43,57895,6.31,49855,6.54,26242,8.87,22011,9.45,40061,6.31,33881,6.44,14140,8.90,12978,9.12,36851,8.80,31452,9.22,71683,10.68,63542,11.07,70113,8.53,62715,8.96,51741,9.27,47617,9.62,91430,8.11,82881,8.42,42741,7.65,37469,7.76,8894,9.11,7472,9.25,29015,8.44,26584,8.53,15891,10.00,13825,10.65,47559,7.70,42111,7.95,13882,8.82,12241,9.14,877626,8.39,774425,8.70
2012.37,31805,10.91,27317,11.21,99045,12.47,91348,12.80,45482,14.87,39654,15.50,48599,15.21,40329,16.29,17101,10.77,15107,11.15,17456,15.35,14036,16.84,57895,10.29,49855,10.78,26242,13.61,22011,14.50,40061,9.80,33881,10.08,14140,14.14,12978,14.47,36851,13.52,31452,14.27,71683,16.50,63542,17.16,70113,13.56,62715,14.18,51741,14.77,47617,15.37,91430,13.96,82881,14.60,42741,11.99,37469,12.39,8894,13.28,7472,13.66,29015,13.12,26584,13.35,15891,15.64,13825,16.61,47559,12.32,42111,12.79,13882,14.49,12241,15.17,877626,13.35,774425,13.92
2012.38,31805,16.37,27317,17.02,99045,18.46,91348,18.98,45482,21.03,39654,22.04,48599,20.78,40329,22.26,17101,15.94,15107,16.59,17456,19.86,14036,21.68,57895,14.63,49855,15.41,26242,18.65,22011,19.82,40061,13.79,33881,14.32,14140,20.24,12978,20.74,36851,18.73,31452,19.83,71683,23.25,63542,24.33,70113,19.30,62715,20.19,51741,22.00,47617,22.94,91430,19.89,82881,20.82,42741,16.76,37469,17.45,8894,18.42,7472,19.08,29015,19.19,26584,19.65,15891,22.79,13825,24.09,47559,17.52,42111,18.28,13882,21.02,12241,21.98,877626,19.03,774425,19.92
2012.39,31805,22.99,27317,24.09,99045,25.59,91348,26.34,45482,28.02,39654,29.51,48599,26.68,40329,28.55,17101,21.92,15107,22.94,17456,24.29,14036,26.46,57895,20.42,49855,21.60,26242,24.20,22011,25.66,40061,18.07,33881,18.82,14140,27.46,12978,28.20,36851,25.33,31452,26.88,71683,30.56,63542,32.10,70113,26.07,62715,27.29,51741,29.14,47617,30.36,91430,28.56,82881,29.93,42741,22.60,37469,23.66,8894,23.93,7472,24.92,29015,28.36,26584,29.29,15891,29.10,13825,30.68,47559,23.87,42111,24.88,13882,27.27,12241,28.54,877626,25.77,774425,27.05
2012.40,31805,28.79,27317,30.28,99045,31.77,91348,32.76,45482,33.77,39654,35.65,48599,31.97,40329,34.09,17101,28.50,15107,29.91,17456,28.70,14036,31.28,57895,26.28,49855,27.85,26242,28.61,22011,30.38,40061,22.14,33881,23.02,14140,33.63,12978,34.57,36851,32.03,31452,34.02,71683,36.01,63542,37.79,70113,32.38,62715,33.93,51741,35.94,47617,37.40,91430,35.49,82881,37.24,42741,28.48,37469,29.88,8894,29.45,7472,30.82,29015,35.32,26584,36.59,15891,35.11,13825,37.15,47559,29.39,42111,30.72,13882,33.35,12241,34.79,877626,31.72,774425,33.32
2012.41,31805,34.11,27317,35.94,99045,37.29,91348,38.50,45482,38.52,39654,40.35,48599,36.34,40329,38.89,17101,34.02,15107,35.65,17456,32.49,14036,35.34,57895,30.89,49855,32.73,26242,32.63,22011,34.66,40061,25.40,33881,26.49,14140,37.96,12978,38.97,36851,37.69,31452,40.08,71683,41.05,63542,43.05,70113,37.45,62715,39.23,51741,41.41,47617,43.06,91430,41.11,82881,43.08,42741,33.42,37469,35.03,8894,33.75,7472,35.49,29015,41.30,26584,42.82,15891,40.75,13825,42.85,47559,34.24,42111,35.83,13882,40.02,12241,41.87,877626,36.76,774425,38.62
2012.42,31805,38.41,27317,40.52,99045,41.49,91348,42.82,45482,42.41,39654,44.37,48599,39.79,40329,42.63,17101,38.44,15107,40.23,17456,35.62,14036,38.85,57895,34.24,49855,36.33,26242,35.60,22011,37.78,40061,28.09,33881,29.27,14140,41.71,12978,42.82,36851,42.23,31452,44.89,71683,44.64,63542,46.77,70113,41.76,62715,43.78,51741,45.81,47617,47.47,91430,45.18,82881,47.34,42741,37.05,37469,38.87,8894,36.97,7472,38.97,29015,45.31,26584,46.95,15891,44.72,13825,47.02,47559,38.26,42111,40.11,13882,44.50,12241,46.62,877626,40.64,774425,42.69
