Week,RI.tc
2013.32,53
2013.33,96
2013.34,48
2013.35,67
2013.36,45
2013.37,51
2013.38,84
2013.39,130
2013.40,91
2013.41,129
2013.42,78
2013.43,125
2013.44,126
2013.45,108
2013.46,95
2013.47,87
2013.48,67
2013.49,92
2013.50,78
2013.51,83
2013.52,77
2014.01,143
2014.02,284
2014.03,151
2014.04,123
2014.05,126
2014.06,97
2014.07,95
2014.08,89
2014.09,59
2014.10,43
2014.11,48
2014.12,73
2014.13,50
2014.14,58
2014.15,48
2014.16,87
2014.17,41
2014.18,29
2014.19,18
2014.20,39
2014.21,24
2014.22,17
2014.23,53
2014.24,19
2014.25,30
2014.26,16
2014.27,17
2014.28,26
2014.29,16
2014.30,13
2014.31,11
2014.32,19
2014.33,20
2014.34,24
2014.35,22
2014.36,24
2014.37,34
2014.38,63
2014.39,48
2014.40,125
2014.41,98
2014.42,123
2014.43,121
2014.44,77
2014.45,106
2014.46,67
2014.47,71
2014.48,35
2014.49,76
2014.50,86
2014.51,80
2014.52,74
2014.53,132
2015.01,139
2015.02,95
2015.03,113
2015.04,89
2015.05,73
2015.06,58
2015.07,43
2015.08,44
2015.09,43
2015.10,48
2015.11,33
2015.12,42
2015.13,36
2015.14,46
2015.15,39
2015.16,25
2015.17,28
2015.18,18
2015.19,21
2015.20,38
2015.21,21
2015.22,20
2015.23,23
2015.24,18
2015.25,21
2015.26,17
2015.27,11
2015.28,16
2015.29,17
2015.30,1
2015.31,21
2015.32,25
2015.33,11
2015.34,30
2015.35,23
2015.36,25
2015.37,49
2015.38,42
2015.39,86
2015.40,94
2015.41,74
2015.42,79
2015.43,63
2015.44,70
2015.45,65
2015.46,69
2015.47,39
2015.48,32
2015.49,48
2015.50,38
2015.51,33
2015.52,50
2016.01,45
2016.02,38
2016.03,67
2016.04,38
2016.05,52
2016.06,48
2016.07,56
2016.08,76
2016.09,87
2016.10,63
2016.11,37
2016.12,51
2016.13,58
2016.14,50
2016.15,47
2016.16,40
2016.17,27
2016.18,51
2016.19,41
2016.20,40
2016.21,95
2016.22,20
