Week,RI.all,RI.allV%,RI.65+,RI.65+V%
2012.32,78729,0.21,43486,0.21
2012.33,82883,0.81,43486,0.90
2012.34,82883,1.62,53923,1.75
2012.35,82883,2.94,62421,3.14
2012.36,82883,5.49,65971,5.83
2012.37,82883,9.59,65971,10.23
2012.38,82883,14.83,65971,16.09
2012.39,82883,21.31,65971,23.24
2012.40,82883,26.47,65971,28.98
2012.41,82883,31.90,65971,34.94
2012.42,82883,35.95,65971,39.38
2012.43,82883,37.77,65971,41.33
2012.44,82883,39.96,65971,43.66
2012.45,82883,41.94,65971,45.83
2012.46,82883,42.96,65971,46.89
2012.47,82883,44.29,65971,48.28
2012.48,82883,46.12,65971,50.29
2012.49,82883,47.50,65971,51.74
2012.50,82883,48.18,65971,52.39
2012.51,82883,48.42,65971,52.62
2012.52,82883,48.73,65971,52.92
2013.01,82883,50.19,65971,54.43
2013.02,82883,51.03,65971,55.24
2013.03,82883,51.32,65971,55.49
2013.04,82883,51.47,65971,55.61
2013.05,82883,51.54,65971,55.66
2013.06,82883,51.57,65971,55.68
2013.07,82883,51.60,65971,55.70
2013.08,82883,51.62,65971,55.72
2013.09,82883,51.64,65971,55.73
2013.10,82883,51.66,65971,55.75
2013.11,82883,51.68,65971,55.76
2013.12,82883,51.69,65971,55.76
2013.13,82883,51.69,65971,55.77
2013.14,82883,51.69,65971,55.77
2013.15,82883,51.69,65971,55.77
2013.16,82883,51.69,65971,55.77
2013.17,82883,51.69,65971,55.77
2013.18,82883,51.70,65971,55.77
2013.19,82883,51.70,65971,55.77
2013.20,82883,51.70,65971,55.78
2013.21,82883,51.70,65971,55.78
2013.22,82883,51.70,65971,55.78
2013.23,82883,51.70,65971,55.78
2013.24,82883,51.70,65971,55.78
2013.25,82883,51.71,65971,55.78
2013.26,82883,51.71,65971,55.78
2013.27,82883,51.71,65971,55.78
2013.28,82883,51.71,65971,55.78
2013.29,82883,51.71,65971,55.78
2013.30,82883,51.71,65971,55.78
2013.31,82883,51.71,65971,55.78
2013.32,60252,0.08,33915,0.07
2013.33,87247,0.45,45168,0.48
2013.34,87247,0.99,56149,1.02
2013.35,87247,1.98,64952,2.04
2013.36,87247,4.55,68626,4.81
2013.37,87247,8.30,68626,8.87
2013.38,87247,13.31,68626,14.46
2013.39,87247,19.10,68626,20.84
2013.40,87247,25.31,68626,27.80
2013.41,87247,30.08,68626,33.09
2013.42,87247,34.94,68626,38.43
2013.43,87247,38.34,68626,42.08
2013.44,87247,40.76,68626,44.67
2013.45,87247,42.76,68626,46.75
2013.46,87247,44.40,68626,48.48
2013.47,87247,45.20,68626,49.31
2013.48,87247,46.29,68626,50.40
2013.49,87247,47.12,68626,51.21
2013.50,87247,47.71,68626,51.79
2013.51,87247,47.92,68626,51.98
2013.52,87247,48.47,68626,52.58
2014.01,87247,49.32,68626,53.42
