Week,RI.Tmax,RI.Tmin,RI.prcp
1997.01,4.08,-5.91,1.56
1997.02,4.88,-2.50,1.80
1997.03,1.13,-10.43,2.90
1997.04,3.98,-8.35,6.27
1997.05,2.40,-6.95,3.79
1997.06,5.41,-2.35,4.26
1997.07,4.03,-4.82,2.66
1997.08,9.41,-1.10,0.52
1997.09,7.85,-2.95,0.54
1997.10,7.19,-1.06,2.60
1997.11,5.68,-4.83,7.54
1997.12,6.17,-3.88,1.07
1997.13,10.60,-1.30,3.27
1997.14,12.20,0.79,13.44
1997.15,11.34,0.79,0.64
1997.16,12.34,2.61,8.55
1997.17,14.55,2.41,0.50
1997.18,16.92,5.29,4.18
1997.19,14.37,4.46,1.70
1997.20,18.00,7.07,2.12
1997.21,18.45,6.35,2.47
1997.22,20.18,7.47,2.75
1997.23,18.26,8.34,2.30
1997.24,26.12,11.76,0.29
1997.25,25.39,13.01,0.73
1997.26,28.53,15.46,2.30
1997.27,27.74,16.29,0.87
1997.28,27.88,14.60,0.19
1997.29,30.61,18.07,0.16
1997.30,24.38,12.87,5.40
1997.31,28.78,15.46,0.17
1997.32,26.04,14.44,4.65
1997.33,26.89,16.56,2.53
1997.34,24.49,14.35,12.99
1997.35,24.78,14.23,5.09
1997.36,24.31,13.13,0.21
1997.37,23.26,15.22,2.43
1997.38,25.22,13.38,0.14
1997.39,18.44,6.20,0.36
1997.40,18.36,7.84,2.12
1997.41,23.13,9.18,0.45
1997.42,17.46,5.95,0.19
1997.43,12.68,1.77,2.25
1997.44,13.01,2.48,7.93
1997.45,14.29,5.27,7.38
1997.46,6.85,-0.01,8.20
1997.47,7.61,-3.62,2.41
1997.48,6.06,-1.87,1.24
1997.49,6.67,-1.78,2.25
1997.50,4.57,-4.75,1.41
1997.51,7.56,-4.28,0.01
1997.52,4.40,-3.69,6.40
1997.53,5.03,-6.09,3.00
1998.01,10.99,2.68,7.16
1998.02,3.56,-5.32,5.10
1998.03,3.02,-3.38,10.97
1998.04,4.14,-3.21,1.26
1998.05,5.94,-3.00,2.74
1998.06,6.93,-2.61,4.01
1998.07,4.95,-2.89,8.54
1998.08,9.66,0.20,7.24
1998.09,8.49,0.35,2.07
1998.10,5.80,-4.35,11.88
1998.11,4.34,-2.02,7.50
1998.12,12.40,0.35,1.44
1998.13,17.68,5.40,5.83
1998.14,12.84,1.74,3.91
1998.15,16.06,3.83,4.91
1998.16,16.00,5.26,5.59
1998.17,17.35,5.48,4.94
1998.18,18.63,11.47,7.19
1998.19,17.46,6.60,7.81
1998.20,24.47,9.45,0.36
1998.21,26.43,11.67,1.41
1998.22,21.59,9.49,4.96
1998.23,19.63,11.05,10.71
1998.24,24.69,15.70,20.32
1998.25,26.25,17.23,0.66
1998.26,24.66,15.04,10.89
1998.27,25.60,14.29,0.98
1998.28,28.22,17.15,0.06
1998.29,29.28,17.96,2.06
1998.30,26.73,16.63,2.24
1998.31,28.77,15.50,0.01
1998.32,27.59,16.45,0.87
1998.33,26.82,14.77,6.22
1998.34,28.11,18.92,5.91
1998.35,26.50,14.39,0.55
1998.36,24.24,12.11,3.19
1998.37,24.32,13.62,0.48
1998.38,22.58,10.99,4.57
1998.39,22.27,8.81,1.38
1998.40,17.56,6.64,9.22
1998.41,16.24,8.30,3.27
1998.42,18.10,4.71,0.00
1998.43,15.87,3.96,1.49
1998.44,10.77,-1.23,0.00
1998.45,11.42,-1.03,3.62
1998.46,11.30,1.88,3.08
1998.47,11.44,1.81,2.50
1998.48,15.06,3.46,0.08
1998.49,11.78,1.00,0.92
1998.50,7.19,-3.34,0.53
1998.51,4.70,-5.39,1.50
1998.52,0.77,-8.63,2.79
1999.01,4.16,-9.62,9.91
1999.02,3.53,-9.43,7.04
1999.03,8.30,-1.18,3.06
1999.04,4.24,-4.18,5.17
1999.05,6.91,-4.64,10.56
1999.06,8.20,-2.93,1.28
1999.07,6.22,-3.36,3.33
1999.08,2.47,-6.58,2.63
1999.09,8.63,-2.29,10.00
1999.10,4.45,-6.44,1.73
1999.11,10.68,-0.07,4.17
1999.12,10.51,-0.66,4.36
1999.13,15.70,4.09,1.84
1999.14,16.84,2.43,0.37
1999.15,13.83,1.03,2.83
1999.16,14.54,3.27,2.25
1999.17,17.18,2.89,0.04
1999.18,17.34,9.21,4.72
1999.19,20.64,5.85,0.28
1999.20,21.55,8.59,3.31
1999.21,21.26,10.15,8.30
1999.22,27.28,13.04,0.04
1999.23,26.37,12.72,0.01
1999.24,23.77,13.70,0.65
1999.25,27.59,13.36,0.00
1999.26,28.08,18.90,1.52
1999.27,29.95,18.57,2.02
1999.28,27.74,13.23,0.99
1999.29,30.02,18.01,1.39
1999.30,30.54,18.92,0.11
1999.31,29.27,16.39,0.03
1999.32,26.38,16.59,4.41
1999.33,25.49,15.76,1.62
1999.34,25.97,16.34,2.95
1999.35,26.92,12.73,0.03
1999.36,26.09,19.20,12.15
1999.37,23.43,13.67,11.88
1999.38,22.06,10.81,0.26
1999.39,21.20,9.20,2.30
1999.40,16.81,5.00,3.45
1999.41,18.34,5.43,5.75
1999.42,15.45,4.90,9.40
1999.43,16.24,2.83,0.00
1999.44,17.25,6.09,6.20
1999.45,12.87,0.73,0.45
1999.46,10.72,0.24,0.54
1999.47,15.94,7.48,2.60
1999.48,8.06,-1.18,0.45
1999.49,11.94,1.67,6.83
1999.50,7.77,0.37,2.42
1999.51,4.66,-5.65,1.01
1999.52,3.54,-6.27,0.00
2000.01,10.02,-0.51,4.49
2000.02,3.85,-4.78,4.71
2000.03,-4.22,-15.87,0.30
2000.04,-1.68,-10.95,3.21
2000.05,1.92,-6.41,2.21
2000.06,4.72,-6.13,0.02
2000.07,4.74,-5.53,7.11
2000.08,7.91,-1.37,2.45
2000.09,10.27,0.87,1.02
2000.10,12.45,0.53,4.17
2000.11,9.62,-2.27,9.80
2000.12,11.09,-0.85,0.06
2000.13,13.88,3.10,6.06
2000.14,14.67,4.77,1.36
2000.15,11.80,0.06,3.00
2000.16,12.05,5.07,13.47
2000.17,11.30,2.54,3.05
2000.18,19.48,5.69,0.51
2000.19,22.26,10.08,3.95
2000.20,18.68,7.34,4.20
2000.21,18.87,9.59,4.17
2000.22,21.72,9.66,2.29
2000.23,22.64,10.60,9.15
2000.24,21.90,12.65,5.61
2000.25,25.46,14.35,0.48
2000.26,26.69,15.91,1.63
2000.27,26.95,14.60,0.36
2000.28,27.14,15.19,1.36
2000.29,25.09,14.95,3.39
2000.30,22.72,15.38,6.10
2000.31,24.88,17.78,6.02
2000.32,27.69,18.07,5.19
2000.33,23.07,14.67,5.33
2000.34,25.04,12.60,1.18
2000.35,26.54,16.42,1.67
2000.36,23.36,11.87,2.52
2000.37,24.52,13.21,5.93
2000.38,22.96,11.52,5.20
2000.39,17.81,6.70,1.48
2000.40,20.10,9.13,0.70
2000.41,16.79,3.75,0.09
2000.42,18.03,7.34,2.33
2000.43,18.25,4.87,0.01
2000.44,12.11,2.87,1.59
2000.45,13.03,4.94,6.89
2000.46,10.72,3.31,3.60
2000.47,3.96,-5.72,0.06
2000.48,7.58,-0.13,5.66
2000.49,2.43,-8.12,0.22
2000.50,5.20,-5.33,4.41
2000.51,3.74,-5.02,11.03
2000.52,-0.63,-9.81,1.41
2001.01,0.85,-8.09,1.61
2001.02,2.08,-7.66,0.75
2001.03,3.67,-3.26,4.42
2001.04,2.79,-8.01,1.39
2001.05,5.66,-4.11,2.69
2001.06,5.28,-3.76,4.87
2001.07,3.68,-6.43,1.10
2001.08,3.02,-7.62,0.60
2001.09,3.73,-4.35,2.91
2001.10,2.43,-3.71,8.37
2001.11,8.39,-0.68,5.23
2001.12,9.44,0.62,11.31
2001.13,6.25,-2.35,11.73
2001.14,10.23,-0.15,1.24
2001.15,13.97,3.91,5.11
2001.16,14.33,1.44,0.91
2001.17,18.94,5.91,0.10
2001.18,25.97,8.63,0.09
2001.19,22.51,5.22,0.00
2001.20,17.87,8.35,0.24
2001.21,18.03,10.09,11.75
2001.22,19.61,9.46,7.79
2001.23,23.65,11.81,1.09
2001.24,26.89,15.39,4.13
2001.25,26.24,17.14,12.23
2001.26,28.88,17.71,0.24
2001.27,24.66,13.45,2.88
2001.28,25.30,14.66,3.58
2001.29,25.79,14.36,0.57
2001.30,27.09,15.42,4.31
2001.31,27.32,15.43,1.88
2001.32,30.67,20.40,1.70
2001.33,25.96,16.28,7.20
2001.34,27.48,16.60,3.90
2001.35,26.96,16.32,1.19
2001.36,24.83,11.53,0.16
2001.37,24.90,12.88,1.39
2001.38,23.88,12.07,6.00
2001.39,21.11,12.06,1.77
2001.40,20.55,9.44,3.06
2001.41,17.80,5.92,0.08
2001.42,17.70,5.77,2.20
2001.43,19.53,8.48,0.77
2001.44,15.42,4.32,0.26
2001.45,13.40,1.80,0.83
2001.46,12.77,-0.01,0.01
2001.47,12.74,0.16,0.14
2001.48,16.10,7.69,2.02
2001.49,14.49,2.77,0.33
2001.50,9.09,0.40,3.18
2001.51,5.77,-1.68,3.55
2001.52,4.44,-5.16,2.46
2002.01,2.29,-7.47,0.00
2002.02,6.12,-2.39,3.68
2002.03,4.05,-2.92,4.65
2002.04,6.67,-2.96,1.97
2002.05,9.82,-0.74,1.33
2002.06,4.90,-5.76,0.08
2002.07,7.65,-6.47,2.08
2002.08,8.81,-1.50,2.01
2002.09,8.65,-4.06,1.84
2002.10,10.54,-1.30,3.99
2002.11,11.01,-0.90,2.21
2002.12,5.20,-2.88,4.44
2002.13,11.29,0.29,5.29
2002.14,12.27,1.56,4.68
2002.15,15.39,3.79,0.79
2002.16,25.20,10.62,0.93
2002.17,12.12,1.53,4.04
2002.18,12.99,3.55,6.65
2002.19,19.48,8.07,0.42
2002.20,16.73,6.33,14.20
2002.21,18.61,3.82,0.69
2002.22,22.95,12.97,1.94
2002.23,20.34,9.28,8.85
2002.24,20.01,10.65,2.18
2002.25,24.55,11.34,1.83
2002.26,28.62,16.66,1.48
2002.27,30.20,18.67,0.01
2002.28,26.45,14.23,0.63
2002.29,27.55,16.32,1.46
2002.30,25.06,14.12,1.80
2002.31,30.50,19.16,2.93
2002.32,27.74,15.38,0.12
2002.33,31.06,19.60,0.01
2002.34,26.92,16.01,2.21
2002.35,23.70,14.06,4.08
2002.36,23.76,13.08,6.18
2002.37,26.10,12.22,0.02
2002.38,24.08,14.72,4.93
2002.39,22.20,14.22,8.05
2002.40,22.74,12.18,0.22
2002.41,16.91,7.97,2.68
2002.42,15.34,4.88,5.62
2002.43,11.90,1.09,9.08
2002.44,9.85,-0.36,1.22
2002.45,10.25,0.11,2.68
2002.46,13.60,6.69,8.63
2002.47,8.98,1.10,8.70
2002.48,6.02,-3.33,1.74
2002.49,1.16,-8.15,1.23
2002.50,4.61,-4.43,8.42
2002.51,6.04,-3.37,9.64
2002.52,4.29,-2.39,3.93
2003.01,4.19,-2.61,8.00
2003.02,2.07,-5.46,1.16
2003.03,-1.60,-10.34,0.09
2003.04,-4.39,-13.59,0.00
2003.05,-0.06,-8.97,0.46
2003.06,2.88,-4.76,3.54
2003.07,-1.72,-13.14,0.68
2003.08,1.97,-7.70,7.45
2003.09,0.70,-9.20,3.84
2003.10,4.02,-8.95,7.05
2003.11,4.23,-7.13,0.79
2003.12,13.33,0.68,3.53
2003.13,14.01,1.97,2.12
2003.14,6.51,-0.77,8.17
2003.15,6.23,-0.61,7.49
2003.16,15.24,1.28,0.16
2003.17,13.40,3.26,7.80
2003.18,19.52,6.48,1.86
2003.19,17.53,5.85,0.82
2003.20,16.32,6.56,0.92
2003.21,17.75,6.24,2.03
2003.22,18.26,9.02,7.96
2003.23,18.96,10.37,9.06
2003.24,21.22,13.09,4.62
2003.25,20.77,11.47,2.67
2003.26,26.98,15.96,5.49
2003.27,27.41,16.27,2.22
2003.28,27.36,17.10,3.23
2003.29,26.22,15.67,1.27
2003.30,26.44,17.70,5.32
2003.31,26.68,17.26,3.28
2003.32,27.02,20.90,9.65
2003.33,28.91,20.46,1.86
2003.34,27.79,17.12,3.86
2003.35,26.29,14.02,0.00
2003.36,21.90,13.44,8.61
2003.37,22.78,10.66,0.03
2003.38,25.04,15.97,4.36
2003.39,23.33,12.63,1.82
2003.40,18.11,6.83,1.06
2003.41,18.17,6.30,0.18
2003.42,16.56,6.60,7.90
2003.43,10.95,0.63,1.43
2003.44,17.56,8.09,12.93
2003.45,15.44,6.84,2.42
2003.46,8.69,-0.90,1.43
2003.47,11.96,2.26,2.33
2003.48,12.09,0.16,1.70
2003.49,3.23,-5.90,3.60
2003.50,3.64,-3.92,5.34
2003.51,5.36,-3.61,9.30
2003.52,8.62,-0.05,2.25
2003.53,8.65,-0.98,0.69
2004.01,-2.25,-8.71,3.03
2004.02,-4.44,-15.54,0.56
2004.03,-2.96,-11.48,1.12
2004.04,-4.68,-12.27,1.32
2004.05,3.85,-6.83,7.48
2004.06,3.72,-5.21,0.02
2004.07,1.99,-7.49,0.55
2004.08,6.94,-4.39,0.03
2004.09,11.59,0.60,2.47
2004.10,5.86,-2.62,0.59
2004.11,3.75,-4.90,2.77
2004.12,9.79,-0.55,1.98
2004.13,7.21,1.27,12.85
2004.14,11.59,-0.13,0.71
2004.15,13.98,3.25,13.00
2004.16,19.05,5.81,2.17
2004.17,16.92,5.51,3.91
2004.18,18.27,6.45,3.38
2004.19,23.03,9.82,0.55
2004.20,21.08,9.84,0.75
2004.21,18.61,9.18,5.56
2004.22,20.31,8.46,2.23
2004.23,23.23,11.68,0.68
2004.24,25.38,15.29,2.28
2004.25,24.34,13.00,0.62
2004.26,25.93,13.46,1.30
2004.27,26.03,16.12,2.63
2004.28,24.02,15.72,3.47
2004.29,27.02,18.11,1.81
2004.30,24.75,15.87,1.72
2004.31,25.68,17.09,6.71
2004.32,26.14,16.72,4.83
2004.33,24.09,17.13,9.83
2004.34,24.73,12.74,1.25
2004.35,26.86,16.34,1.94
2004.36,24.27,14.65,3.18
2004.37,22.75,12.71,8.79
2004.38,21.78,10.02,1.16
