Week,D01.tc,D02.tc,D03.tc,D04.tc,D05.tc,D06.tc,D07.tc,D08.tc,D09.tc,D10.tc,D11.tc,D12.tc,D13.tc,TN.tc
2013.32,13,2,1,29,24,7,2,1,3,11,2,3,1,99
2013.33,8,2,0,17,18,5,5,1,5,6,12,0,6,85
2013.34,22,5,0,27,18,2,2,4,6,13,3,1,4,107
2013.35,11,2,3,37,35,1,1,3,14,5,4,2,0,118
2013.36,12,2,1,34,57,2,0,10,11,23,10,0,1,163
2013.37,15,5,3,39,67,6,0,5,14,93,5,1,5,258
2013.38,24,5,4,59,62,2,2,4,8,25,8,4,3,210
2013.39,42,6,1,106,112,5,10,8,19,26,13,1,3,352
2013.40,40,6,2,97,112,3,8,7,19,29,13,8,7,351
2013.41,83,8,3,101,78,3,6,9,30,46,8,7,3,385
2013.42,70,8,0,97,82,5,2,5,19,29,16,7,1,341
2013.43,73,13,1,141,104,8,4,5,25,51,26,12,5,468
2013.44,79,8,1,139,77,9,4,9,28,27,19,6,2,408
2013.45,60,9,5,92,102,6,2,4,18,34,11,9,2,354
2013.46,130,11,8,106,134,3,4,11,15,21,12,8,5,468
2013.47,64,5,1,98,90,6,2,7,15,19,7,5,1,320
2013.48,46,8,8,98,79,9,3,5,8,30,25,4,1,324
2013.49,79,5,1,117,114,12,1,10,29,27,27,4,4,430
2013.50,98,2,4,137,152,13,4,12,32,41,24,8,3,530
2013.51,79,12,1,198,141,14,7,22,26,33,25,10,8,576
2013.52,114,21,6,200,139,14,7,17,37,46,25,13,0,639
2014.01,179,25,13,262,229,22,10,15,72,100,35,18,5,985
2014.02,193,12,8,405,405,24,29,26,60,111,30,16,8,1327
2014.03,217,21,5,369,324,23,27,20,68,107,31,16,9,1237
2014.04,144,9,4,231,242,20,2,11,55,81,50,15,12,876
2014.05,92,8,5,185,142,12,7,11,41,59,25,10,8,605
2014.06,54,8,0,137,250,16,9,3,26,32,18,3,2,558
2014.07,43,5,12,98,81,9,7,9,28,37,24,6,3,362
2014.08,50,14,5,88,85,4,1,4,19,20,19,3,2,314
2014.09,25,7,2,57,61,5,8,4,18,15,11,3,2,218
2014.10,64,12,0,40,46,2,3,9,9,19,14,1,0,219
2014.11,9,5,3,37,65,1,1,3,6,18,12,2,1,163
2014.12,19,4,3,43,42,5,3,2,9,20,4,4,2,160
2014.13,13,3,1,42,47,2,3,3,5,15,6,3,0,143
2014.14,15,0,1,27,42,4,5,4,4,17,8,5,2,134
2014.15,27,1,2,37,45,6,6,1,18,15,5,1,0,164
2014.16,13,2,1,29,26,2,2,1,2,4,4,1,3,90
2014.17,16,1,0,18,37,2,5,3,6,4,5,0,0,97
2014.18,11,1,1,20,25,1,0,2,1,6,7,1,1,77
2014.19,14,0,2,19,28,3,7,1,6,10,3,1,1,95
2014.20,13,0,0,15,24,4,3,0,1,3,0,2,1,66
2014.21,11,2,1,20,18,1,4,1,3,6,3,2,0,72
2014.22,9,1,0,14,17,1,1,0,0,7,0,0,0,50
2014.23,56,11,4,72,58,1,9,2,15,26,12,9,1,276
2014.24,7,1,0,27,20,1,5,2,6,8,0,0,1,78
2014.25,10,1,0,14,15,2,0,0,4,5,1,1,0,53
2014.26,27,3,1,25,9,2,1,0,3,5,4,0,0,80
2014.27,34,5,0,26,21,2,0,1,4,5,0,0,0,98
2014.28,420,4,1,46,36,1,5,1,9,12,3,0,0,538
2014.29,75,1,0,15,12,1,0,0,7,4,3,2,2,122
2014.30,13,0,0,19,19,2,0,0,2,5,2,0,1,63
2014.31,42,0,0,31,42,0,0,12,4,4,4,6,0,145
2014.32,37,2,2,54,25,0,1,12,6,6,1,1,0,147
2014.33,12,1,0,17,24,0,0,0,22,8,2,0,0,86
2014.34,12,1,0,18,27,1,1,1,3,8,3,0,0,75
2014.35,8,1,0,23,29,1,2,1,8,16,5,2,2,98
2014.36,18,2,0,21,35,5,2,3,16,13,4,4,0,123
2014.37,26,4,1,39,44,2,1,1,4,23,6,3,3,157
2014.38,51,0,2,77,58,5,9,6,12,26,6,1,1,254
2014.39,32,2,2,82,55,2,4,7,25,35,6,1,1,254
2014.40,63,6,4,128,169,9,7,6,22,34,19,6,3,476
2014.41,91,3,7,111,117,8,4,5,29,38,11,6,4,434
2014.42,101,8,25,176,114,8,9,5,53,49,20,7,6,581
2014.43,83,11,4,132,105,7,6,10,28,54,9,9,4,462
2014.44,53,3,5,100,82,12,8,6,36,69,5,1,6,386
2014.45,61,4,2,82,104,4,4,4,20,27,12,8,2,334
2014.46,47,4,1,82,75,8,4,4,29,24,8,5,2,293
2014.47,119,3,5,96,120,4,2,4,18,28,6,6,3,414
2014.48,38,2,1,61,57,1,8,4,16,9,3,2,17,219
2014.49,51,5,3,115,112,11,4,12,36,49,25,8,4,435
2014.50,86,8,2,140,138,7,10,11,34,49,20,8,3,516
2014.51,108,14,5,257,195,19,12,15,65,74,41,17,5,827
2014.52,84,14,5,285,199,19,17,12,44,121,60,24,7,891
2014.53,196,15,7,507,278,23,9,13,83,152,53,31,21,1388
2015.01,208,8,12,496,234,9,11,21,90,180,68,65,11,1413
2015.02,91,4,10,426,140,8,10,15,44,96,27,10,6,887
2015.03,86,12,7,226,108,7,4,10,27,59,25,8,6,585
2015.04,78,9,15,146,130,9,8,4,39,58,32,3,4,535
2015.05,108,20,6,142,108,14,6,9,31,56,29,7,4,540
2015.06,60,5,4,121,89,13,3,7,25,40,18,5,1,391
2015.07,51,4,2,70,63,10,1,4,14,24,8,1,4,256
2015.08,67,2,3,64,66,4,2,3,16,25,2,2,2,258
2015.09,41,4,1,81,55,3,1,5,8,19,1,3,2,224
2015.10,33,6,2,72,51,1,1,5,26,13,7,4,3,224
2015.11,34,2,0,48,28,1,1,5,15,11,11,2,4,162
2015.12,21,2,0,29,34,4,0,6,4,8,3,3,1,115
2015.13,19,5,2,32,34,1,0,9,3,10,6,3,0,124
2015.14,23,3,0,25,28,1,4,0,3,16,3,3,0,109
2015.15,37,4,1,47,47,5,1,0,12,11,3,7,2,177
2015.16,38,4,1,43,41,1,1,1,21,19,2,7,0,179
2015.17,26,1,0,28,41,0,0,1,12,10,2,0,0,121
2015.18,23,2,0,31,19,1,0,6,7,4,3,4,0,100
2015.19,22,2,0,34,38,3,0,7,10,1,3,2,0,122
2015.20,16,2,0,31,36,1,0,1,7,11,2,5,0,112
2015.21,17,3,0,26,34,1,0,1,8,8,2,2,1,103
2015.22,22,0,1,24,28,3,2,1,7,13,3,3,0,107
2015.23,28,1,0,42,29,1,1,0,9,10,4,4,0,129
2015.24,13,0,1,17,14,2,2,0,1,8,2,2,1,63
2015.25,11,0,0,14,25,0,0,0,8,1,2,0,2,63
2015.26,11,1,0,16,27,1,0,2,5,6,2,1,0,72
2015.27,12,1,0,19,23,0,1,0,2,5,4,1,2,70
2015.28,14,1,1,9,29,2,1,2,0,8,4,2,0,73
2015.29,12,1,0,16,18,3,0,0,1,8,3,3,0,65
2015.30,5,0,0,1,5,0,0,0,1,0,0,0,0,12
2015.31,7,1,0,13,17,1,1,0,0,4,3,2,1,50
2015.32,13,1,0,19,19,0,1,0,4,2,4,1,1,65
2015.33,8,1,0,31,20,0,0,1,3,4,2,3,1,74
2015.34,17,0,1,47,31,1,0,3,5,12,6,1,1,125
2015.35,10,1,1,41,19,4,1,2,5,12,7,0,0,103
2015.36,19,4,4,33,29,5,1,0,12,12,3,3,3,128
2015.37,27,4,1,40,37,2,2,3,22,25,6,7,0,176
2015.38,34,3,0,73,62,5,1,2,13,40,10,4,1,248
2015.39,57,6,6,104,79,12,3,7,33,42,12,6,2,369
2015.40,65,1,5,109,132,7,3,9,39,43,17,8,4,442
2015.41,52,2,3,110,92,3,0,6,48,22,17,7,4,366
2015.42,42,6,4,114,84,9,2,8,23,67,21,11,5,396
2015.43,61,11,3,88,57,9,1,7,15,20,11,5,7,295
2015.44,66,7,3,119,78,7,3,2,17,21,13,4,0,340
2015.45,45,2,2,97,63,6,2,4,14,22,22,2,0,281
2015.46,39,5,4,86,78,5,1,5,14,21,24,3,0,285
2015.47,27,5,6,69,47,3,1,5,18,21,14,1,0,217
2015.48,38,6,3,84,52,2,2,3,8,25,16,8,0,247
2015.49,33,13,2,102,64,5,2,8,9,48,21,3,0,310
2015.50,32,1,1,73,40,3,1,4,19,14,14,3,1,206
2015.51,30,1,1,66,48,3,4,4,17,29,18,4,0,225
2015.52,22,2,0,60,50,4,1,5,8,20,23,5,0,200
2016.01,39,7,2,63,44,1,3,5,14,24,10,4,0,216
2016.02,44,1,1,66,56,2,3,7,17,12,10,6,3,228
2016.03,45,3,1,109,71,4,1,13,19,20,11,4,3,304
2016.04,38,1,0,69,98,1,4,1,13,16,20,1,0,262
2016.05,32,6,1,77,61,4,1,5,17,26,14,0,1,245
2016.06,30,4,0,63,51,1,2,3,6,30,10,3,2,205
2016.07,52,4,3,46,49,2,1,4,25,14,6,4,2,212
2016.08,92,3,5,101,88,7,0,7,14,26,17,7,4,371
2016.09,65,8,2,89,74,6,0,9,26,20,10,3,1,313
2016.10,57,4,2,111,73,1,2,11,16,36,4,6,0,323
2016.11,29,5,5,101,74,3,2,6,13,17,11,2,3,271
2016.12,25,6,4,88,43,1,1,8,7,14,10,0,1,208
2016.13,19,2,2,89,53,2,2,4,15,15,9,2,9,223
2016.14,12,2,0,96,51,5,1,6,4,17,3,0,4,201
2016.15,26,2,0,86,35,2,0,2,8,10,10,2,0,183
2016.16,54,5,2,118,63,4,5,4,11,19,7,0,3,295
2016.17,22,1,4,105,59,5,1,3,5,16,12,10,2,245
