Week,D01.all,D01.allV%,D01.65+,D01.65+V%,D02.all,D02.allV%,D02.65+,D02.65+V%,D03.all,D03.allV%,D03.65+,D03.65+V%,D04.all,D04.allV%,D04.65+,D04.65+V%,D05.all,D05.allV%,D05.65+,D05.65+V%,D06.all,D06.allV%,D06.65+,D06.65+V%,D07.all,D07.allV%,D07.65+,D07.65+V%,D08.all,D08.allV%,D08.65+,D08.65+V%,D09.all,D09.allV%,D09.65+,D09.65+V%,D10.all,D10.allV%,D10.65+,D10.65+V%,D11.all,D11.allV%,D11.65+,D11.65+V%,D12.all,D12.allV%,D12.65+,D12.65+V%,D13.all,D13.allV%,D13.65+,D13.65+V%,TN.all,TN.allV%,TN.65+,TN.65+V%
2012.32,39944,0.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,37006,0.14,0,0.00,36139,0.09,0,0.00,12556,0.50,0,0.00,23063,0.14,0,0.00,5378,0.20,0,0.00,33169,0.14,0,0.00,33552,0.25,0,0.00,22367,0.45,0,0.00,8089,0.19,0,0.00,13463,0.14,0,0.00,264726,0.18,0,0.00
2012.33,39944,0.34,31781,0.33,17364,0.41,0,0.00,11620,0.20,0,0.00,67091,0.46,18904,0.61,36139,0.46,30353,0.46,36680,0.68,6469,0.88,34318,0.38,19729,0.30,29879,0.65,0,0.00,33169,0.80,27955,0.88,33552,0.95,28137,1.02,69514,0.82,5473,1.75,30162,0.33,0,0.00,13463,0.48,10494,0.49,452895,0.57,179295,0.65
2012.34,39944,0.75,31781,0.76,70316,0.62,9401,1.07,11620,0.59,9463,0.57,72325,1.22,41912,1.35,36139,1.33,30353,1.36,46081,1.35,14669,2.38,43793,1.00,19729,1.14,40844,1.34,14740,1.73,33169,1.83,27955,1.97,33552,2.44,28137,2.64,69514,1.90,36843,2.22,32651,0.79,16459,0.73,13463,1.08,10494,1.05,543411,1.27,291936,1.56
2012.35,39944,2.48,31781,2.11,75641,1.91,43251,2.07,11620,1.29,9463,1.18,76511,3.03,61143,3.12,36139,3.02,30353,3.12,49610,3.06,37183,3.24,52319,2.63,32869,3.02,40844,3.10,24155,3.59,33169,3.43,27955,3.71,33552,5.05,28137,5.43,69514,3.88,53057,4.19,35250,1.80,25814,1.97,13463,2.41,10494,2.46,567576,2.93,415655,3.16
2012.36,39944,4.55,31781,4.20,75641,3.88,57115,3.91,11620,3.26,9463,3.05,76511,6.11,62194,6.35,36139,6.09,30353,6.46,50151,5.58,38398,5.97,52319,5.63,39211,6.09,40844,5.60,30959,5.97,33169,6.15,27955,6.61,33552,9.04,28137,9.67,69514,6.96,55014,7.48,35952,4.20,27855,4.53,13463,4.78,10494,5.10,568819,5.64,448929,5.96
2012.37,39944,7.09,31781,7.00,75641,6.54,61479,6.69,11620,5.80,9463,5.63,76511,10.25,64402,10.66,36139,10.76,30353,11.51,50151,9.38,41218,9.84,52319,10.23,41753,10.90,40844,9.12,32626,9.69,33169,10.49,27955,10.85,33552,13.99,28137,14.97,69514,11.14,55014,12.11,35952,7.69,27855,8.48,13463,8.56,10494,9.36,568819,9.46,462530,10.00
2012.38,39944,10.39,31781,10.46,75641,10.17,61479,10.54,11620,9.68,9463,9.64,76511,15.91,64402,16.77,36139,17.14,30353,18.46,50151,14.33,41218,15.12,52319,15.88,41753,16.99,40844,13.72,32626,14.85,33169,15.51,27955,16.20,33552,20.32,28137,21.89,69514,16.25,55014,17.78,35952,11.67,27855,12.87,13463,13.26,10494,14.67,568819,14.36,462530,15.33
2012.39,39944,14.65,31781,15.13,75641,15.83,61479,16.52,11620,15.18,9463,15.15,76511,22.58,64402,23.87,36139,23.85,30353,25.77,50151,20.28,41218,21.47,52319,22.45,42301,23.87,40844,19.51,32626,21.23,33169,22.03,27955,23.27,33552,27.72,28137,29.89,69514,21.98,55014,24.04,35952,16.80,28352,18.41,13463,18.37,10494,20.41,568819,20.35,463575,21.78
2012.40,39944,19.65,31781,20.69,75706,22.31,61479,23.51,11620,21.44,9463,22.00,76511,29.15,64402,30.99,36139,30.04,30353,32.41,50151,26.55,41218,28.17,52319,28.29,42301,30.03,40844,25.38,32626,27.73,33169,27.58,27955,29.33,33552,34.24,28137,36.97,69514,27.54,55014,30.16,35952,22.24,28352,24.46,13463,24.20,10494,26.87,568884,26.35,463575,28.31
2012.41,39944,24.41,31781,26.05,75706,28.98,61479,30.83,11620,27.68,9463,28.79,76511,35.18,64402,37.56,36139,35.46,30353,38.21,50151,32.19,41691,34.14,52319,34.33,42301,36.50,40844,30.98,32626,33.88,33169,33.83,27955,36.06,33552,39.85,28137,43.00,69514,32.55,55014,35.68,35952,27.20,28352,30.03,13463,30.10,10494,33.48,568884,32.07,464048,34.54
