Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,D10.Tmax,D10.Tmin,D10.prcp,D11.Tmax,D11.Tmin,D11.prcp,D12.Tmax,D12.Tmin,D12.prcp,D13.Tmax,D13.Tmin,D13.prcp,TN.Tmax,TN.Tmin,TN.prcp
1997.01,17.69,12.80,1.40,17.35,11.79,0.25,18.25,12.36,2.66,17.86,10.98,1.73,19.43,11.68,1.90,18.82,10.65,2.17,16.91,9.82,0.47,18.18,10.29,0.65,17.62,12.03,0.38,18.32,9.85,0.88,16.09,8.71,0.98,17.34,6.55,1.53,17.99,8.89,0.23,17.75,10.40,1.28
1997.02,5.48,-2.15,4.30,5.05,-3.37,4.21,5.25,-3.34,3.45,5.89,-4.00,3.43,3.33,-4.20,2.39,5.56,-2.81,6.77,5.59,-3.49,6.11,6.35,-2.08,7.99,5.66,-1.99,7.75,9.36,-0.24,7.44,6.67,-1.80,6.60,8.46,-4.09,5.06,7.06,-1.91,5.81,5.89,-3.09,5.37
1997.03,-1.02,-9.77,2.76,-1.52,-12.09,2.36,-1.75,-11.02,2.56,-1.53,-13.64,2.04,-0.40,-11.50,1.74,1.03,-11.89,2.66,-0.15,-12.17,2.02,2.42,-11.04,3.24,1.28,-9.48,2.84,2.14,-10.39,2.76,1.46,-10.81,2.40,0.95,-13.72,1.72,1.42,-11.23,2.01,0.12,-12.04,2.33
1997.04,14.56,2.87,4.67,14.02,0.70,4.08,13.76,1.64,5.22,12.95,-1.05,6.73,14.21,1.10,5.96,14.45,-0.27,7.35,11.84,-0.83,4.83,12.52,-0.75,6.58,11.01,0.55,8.84,10.71,-2.30,4.49,9.40,-0.95,5.27,8.99,-2.23,2.92,9.45,-0.71,3.54,12.46,-0.51,5.87
1997.05,11.14,-2.63,3.14,10.75,-4.79,3.46,12.26,-3.80,3.79,9.54,-5.08,4.34,11.27,-2.94,3.21,12.18,-3.33,4.87,9.95,-2.93,5.64,11.17,-2.02,3.72,9.04,-1.34,6.04,10.07,-2.06,3.56,9.48,-2.31,3.38,10.86,-3.86,2.67,11.79,-2.41,2.56,10.50,-3.46,4.18
1997.06,11.74,3.58,14.51,11.51,2.63,10.99,10.96,3.17,12.96,12.29,2.38,7.45,11.20,3.51,3.86,13.14,2.87,5.59,11.78,2.71,5.53,13.28,2.80,4.74,11.66,3.89,3.41,14.67,4.14,4.91,12.43,2.95,4.33,13.01,1.61,3.45,12.74,3.26,4.80,12.36,2.79,6.22
1997.07,5.66,-0.11,2.93,4.63,-1.18,2.32,5.11,-0.71,2.39,3.66,-1.70,2.06,4.91,-1.10,1.54,5.52,-1.27,2.10,3.51,-1.68,1.62,4.71,-1.89,1.92,3.80,-1.31,2.99,5.16,-0.94,1.17,4.03,-1.31,1.70,3.91,-2.51,2.50,4.33,-0.84,2.19,4.33,-1.47,1.99
1997.08,17.16,5.45,3.97,17.33,4.22,2.79,17.15,4.76,4.61,17.39,2.80,1.58,17.51,3.33,0.94,18.44,2.55,2.78,16.12,2.31,2.29,17.88,1.82,4.00,14.54,2.14,5.91,17.50,0.64,4.14,15.31,1.19,4.04,15.95,-0.60,3.81,16.86,1.15,2.90,17.03,2.42,2.77
1997.09,17.55,6.32,10.31,17.11,4.69,9.49,17.65,5.66,14.33,16.40,3.00,10.49,18.40,6.41,4.63,18.03,5.36,6.79,15.26,4.50,6.82,16.29,4.62,9.11,14.19,5.63,9.41,16.34,3.27,7.23,14.34,3.07,8.11,16.16,2.01,4.98,16.65,3.61,5.64,16.41,4.19,8.25
1997.10,17.96,5.27,19.07,17.01,4.25,23.52,17.38,5.16,20.26,16.85,4.75,19.87,17.93,5.49,20.94,18.67,5.61,16.11,16.63,5.28,17.94,18.80,5.72,12.50,17.57,6.52,7.71,20.00,6.59,10.17,15.41,4.96,12.15,18.54,4.57,8.13,18.77,6.67,8.56,17.38,5.19,16.67
1997.11,19.97,7.63,3.57,19.43,6.45,3.54,19.38,7.30,3.37,19.00,4.56,3.24,17.86,5.00,3.02,19.43,5.75,2.97,17.40,4.33,3.50,19.49,5.82,4.87,18.81,7.86,4.44,21.59,4.34,3.73,15.44,3.56,3.49,17.64,1.04,2.96,17.81,3.56,3.61,18.43,4.88,3.44
1997.12,17.35,5.63,7.10,16.34,3.88,5.45,16.39,4.89,6.61,14.99,2.42,5.27,16.64,3.19,6.02,16.65,3.09,6.02,14.71,2.72,5.14,16.97,2.96,6.92,16.07,4.96,6.16,15.64,2.39,3.79,13.44,2.50,4.90,14.37,0.60,4.98,14.85,3.17,4.59,15.47,2.87,5.54
1997.13,22.20,7.27,3.25,21.14,5.58,2.66,21.46,6.86,2.60,20.60,4.06,3.50,20.96,6.27,3.66,21.35,4.06,3.76,18.28,3.68,3.46,19.68,4.01,4.15,18.34,6.27,4.21,19.76,4.53,2.83,16.15,3.30,3.88,18.22,1.95,4.61,19.21,4.48,3.54,19.71,4.26,3.61
1997.14,21.56,8.38,8.63,20.37,6.65,3.93,20.64,7.18,5.17,19.68,3.93,0.90,20.23,6.20,0.93,21.13,3.73,1.76,19.84,3.41,0.89,21.83,3.90,1.06,19.47,6.34,0.96,20.56,2.70,0.99,18.71,2.66,1.32,19.47,0.66,1.48,19.93,2.97,1.25,20.13,4.04,1.58
1997.15,19.05,7.08,7.63,18.88,5.25,3.98,19.08,5.47,2.71,18.61,3.12,1.66,18.33,5.00,0.55,19.84,4.02,1.58,18.69,3.85,1.37,19.48,5.13,3.60,18.36,5.84,4.82,21.34,4.51,5.19,17.12,3.61,3.94,18.41,1.97,1.38,18.73,5.22,2.42,18.77,4.04,2.42
1997.16,17.83,3.53,0.00,17.73,1.42,0.31,16.94,2.15,0.04,16.17,-0.18,0.80,16.51,2.07,0.34,17.79,0.21,1.11,16.15,0.13,1.90,17.39,0.83,1.02,15.14,2.26,0.83,17.14,1.74,4.14,14.18,0.85,1.22,14.20,-0.26,1.41,15.51,2.15,1.47,16.35,0.63,1.08
1997.17,20.56,9.10,4.65,19.90,6.95,2.62,20.76,7.94,3.31,19.21,5.48,2.76,19.03,8.41,3.74,20.02,6.15,4.01,17.72,6.00,6.32,19.01,5.68,6.11,18.11,7.39,5.28,17.30,6.67,3.44,15.56,4.86,4.81,15.52,4.70,6.76,17.10,5.99,6.59,18.51,6.05,4.35
1997.18,20.92,10.00,9.57,21.04,8.65,8.07,20.39,9.25,10.34,20.52,8.21,6.56,20.73,8.90,5.39,21.00,8.04,7.56,20.48,8.22,8.69,20.52,9.35,12.80,18.41,9.67,12.92,21.76,9.13,11.30,19.56,7.92,11.22,21.18,6.42,7.89,22.38,9.32,5.76,20.56,8.37,8.52
1997.19,24.66,10.58,0.51,23.60,8.89,0.70,23.14,8.97,0.31,21.81,6.95,1.09,22.37,9.29,0.78,23.08,6.04,1.11,21.01,6.62,1.31,21.92,6.10,1.16,21.66,9.13,0.34,22.39,6.26,1.09,19.64,5.47,0.99,21.07,4.05,1.44,20.91,6.90,0.81,21.85,6.82,1.04
1997.20,24.63,8.84,0.43,23.36,6.87,0.03,23.61,7.37,0.02,22.00,5.00,0.44,22.94,6.43,0.13,23.20,5.33,0.41,21.25,4.59,0.86,22.19,4.74,0.33,21.35,7.30,0.91,21.57,4.86,0.70,19.81,3.86,1.03,20.35,1.82,0.89,21.59,3.49,0.89,21.96,5.07,0.55
1997.21,27.25,14.71,3.42,26.45,12.49,2.32,26.15,13.56,2.58,25.32,10.75,5.37,25.56,14.37,3.85,25.33,10.57,5.24,24.45,10.27,2.68,24.81,10.43,2.35,23.74,10.80,0.38,26.59,10.47,1.67,22.84,8.74,2.94,24.51,6.10,3.26,25.60,8.73,1.26,24.97,10.64,3.71
1997.22,27.41,18.00,17.58,26.20,17.05,13.60,26.76,17.89,12.37,23.84,16.57,9.53,22.86,16.64,9.36,23.48,15.90,12.94,21.45,14.92,10.63,20.57,14.22,10.50,19.74,13.85,10.19,23.71,14.43,13.13,20.11,13.16,10.66,21.83,12.97,7.92,22.26,14.85,11.73,22.75,15.44,10.94
1997.23,24.00,15.60,1.10,22.27,14.69,3.10,21.51,14.95,2.86,20.86,14.04,5.60,21.19,15.24,3.79,21.69,13.83,5.29,21.58,12.66,10.32,21.89,12.98,5.98,20.11,13.09,4.34,24.91,13.81,2.91,20.93,11.88,5.90,22.65,11.15,3.80,22.14,12.63,4.21,21.54,13.47,5.63
1997.24,26.65,18.25,7.11,25.42,17.21,6.44,25.49,17.77,10.27,24.12,16.42,10.87,24.51,17.07,13.09,24.24,16.28,12.53,22.60,15.45,11.34,22.64,15.15,11.91,20.92,14.96,9.53,23.90,16.03,11.77,21.32,13.73,11.68,23.48,12.71,4.01,23.80,14.58,4.74,23.55,15.77,10.73
1997.25,30.10,20.16,7.90,29.14,18.71,8.60,28.73,19.59,6.57,28.30,17.93,4.54,28.17,18.64,3.86,28.21,17.38,5.27,27.57,17.17,2.43,27.37,16.97,3.62,25.68,17.98,5.06,28.26,16.74,2.49,25.19,15.68,3.84,28.21,15.28,3.05,28.54,16.36,3.81,27.77,17.41,4.44
1997.26,32.81,21.79,8.32,31.76,21.08,5.43,31.51,21.36,16.11,30.69,20.11,4.52,30.39,21.11,2.06,30.52,19.67,4.77,29.90,19.19,7.16,29.48,18.95,5.31,27.59,19.92,4.26,31.11,19.19,1.96,27.23,17.33,3.08,29.63,16.77,2.19,29.84,18.48,1.94,30.03,19.48,4.78
1997.27,32.85,22.35,2.63,31.51,20.62,4.41,31.59,21.70,4.50,30.17,19.57,5.94,29.91,20.71,5.58,30.81,19.42,6.49,29.56,18.91,4.54,30.07,19.10,1.65,28.85,19.72,1.69,31.27,19.67,8.89,27.44,17.13,7.99,29.09,16.36,5.28,29.19,17.76,9.95,29.94,19.22,5.50
1997.28,31.10,19.71,1.86,30.49,18.68,0.40,30.24,19.27,1.93,29.38,16.30,0.35,30.23,18.17,0.96,29.82,16.26,0.57,28.49,15.15,0.46,28.63,15.73,0.28,27.50,18.14,0.00,28.81,17.04,2.54,25.83,14.67,2.53,28.08,14.79,0.35,28.61,16.19,0.00,28.90,16.32,0.79
1997.29,33.04,21.59,8.99,32.70,20.60,3.61,31.83,21.27,5.87,32.79,18.62,0.70,33.41,20.24,1.14,32.32,18.59,0.62,31.95,17.58,0.06,31.92,17.71,2.90,30.39,20.81,2.14,32.53,19.33,0.07,28.85,16.96,0.45,31.11,16.59,0.56,31.99,18.13,0.00,31.94,18.54,1.25
1997.30,34.52,23.36,2.88,33.63,22.07,0.62,33.26,22.61,2.21,33.83,20.91,0.28,33.96,22.84,0.91,33.35,20.52,1.20,32.71,20.06,0.95,32.59,20.01,1.74,30.23,21.35,2.13,33.40,20.47,9.94,29.48,18.63,4.21,31.61,18.27,6.01,32.06,19.44,3.94,32.77,20.55,1.82
1997.31,32.80,21.87,0.97,31.69,19.91,2.64,31.74,20.79,2.69,32.63,19.65,3.05,32.14,21.29,5.43,31.98,19.21,2.64,31.67,18.15,1.27,31.27,17.60,0.96,29.68,19.49,6.86,30.89,18.24,0.00,28.03,16.31,1.15,28.90,15.05,4.55,29.15,17.03,5.42,31.31,18.75,2.55
1997.32,29.51,19.21,4.43,29.39,17.37,4.06,29.27,18.33,4.69,30.25,16.65,2.59,28.97,18.81,3.19,29.98,16.63,3.19,29.18,15.43,2.42,29.31,15.65,2.50,26.83,17.67,4.77,29.93,16.29,0.26,26.16,14.16,1.67,28.12,12.51,0.72,27.93,14.84,2.21,29.11,16.20,2.69
1997.33,32.11,22.98,5.59,30.52,21.17,7.59,30.66,22.47,8.13,29.92,20.45,4.15,31.29,21.43,3.60,30.44,20.30,5.84,29.49,19.21,4.19,29.93,18.92,2.37,27.63,19.41,4.52,30.00,19.61,0.81,27.70,17.56,1.94,29.79,17.26,2.95,29.68,18.79,1.12,29.81,19.80,4.18
1997.34,31.36,20.75,3.81,30.19,18.70,6.59,30.24,19.84,10.27,29.67,17.90,4.72,29.29,19.60,6.04,29.90,17.61,3.02,28.35,16.62,5.23,29.58,16.93,2.38,27.85,18.39,1.22,30.40,17.00,2.76,26.72,15.29,4.93,28.23,15.10,3.78,29.51,16.14,3.95,29.14,17.41,4.49
1997.35,32.17,18.61,0.00,30.76,17.48,0.88,30.56,18.34,0.29,30.17,16.44,0.23,30.87,18.64,0.00,30.65,16.10,1.30,28.84,15.55,0.05,30.00,14.78,0.74,28.06,17.81,0.00,29.56,15.31,0.00,26.99,13.69,0.18,28.01,12.59,0.42,28.21,13.71,0.11,29.63,15.92,0.43
1997.36,30.37,18.03,2.01,29.68,16.20,3.41,29.61,17.23,1.21,29.76,15.23,1.43,29.60,16.93,2.76,29.66,15.21,1.59,29.34,14.17,1.53,29.66,14.53,2.32,28.04,16.67,0.85,30.39,14.20,0.29,27.21,12.63,0.24,29.02,10.49,0.03,30.18,12.36,0.00,29.32,14.77,1.53
