Week,TX.tc
2013.32,456
2013.33,409
2013.34,470
2013.35,443
2013.36,670
2013.37,913
2013.38,1187
2013.39,1498
2013.40,1479
2013.41,1569
2013.42,1782
2013.43,1829
2013.44,1372
2013.45,1290
2013.46,1614
2013.47,1176
2013.48,1283
2013.49,1622
2013.50,2068
2013.51,3307
2013.52,3023
2014.01,3960
2014.02,5953
2014.03,4185
2014.04,2933
2014.05,2211
2014.06,1424
2014.07,1229
2014.08,1230
2014.09,907
2014.10,705
2014.11,660
2014.12,790
2014.13,689
2014.14,618
2014.15,648
2014.16,576
2014.17,524
2014.18,521
2014.19,370
2014.20,405
2014.21,334
2014.22,325
2014.23,1288
2014.24,444
2014.25,414
2014.26,533
2014.27,491
2014.28,409
2014.29,354
2014.30,313
2014.31,481
2014.32,331
2014.33,318
2014.34,365
2014.35,418
2014.36,482
2014.37,671
2014.38,1063
2014.39,1195
2014.40,1999
2014.41,1814
2014.42,2345
2014.43,1837
2014.44,1448
2014.45,1414
2014.46,1264
2014.47,1370
2014.48,1010
2014.49,2067
2014.50,2609
2014.51,2344
2014.52,2042
2014.53,2495
2015.01,2688
2015.02,2352
2015.03,2120
2015.04,1894
2015.05,1519
2015.06,1123
2015.07,1018
2015.08,1018
2015.09,829
2015.10,754
2015.11,573
2015.12,521
2015.13,524
2015.14,512
2015.15,616
2015.16,762
2015.17,413
2015.18,430
2015.19,669
2015.20,484
2015.21,523
2015.22,1010
2015.23,1260
2015.24,802
2015.25,725
2015.26,599
2015.27,559
2015.28,395
2015.29,395
2015.30,44
2015.31,369
2015.32,444
2015.33,415
2015.34,426
2015.35,527
2015.36,544
2015.37,937
2015.38,953
2015.39,1504
2015.40,1614
2015.41,1353
2015.42,1308
2015.43,1166
2015.44,1102
2015.45,1091
2015.46,1091
2015.47,819
2015.48,979
2015.49,1319
2015.50,911
2015.51,802
2015.52,850
2016.01,801
2016.02,834
2016.03,865
2016.04,844
2016.05,750
2016.06,801
2016.07,837
2016.08,1179
2016.09,1105
2016.10,978
2016.11,742
2016.12,902
2016.13,761
2016.14,768
2016.15,713
2016.16,1317
2016.17,720
2016.18,544
2016.19,557
2016.20,587
2016.21,1051
2016.22,228
