Week,TX.Tmax,TX.Tmin,TX.prcp
1997.01,23.37,12.49,0.41
1997.02,9.53,0.04,2.57
1997.03,5.17,-3.94,0.65
1997.04,18.61,6.06,1.72
1997.05,18.15,0.77,0.64
1997.06,17.10,6.40,2.33
1997.07,10.65,1.65,5.34
1997.08,19.29,6.53,5.24
1997.09,15.73,6.01,2.68
1997.10,20.78,6.60,1.65
1997.11,21.33,10.76,5.33
1997.12,22.31,8.35,2.41
1997.13,24.43,11.03,1.74
1997.14,21.54,11.71,9.71
1997.15,21.12,8.36,1.87
1997.16,20.47,7.23,0.65
1997.17,24.45,12.50,7.46
1997.18,25.16,12.04,1.56
1997.19,26.20,14.25,3.90
1997.20,26.63,14.06,2.72
1997.21,26.62,17.17,5.85
1997.22,29.48,18.41,3.27
1997.23,29.75,17.60,3.34
1997.24,30.40,19.73,5.71
1997.25,31.85,20.50,5.19
1997.26,30.73,20.67,6.81
1997.27,33.33,21.87,0.41
1997.28,32.86,21.38,1.49
1997.29,34.76,21.58,0.32
1997.30,34.73,22.19,0.73
1997.31,34.62,22.26,1.82
1997.32,32.89,20.86,4.73
1997.33,34.35,22.88,0.95
1997.34,35.15,22.52,1.47
1997.35,33.37,19.51,0.24
1997.36,33.30,20.04,1.61
1997.37,33.62,19.70,0.87
1997.38,34.65,21.32,0.49
1997.39,28.63,17.23,5.75
1997.40,32.45,17.12,0.23
1997.41,28.09,19.54,9.37
1997.42,24.01,9.84,4.60
1997.43,24.88,11.97,2.25
1997.44,22.16,8.58,0.34
1997.45,22.03,6.32,0.60
1997.46,13.25,4.99,5.81
1997.47,14.18,2.99,0.40
1997.48,21.40,9.23,1.72
1997.49,15.02,3.68,1.77
1997.50,13.09,2.18,1.64
1997.51,18.91,0.96,2.57
1997.52,13.13,2.26,6.73
1997.53,16.45,2.80,0.29
1998.01,17.05,6.38,6.56
1998.02,17.23,4.25,0.79
1998.03,17.34,3.27,1.11
1998.04,19.21,4.26,1.60
1998.05,15.30,3.85,2.01
1998.06,18.22,4.70,2.82
1998.07,16.39,4.87,3.78
1998.08,20.52,6.05,4.17
1998.09,18.78,5.29,0.50
1998.10,13.13,1.46,1.62
1998.11,19.25,7.18,6.38
1998.12,25.37,11.08,0.24
1998.13,25.30,10.15,1.04
1998.14,24.99,9.45,0.42
1998.15,25.65,13.05,0.47
1998.16,25.55,9.36,0.71
1998.17,26.16,11.71,1.20
1998.18,31.55,16.73,0.47
1998.19,31.12,17.44,0.06
1998.20,33.09,19.16,0.05
1998.21,33.12,20.06,1.88
1998.22,34.74,20.79,1.32
1998.23,32.87,20.99,2.39
1998.24,36.63,22.54,0.25
1998.25,36.62,23.31,0.14
1998.26,35.44,23.56,3.00
1998.27,36.34,23.43,0.59
1998.28,37.54,22.94,1.11
1998.29,36.91,23.39,0.35
1998.30,37.12,23.25,0.32
1998.31,34.45,21.68,3.72
1998.32,34.40,21.74,2.54
1998.33,32.53,21.48,4.53
1998.34,33.16,22.00,4.17
1998.35,34.85,20.93,0.86
1998.36,31.31,20.24,8.44
1998.37,29.31,20.75,7.04
1998.38,32.33,20.94,0.58
1998.39,32.62,20.63,2.03
1998.40,27.56,13.86,7.00
1998.41,27.96,15.80,4.89
1998.42,20.29,11.84,12.97
1998.43,25.59,15.86,1.29
1998.44,18.09,8.70,5.09
1998.45,18.68,9.35,8.34
1998.46,21.47,10.47,1.10
1998.47,23.64,11.17,0.07
1998.48,24.17,13.45,1.84
1998.49,14.29,5.94,5.31
1998.50,17.02,2.29,0.62
1998.51,9.23,-1.30,0.34
1998.52,17.68,2.52,1.39
1999.01,13.48,-0.50,0.19
1999.02,17.16,0.92,0.19
1999.03,22.31,6.77,0.39
1999.04,20.89,7.31,3.41
1999.05,20.08,7.32,0.15
1999.06,22.85,8.50,0.42
1999.07,20.77,4.49,0.35
1999.08,21.41,6.92,0.17
1999.09,24.11,7.06,0.15
1999.10,21.20,9.35,4.17
1999.11,19.33,6.45,3.44
1999.12,21.51,9.21,1.28
1999.13,21.01,12.93,3.27
1999.14,27.16,13.70,1.06
1999.15,24.04,10.47,1.39
1999.16,27.78,14.24,0.09
1999.17,27.03,15.35,4.01
1999.18,27.41,14.35,1.33
1999.19,28.63,16.73,5.16
1999.20,29.51,17.99,2.57
1999.21,29.35,17.71,4.53
1999.22,31.99,21.10,1.35
1999.23,31.92,20.37,2.39
1999.24,29.70,19.06,4.15
1999.25,30.27,21.33,7.69
1999.26,33.51,23.52,0.28
1999.27,32.72,21.54,3.17
1999.28,31.91,20.93,3.54
1999.29,32.80,21.36,2.08
1999.30,35.43,22.50,0.14
1999.31,35.30,21.97,1.00
1999.32,36.94,23.13,0.17
1999.33,36.90,21.45,0.22
1999.34,35.27,22.20,2.36
1999.35,35.03,21.12,0.86
1999.36,33.89,20.61,1.69
1999.37,31.56,17.63,1.21
1999.38,30.74,14.29,0.12
1999.39,29.67,14.50,1.47
1999.40,29.62,14.18,0.67
1999.41,30.45,15.31,0.24
1999.42,22.36,7.29,2.53
1999.43,26.26,9.56,1.25
1999.44,22.76,7.38,1.05
1999.45,26.07,10.04,0.01
1999.46,26.11,9.09,0.03
1999.47,20.80,6.20,1.20
1999.48,22.50,7.97,0.80
1999.49,17.96,2.45,1.41
1999.50,16.57,1.03,2.20
1999.51,13.35,0.90,0.80
1999.52,20.68,3.56,0.02
2000.01,17.27,3.58,3.67
2000.02,21.63,5.60,0.14
2000.03,22.20,7.57,0.01
2000.04,12.64,1.90,1.93
2000.05,13.40,0.64,1.36
2000.06,21.99,5.80,0.21
2000.07,24.44,9.66,0.11
2000.08,22.78,10.50,3.53
2000.09,23.07,8.22,0.66
2000.10,24.09,10.51,1.26
2000.11,20.38,6.55,3.16
2000.12,23.74,11.33,2.16
2000.13,25.84,12.77,1.89
2000.14,23.37,8.88,3.12
2000.15,23.05,10.99,3.52
2000.16,28.02,13.99,0.20
2000.17,29.33,14.48,0.40
2000.18,27.52,16.09,7.27
2000.19,31.27,19.43,1.42
2000.20,29.12,17.26,4.62
2000.21,32.55,20.42,0.85
2000.22,32.19,20.40,2.81
2000.23,29.34,18.49,8.03
2000.24,30.63,21.02,3.85
2000.25,31.45,21.58,3.14
2000.26,32.53,21.68,1.87
2000.27,33.74,21.58,0.28
2000.28,35.97,22.18,0.25
2000.29,36.99,21.97,0.07
2000.30,35.38,21.10,0.71
2000.31,34.83,21.03,1.26
2000.32,35.79,22.15,0.46
2000.33,36.08,21.22,0.32
2000.34,35.43,21.29,0.56
2000.35,37.29,22.26,0.13
2000.36,37.25,21.28,0.35
2000.37,34.20,20.48,2.60
2000.38,32.86,17.51,0.64
2000.39,27.52,10.85,2.24
2000.40,29.98,15.54,1.61
2000.41,19.11,9.09,3.43
2000.42,25.52,15.56,4.89
2000.43,25.67,17.70,5.53
2000.44,24.65,16.34,10.17
2000.45,16.78,6.62,6.73
2000.46,14.06,3.62,4.74
2000.47,14.97,3.61,4.59
2000.48,18.20,5.24,0.37
2000.49,12.40,2.01,0.61
2000.50,13.33,1.16,1.82
2000.51,13.33,-1.19,0.15
2000.52,8.86,0.07,5.56
2001.01,10.75,-1.45,0.48
2001.02,13.85,2.42,3.54
2001.03,10.21,1.57,3.71
2001.04,14.49,2.14,0.43
2001.05,15.09,3.15,2.79
2001.06,18.71,4.58,0.56
2001.07,16.02,6.33,4.38
2001.08,18.96,6.74,0.86
2001.09,16.78,6.97,4.89
2001.10,18.62,5.54,2.60
2001.11,19.84,7.34,3.42
2001.12,19.50,6.13,1.37
2001.13,15.39,6.74,3.90
2001.14,25.87,15.93,0.09
2001.15,26.70,15.79,0.92
2001.16,25.09,13.49,0.66
2001.17,25.17,11.62,2.22
2001.18,27.37,15.69,4.08
2001.19,28.27,16.21,3.98
2001.20,30.26,18.01,0.69
2001.21,29.61,15.39,1.63
2001.22,31.73,19.77,2.47
2001.23,32.00,20.88,5.68
2001.24,33.61,20.73,2.44
2001.25,32.82,19.66,1.19
2001.26,33.11,20.73,1.87
2001.27,32.69,20.78,2.62
2001.28,35.65,22.26,0.11
2001.29,35.79,23.16,0.43
2001.30,35.96,22.88,0.64
2001.31,35.50,22.62,0.35
2001.32,35.81,22.07,0.72
2001.33,35.06,22.34,2.24
2001.34,35.03,22.07,0.59
2001.35,29.57,20.60,16.47
2001.36,31.23,20.64,6.11
2001.37,29.70,18.35,2.20
2001.38,30.92,19.69,2.67
2001.39,26.43,12.37,1.15
2001.40,26.39,12.53,1.65
