Week,R01.%ILI,R03.%ILI,R04.%ILI,R05.%ILI,R06.%ILI,R07.%ILI,R08.%ILI,R09.%ILI,R10.%ILI,R02.%ILI,USA.%ILI
1997.40,00.62,00.38,01.34,00.45,00.90,00.75,01.15,00.42,02.26,04.83,01.22
1997.41,00.82,00.23,01.53,00.39,01.08,00.88,00.65,00.72,02.57,03.96,01.28
1997.42,01.23,00.13,02.19,00.47,01.06,00.90,00.61,00.25,02.42,02.18,01.24
1997.43,01.62,00.22,01.70,00.17,01.00,01.06,00.69,00.42,02.64,00.61,01.14
1997.44,00.78,02.89,01.05,00.47,01.35,01.69,00.50,00.35,03.15,01.11,01.26
1997.45,00.83,02.71,00.15,00.57,01.54,01.92,00.50,00.27,02.21,02.85,01.28
1997.46,00.61,01.98,01.77,00.65,01.34,02.12,00.85,01.58,02.86,02.90,01.45
1997.47,00.71,03.05,01.82,00.72,01.65,02.61,00.93,02.17,03.02,01.26,01.65
1997.48,01.05,00.20,01.94,00.69,02.07,02.45,00.58,00.64,02.83,01.14,01.68
1997.49,01.20,00.96,01.68,00.70,01.78,02.70,00.86,03.42,02.19,01.04,01.62
1997.50,01.00,01.26,01.91,01.10,01.98,02.55,01.54,01.77,02.62,01.29,01.77
1997.51,00.91,03.61,02.25,01.14,01.89,03.86,01.21,01.16,03.97,02.55,02.10
1997.52,01.25,02.26,03.39,03.18,03.35,04.63,01.12,02.20,04.29,03.02,03.14
1997.53,02.68,00.77,03.95,02.01,04.09,06.80,03.22,01.38,05.40,02.98,03.72
1998.01,01.93,01.95,04.81,02.69,02.79,07.34,02.44,01.46,06.85,03.29,03.59
1998.02,01.84,01.04,06.33,02.51,02.81,06.09,03.97,03.98,06.45,03.97,03.69
1998.03,03.07,04.42,05.79,02.09,04.09,04.34,08.40,07.14,06.73,06.67,04.60
1998.04,04.37,04.75,04.93,02.54,05.20,04.00,09.94,06.74,05.67,04.99,04.91
1998.05,06.02,05.08,04.90,02.20,04.91,06.67,10.19,04.57,04.35,05.09,04.83
1998.06,05.62,01.83,05.41,02.56,04.03,06.28,06.26,03.49,03.09,04.34,03.95
