Week,R04
2014.30,1.11
2014.31,1.08
2014.32,1.1
2014.33,1.1
2014.34,1.12
2014.35,1.28
2014.36,1.33
2014.37,1.52
2014.38,1.65
2014.39,1.89
2014.40,2.06
2014.41,2.03
2014.42,2.1
2014.43,2.04
2014.44,2.22
2014.45,2.28
2014.46,2.37
2014.47,2.61
2014.48,2.97
2014.49,3.48
2014.50,4.74
2014.51,5.96
2014.52,6.73
2014.53,5.15
2015.01,4.22
2015.02,3.85
2015.03,3.67
2015.04,3.47
2015.05,3.18
2015.06,2.9
2015.07,2.85
2015.08,2.72
2015.09,2.48
2015.10,2.24
2015.11,1.88
2015.12,1.83
2015.13,1.75
2015.14,1.48
2015.15,1.38
2015.16,1.2
2015.17,1
2015.18,0.84
2015.19,0.67
2015.20,1.56
