Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2013.32,00.53,00.92,00.65,00.54,00.71,01.21,00.86,00.66,01.00,00.22,00.76
2013.33,00.45,00.79,00.75,00.60,00.88,01.32,00.66,00.57,00.98,00.17,00.80
2013.34,00.45,00.86,00.72,00.77,00.77,01.41,00.56,00.54,00.85,00.16,00.80
2013.35,00.41,00.82,00.78,00.85,00.84,01.71,00.22,00.98,01.19,00.16,00.92
2013.36,00.35,00.81,00.95,00.87,00.94,02.14,00.78,00.80,01.30,00.16,01.04
2013.37,00.40,00.86,01.13,00.90,01.04,02.26,00.92,00.43,01.32,00.26,01.10
2013.38,00.47,01.23,01.22,00.85,01.13,02.37,00.83,00.46,01.35,00.32,01.17
2013.39,00.61,01.42,01.23,01.02,01.13,02.58,00.36,00.65,01.61,00.34,01.28
2013.40,00.62,01.43,01.09,01.02,01.14,02.10,00.34,00.76,01.11,00.47,01.13
2013.41,00.64,01.35,01.17,01.09,01.24,02.22,00.44,00.85,01.34,00.45,01.22
2013.42,00.73,01.46,01.23,01.20,01.24,02.35,00.40,00.72,01.33,00.55,01.27
2013.43,00.69,01.61,01.33,01.46,01.35,02.42,00.49,00.91,01.28,00.50,01.38
2013.44,00.72,01.69,01.33,01.54,01.42,02.50,00.50,00.91,01.46,00.53,01.45
2013.45,00.78,01.75,01.34,01.77,01.45,02.86,00.53,00.94,01.68,00.40,01.59
2013.46,00.79,01.76,01.44,01.81,01.44,03.17,00.47,00.87,01.62,00.53,01.64
2013.47,00.71,01.91,01.46,02.01,01.49,03.43,00.58,01.27,01.66,00.48,01.75
2013.48,00.93,02.25,01.76,02.49,01.99,04.13,00.57,01.36,01.95,00.66,02.14
2013.49,00.82,02.30,01.77,02.79,01.92,04.61,00.66,01.64,01.84,00.64,02.25
2013.50,01.03,02.32,01.88,02.81,02.09,05.34,00.80,01.73,02.09,00.92,02.44
2013.51,01.14,02.63,02.30,03.66,02.51,06.90,01.36,02.28,02.57,01.81,03.07
2013.52,01.74,03.37,03.30,04.97,04.04,09.22,02.30,03.84,03.70,04.73,04.34
2014.01,01.74,03.50,03.74,04.23,03.89,08.27,02.10,03.02,03.74,04.99,04.07
