Year.Wk,R.01#,R.02#,R.03#,R.04#,R.05#,R.06#,R.07#,R.08#,R.09#,R.10#,US#
2013.32,297,924,866,1181,1126,676,755,194,1296,250,7565
2013.33,434,1084,975,1035,888,581,662,165,1065,208,7097
2013.34,356,858,837,1219,999,631,684,179,1134,285,7182
2013.35,339,859,894,1164,1055,626,575,163,1119,228,7022
2013.36,470,1213,1280,1797,1445,980,783,265,1395,359,9987
2013.37,565,1224,1345,2010,1736,1309,951,263,1679,423,11505
2013.38,841,1695,1687,2360,2409,1602,1158,360,2179,566,14857
2013.39,1243,2307,2450,3108,3038,2087,1490,558,3115,890,20286
2013.40,1244,2415,2596,3178,3281,2123,1512,575,2801,912,20637
2013.41,1311,2267,2398,3533,3174,2270,1684,672,3210,923,21442
2013.42,1264,2574,2522,3543,3564,2482,1624,664,3095,830,22162
2013.43,1308,2839,2779,4194,4158,2812,2042,689,3416,904,25141
2013.44,1106,2366,2085,3564,3196,2085,1529,585,3007,764,20287
2013.45,973,2065,1914,3401,2978,1989,1389,597,2922,719,18947
2013.46,996,2353,2203,3617,3280,2256,1530,655,3211,776,20877
2013.47,855,1804,1709,3033,2537,1710,1202,515,2556,639,16560
2013.48,690,1771,1530,2913,2308,1799,1352,445,2440,600,15848
2013.49,840,2091,1980,4052,3249,2324,1609,599,3046,746,20536
2013.50,1298,2825,2366,4558,3520,2765,1851,728,3009,963,23883
2013.51,938,2303,2086,4527,3214,4091,1694,612,2825,896,23186
2013.52,737,2198,2020,4362,4080,3837,1845,633,2826,988,23526
2014.01,1372,2953,3061,6560,5183,5404,2883,1094,4361,1557,34428
2014.02,1921,3824,3841,7577,5660,7843,3417,1211,7767,2852,45913
2014.03,1478,3374,3324,6322,5613,5786,3004,965,6874,1711,38451
2014.04,1259,3137,3339,6237,5222,4653,2844,849,6282,1562,35384
2014.05,1363,3194,3266,5198,4225,3491,2312,695,6097,1129,30970
2014.06,1109,2622,2375,3751,2987,2375,1770,486,4526,960,22961
2014.07,980,2020,2064,2912,2681,1989,1426,565,3381,740,18758
2014.08,992,2079,2101,2924,2739,1807,1534,457,3121,775,18529
2014.09,761,1667,1697,2265,2306,1429,1215,413,2337,625,14715
2014.10,585,1395,1429,1870,2048,1093,999,283,1820,465,11987
2014.11,584,1323,1158,1596,1857,954,810,274,1779,440,10775
2014.12,647,1458,1404,2944,2264,1115,1204,422,1784,417,13659
2014.13,629,1800,1537,1718,1921,942,875,268,1570,433,11693
2014.14,620,1582,1217,1580,1575,845,749,208,1400,363,10139
2014.15,696,1610,1405,1982,1583,858,949,242,1590,379,11294
2014.16,705,1391,945,1308,1208,776,715,185,1292,329,8854
2014.17,606,1160,854,1271,1547,729,639,191,1354,314,8665
2014.18,412,936,867,1091,1158,721,582,206,1158,344,7475
2014.19,381,902,710,1072,972,512,488,185,1174,314,6710
2014.20,430,765,592,960,839,559,583,205,987,257,6177
2014.21,284,675,614,846,774,461,435,132,931,280,5432
2014.22,189,565,427,781,666,488,436,150,957,218,4877
2014.23,499,1488,1310,2713,1924,1767,941,296,1804,364,13106
2014.24,278,837,704,1074,916,585,553,173,1218,261,6599
2014.25,384,602,632,774,675,520,588,112,1100,253,5640
2014.26,196,637,663,869,805,677,639,146,1161,256,6049
2014.27,253,726,594,969,735,632,614,168,1046,274,6011
2014.28,261,802,678,1423,769,583,721,142,1129,240,6748
2014.29,263,645,783,866,689,577,588,138,1062,234,5845
2014.30,236,576,770,788,607,446,453,146,865,212,5099
2014.31,273,703,684,965,795,676,472,149,932,202,5851
2014.32,288,778,687,1055,728,524,548,197,1023,314,6142
2014.33,245,810,692,951,747,477,739,164,892,319,6036
2014.34,238,869,669,981,806,512,794,206,971,279,6325
2014.35,240,688,711,1079,985,611,720,209,1072,339,6654
2014.36,262,766,880,1392,1142,636,614,236,1203,340,7471
2014.37,422,998,1077,1556,1506,924,803,293,1383,393,9355
2014.38,671,1513,1701,2249,2146,1422,1227,442,1877,582,13830
2014.39,892,1907,1717,2709,2315,1608,1522,496,2302,677,16145
2014.40,1168,2543,2648,3822,3345,2659,2356,660,3144,1085,23430
2014.41,1281,2665,3210,4358,3667,2629,2783,769,3224,1118,25704
2014.42,1814,3060,3675,5065,4544,3302,3093,873,4155,1429,31010
2014.43,1568,3446,3390,4129,3823,2707,3074,753,3743,1115,27748
2014.44,1059,2390,2534,3375,2885,2112,2170,563,3182,830,21100
2014.45,1004,2112,2123,3338,2787,2019,2755,629,3106,815,20688
2014.46,730,1935,1614,2781,2325,1817,2424,581,2667,756,17630
2014.47,873,2388,1967,3337,2765,2007,3396,544,3055,713,21045
2014.48,491,1517,1159,2433,2061,1459,2187,439,1938,470,14154
2014.49,1001,2796,2539,4348,4052,3002,5765,864,3476,980,28823
2014.50,984,2287,2527,4899,5451,3496,7527,932,2836,777,31716
2014.51,748,2331,2508,5887,6184,3250,7637,1061,2733,957,33296
2014.52,645,2173,2635,5608,4604,2931,6874,789,2393,744,29396
2014.53,1131,3784,4452,7545,9028,3793,8821,1080,4126,1256,45016
2015.01,1581,4169,4500,7615,7316,4092,8552,1116,5043,1441,45425
2015.02,1521,3825,3717,5555,7701,3634,7978,926,4608,1452,40917
2015.03,1524,3132,2799,4328,5071,3516,4282,738,4444,1257,31091
2015.04,1066,2789,2593,3839,6452,3168,4539,626,4465,1068,30605
2015.05,1097,2506,2352,3509,4620,2400,3894,566,3355,926,25225
2015.06,939,1733,1589,2766,5062,1810,3410,460,2661,623,21053
2015.07,633,1627,1345,2531,3553,1595,3578,456,2286,542,18146
2015.08,572,1649,1391,2368,4341,1562,3626,391,2152,542,18594
2015.09,531,1468,1260,2261,4151,1285,3616,382,2047,530,17531
2015.10,563,1470,1234,2136,4276,1247,3728,368,2141,525,17688
2015.11,438,1108,889,1498,3273,917,2715,287,1659,488,13272
2015.12,439,1051,877,1278,2722,765,2858,268,1547,431,12236
2015.13,414,1009,833,1274,2100,723,2645,298,1668,369,11333
2015.14,451,1240,913,1427,2789,736,2879,370,2110,415,13330
2015.15,460,1345,1014,1763,3180,937,3828,473,2014,428,15442
2015.16,489,1592,1157,1801,3027,1083,4078,572,2291,549,16639
2015.17,388,1086,803,1225,2336,643,3695,462,1588,387,12613
