Year.Wk,R.01#,R.02#,R.03#,R.04#,R.05#,R.06#,R.07#,R.08#,R.09#,R.10#,US#
2013.32,852,1605,1756,693,238,207,0,0,4235,296,9881
2013.33,7024,10428,11284,11682,6556,1750,522,734,23692,3016,76685
2013.34,20733,34164,39641,53866,37152,11537,3498,4237,76283,11169,292279
2013.35,52367,91538,106728,171729,125327,58085,16030,15807,187507,32199,857316
2013.36,116634,216197,247077,412986,309145,150837,49742,41448,385994,71150,2001209
2013.37,206879,392185,427784,739052,580467,284569,108063,83747,617737,127221,3567706
2013.38,324466,598654,648817,1136853,931557,453482,192966,143260,890312,209047,5529413
2013.39,460966,830668,914922,1629235,1365241,668619,317268,227397,1196984,311219,7922520
2013.40,598104,1051195,1175721,2125635,1821697,896360,449937,319344,1492439,413527,10343959
2013.41,709886,1243313,1413727,2562601,2213091,1099467,571158,397574,1740731,504776,12456323
2013.42,810981,1405645,1613507,2935274,2565443,1271195,670270,458766,1942161,580324,14253565
2013.43,884857,1526633,1763821,3224681,2822299,1395299,740431,505619,2097905,636792,15598336
2013.44,941977,1617723,1883087,3454565,3016932,1492682,797768,540600,2219169,681883,16646386
2013.45,984391,1688175,1974017,3632501,3154820,1567844,835226,564101,2311087,715304,17427466
2013.46,1018413,1744798,2044670,3764631,3273313,1624821,863044,581489,2385493,741692,18042363
2013.47,1032884,1769387,2074984,3832033,3323969,1648668,874502,589168,2421337,753971,18320902
2013.48,1051876,1800670,2114293,3915364,3382184,1681015,890192,599523,2464680,768555,18668353
2013.49,1066412,1823608,2142171,3979524,3433823,1708277,901593,609016,2501412,780661,18946497
2013.50,1077364,1841029,2166363,4035776,3474458,1738104,911334,615955,2528896,790661,19179938
2013.51,1081663,1848905,2175216,4052276,3490744,1754829,915359,618540,2540090,796220,19273843
2013.52,1090140,1858137,2190579,4095802,3518623,1781799,923198,625172,2559473,805464,19448386
2014.01,1101261,1872431,2210272,4122951,3550146,1815190,930812,633783,2600344,826817,19664006
2014.02,1110917,1886046,2227873,4203162,3596470,1844481,941376,640051,2640800,838554,19929730
2014.03,1116078,1893760,2237929,4236005,3624526,1860087,947631,643657,2664570,846472,20070715
2014.04,1119843,1899946,2245030,4252393,3638999,1868672,950925,645852,2683774,850845,20156280
2014.05,1121901,1903138,2249520,4266816,3647976,1873895,952455,647193,2698683,853223,20214800
2014.06,1123517,1905622,2252500,4273347,3654773,1877617,953732,647623,2706921,854956,20250607
2014.07,1124529,1907399,2255068,4276622,3659132,1880282,954421,648467,2712265,854824,20273009
2014.08,1125682,1909178,2257268,4282787,3662936,1882187,955205,649139,2716510,857406,20298297
2014.09,1126311,1910405,2258440,4285557,3665472,1883476,955677,648666,2719369,858206,20311580
2014.10,1126759,1911148,2259480,4287681,3667160,1884497,956078,650434,2721258,858754,20323249
2014.11,1127085,1911786,2260214,4289288,3668477,1885318,956377,650677,2722643,859225,20331092
2014.12,1127344,1912317,2260795,4290557,3669459,1885845,956637,650864,2723737,859528,20337083
2014.13,1127489,1912660,2261161,4291316,3670106,1884043,955346,650945,2724413,859736,20337217
2014.14,1127564,1912943,2261337,4291667,3670416,1884229,955398,651004,2724783,859833,20339174
2014.15,1127653,1913155,2261439,4291940,3670604,1884336,955431,651051,2725012,859906,20340528
2014.16,1127718,1913355,2261529,4292160,3670746,1884458,955462,651087,2695188,859966,20311668
2014.17,1127782,1913495,2261599,4292291,3670875,1886780,956919,651120,2725362,860002,20346222
2014.18,1127823,1913623,2261647,4292403,3670952,1886839,956927,651146,2725470,860047,20346877
2014.19,1127891,1913726,2261695,4292508,3671035,1887243,956939,651157,2725583,860066,20347844
2014.20,1128163,1913842,2261747,4292600,3671072,1887343,956950,651161,2725691,860087,20348656
2014.21,1128342,1913900,2261779,4292664,3671118,1887363,956953,651161,2725749,860106,20349136
2014.22,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.23,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.24,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.25,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.26,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.27,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.28,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.29,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.30,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.31,1128344,1913911,2261780,4292670,3671122,1887363,956953,651161,2725749,860108,20349162
2014.32,3311,6009,6249,10508,4718,2343,1038,588,16247,1564,52574
2014.33,10814,18389,20358,38296,19384,8772,3743,2252,45339,5763,173109
2014.34,22839,41039,47932,87829,52428,24476,10142,7112,91635,13310,398742
2014.35,45356,86524,105841,200132,136282,68380,27914,19286,181186,30366,901269
2014.36,90509,181482,212066,392490,297505,144146,64504,46160,330644,63536,1823042
2014.37,169854,332453,375855,682254,551325,262086,123425,83537,531812,115279,3227881
2014.38,278464,516302,591997,1068433,888870,425304,212559,138187,781164,191487,5092768
2014.39,408347,738978,848586,1529830,1301413,627262,323584,211506,1076212,287577,7353294
2014.40,559456,988971,1153275,2081982,1802393,866820,461517,305116,1388236,397244,10005009
2014.41,685195,1205471,1422647,2588295,2256185,1094624,598486,390745,1668547,506578,12416773
2014.42,797391,1385255,1639691,2998581,2620548,1282673,699566,456223,1898208,590909,14369045
2014.43,884945,1528390,1808276,3312992,2891129,1425877,773852,505680,2072200,655791,15859132
2014.44,948191,1626204,1928251,3541092,3086835,1529554,828379,541156,2206903,702431,16938996
2014.45,993943,1702747,2017874,3713127,3229497,1612196,865172,564147,2308637,735501,17742841
2014.46,1029744,1759282,2086131,3846856,3335319,1677859,891255,584197,2391015,762030,18363688
2014.47,1044858,1786287,2116861,3908482,3386541,1705406,903150,593242,2428863,774588,18648279
2014.48,1064331,1819062,2153777,3985368,3450589,1743382,918094,604407,2475925,789634,19004569
2014.49,1077955,1841197,2181532,4044954,3501937,1771819,929365,613109,2511965,800903,19274736
2014.50,1089976,1860851,2204155,4092172,3543951,1793252,937408,619452,2539919,810796,19491933
2014.51,1094571,1868475,2213683,4110761,3560277,1801753,941255,622152,2552666,814653,19580246
2014.52,1099711,1876835,2224214,4131825,3575874,1810740,946552,624907,2565160,819718,19675538
2014.53,1107437,1888165,2237418,4162204,3594904,1824058,951583,628946,2586612,827956,19809282
2015.01,1112855,1896769,2246567,4180378,3609121,1833006,954890,631630,2601823,833421,19900460
2015.02,1116246,1901946,2252386,4191895,3618481,1838518,956956,633284,2611601,836718,19958032
2015.03,1117879,1904759,2256268,4200271,3625559,1843108,958495,634623,2619257,839236,19999455
2015.04,1119282,1907199,2259574,4206518,3630450,1846615,959522,635507,2625136,841075,20030878
2015.05,1120433,1909266,2262085,4211272,3634492,1849337,960400,636158,2629441,842394,20055278
2015.06,1121236,1910606,2263538,4214401,3637425,1851296,961017,636674,2632181,843323,20071697
2015.07,1122040,1911873,2264910,4217138,3639781,1852679,961596,637132,2634938,844261,20086348
2015.08,1122538,1912662,2265752,4219261,3641449,1853874,962002,637483,2636855,844875,20096752
