Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2013.32,00.03,00.09,00.10,00.15,00.17,00.10,00.15,00.10,00.14,00.13,00.13
2013.33,00.07,00.17,00.24,00.31,00.31,00.22,00.27,00.24,00.14,00.46,00.24
2013.34,00.10,00.19,00.28,00.45,00.40,00.28,00.42,00.31,00.29,00.41,00.33
2013.35,00.12,00.24,00.34,00.40,00.44,00.38,00.36,00.33,00.56,00.76,00.41
2013.36,00.14,00.27,00.37,00.46,00.61,00.37,00.48,00.38,00.62,01.14,00.49
2013.37,00.11,00.39,00.47,00.68,00.67,00.50,00.61,00.43,00.64,00.56,00.56
2013.38,00.15,00.48,00.54,00.78,00.78,00.54,00.55,00.52,00.75,01.22,00.67
2013.39,00.18,00.46,00.60,00.91,00.89,00.66,00.85,00.63,01.72,00.72,00.88
2013.40,00.22,00.53,00.75,00.96,01.12,00.66,00.69,00.86,01.11,01.67,00.89
2013.41,00.34,00.54,00.72,01.03,00.87,00.84,00.83,00.66,01.24,00.83,00.88
2013.42,00.21,00.63,00.89,01.08,00.90,00.69,00.97,00.70,01.73,00.87,00.98
2013.43,00.20,00.53,00.91,01.17,01.05,00.76,00.79,00.68,01.19,01.21,00.94
2013.44,00.27,00.61,01.09,01.15,00.88,00.74,01.05,00.74,00.82,00.97,00.88
2013.45,00.26,00.54,00.72,00.98,00.93,00.73,00.94,00.66,00.88,01.52,00.84
2013.46,00.25,00.66,00.75,00.97,01.02,00.71,00.79,00.66,03.59,01.47,01.27
2013.47,00.15,00.75,00.53,01.09,00.78,00.74,00.79,00.57,00.63,00.98,00.76
2013.48,00.20,00.46,00.59,00.90,00.68,00.68,00.71,00.60,01.90,00.61,00.86
2013.49,00.18,00.51,00.56,00.90,00.90,00.78,00.83,00.60,01.87,01.47,00.95
2013.50,00.23,00.50,00.75,00.90,00.90,00.73,00.91,00.66,00.62,00.96,00.75
2013.51,00.22,00.56,00.62,00.98,00.98,00.75,00.93,00.65,01.02,01.04,00.84
2013.52,00.20,00.60,00.78,01.11,01.16,00.70,00.96,00.81,02.89,01.15,01.21
2014.01,00.26,00.66,00.77,01.28,01.05,00.86,00.79,00.82,01.98,01.37,01.11
2014.02,00.29,00.68,01.09,01.39,01.38,01.09,01.11,00.88,01.99,02.23,01.30
2014.03,00.33,00.68,00.99,01.42,01.11,00.96,01.00,00.90,01.21,02.29,01.12
2014.04,00.29,00.78,01.13,01.31,01.18,00.85,00.97,00.94,01.95,02.14,01.22
2014.05,00.41,00.64,00.75,01.14,01.28,01.06,01.12,00.71,01.71,01.13,01.11
2014.06,00.26,00.56,00.63,01.14,01.09,00.85,00.96,00.79,01.67,00.94,01.01
