Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2013.32,00.05,00.17,00.20,00.24,00.24,00.19,00.25,00.17,00.15,00.26,00.20
2013.33,00.12,00.25,00.28,00.36,00.32,00.25,00.33,00.26,00.35,00.27,00.30
2013.34,00.24,00.27,00.42,00.42,00.52,00.34,00.34,00.30,00.64,00.66,00.44
2013.35,00.14,00.32,00.46,00.57,00.57,00.40,00.42,00.43,01.17,00.59,00.58
2013.36,00.17,00.35,00.44,00.60,00.52,00.50,00.46,00.49,00.71,00.47,00.52
2013.37,00.24,00.42,00.50,00.57,00.64,00.55,00.49,00.52,01.34,00.61,00.66
2013.38,00.21,00.51,00.65,00.65,00.64,00.62,00.65,00.56,00.62,00.99,00.62
2013.39,00.19,00.51,00.71,00.81,00.76,00.64,00.87,00.49,01.26,00.63,00.77
2013.40,00.31,00.59,00.69,00.82,00.81,00.67,00.68,00.55,00.97,01.25,00.77
2013.41,00.28,00.58,00.73,00.84,00.78,00.76,00.90,00.65,00.68,00.98,00.74
2013.42,00.23,00.70,00.83,00.96,00.92,00.66,00.83,00.65,01.15,00.69,00.85
2013.43,00.32,00.58,00.76,00.92,00.80,00.80,00.83,00.54,01.37,00.98,00.87
2013.44,00.38,00.64,00.68,00.78,00.91,00.80,01.03,00.81,01.21,00.93,00.85
2013.45,00.43,00.62,00.61,01.02,00.69,00.64,00.70,00.61,00.78,01.08,00.75
2013.46,00.24,00.62,00.70,00.88,00.88,00.78,00.92,00.70,02.03,00.90,00.97
2013.47,00.29,00.57,00.57,00.77,00.79,00.66,00.66,00.68,01.07,00.83,00.74
2013.48,00.19,00.63,00.53,00.76,00.70,00.58,00.67,00.61,01.78,00.78,00.82
2013.49,00.22,00.67,00.64,00.87,00.83,00.69,00.70,00.72,00.80,01.52,00.77
2013.50,00.26,00.63,00.65,00.86,00.73,00.71,00.97,00.76,01.73,00.94,00.89
2013.51,00.30,00.66,00.72,00.94,01.08,00.76,00.74,00.60,02.34,01.11,01.07
2013.52,00.37,00.70,00.85,01.01,00.92,00.74,00.68,00.61,00.93,00.82,00.84
2014.01,00.49,00.85,00.75,00.95,00.99,00.82,00.84,00.67,01.68,01.21,01.00
2014.02,00.32,00.74,00.79,01.06,00.98,00.85,01.07,01.05,04.14,00.96,01.41
2014.03,00.53,00.83,00.92,01.18,01.30,00.89,00.86,00.72,00.92,01.46,01.02
2014.04,00.45,00.74,00.91,01.23,00.98,00.90,01.23,00.71,01.74,00.90,01.08
2014.05,00.24,00.81,00.93,01.13,00.88,00.88,01.05,00.86,01.95,00.77,01.07
2014.06,00.44,00.58,00.66,00.99,00.92,00.69,01.07,00.65,01.51,00.69,00.91
2014.07,00.21,00.63,00.70,00.93,01.06,00.68,00.79,00.65,01.09,00.55,00.83
2014.08,00.37,00.67,00.70,00.74,00.74,00.57,00.65,00.67,00.95,00.61,00.71
2014.09,00.30,00.52,00.58,00.78,00.72,00.63,00.62,00.52,01.16,00.51,00.72
2014.10,00.22,00.47,00.62,00.68,00.63,00.54,00.57,00.51,01.43,00.49,00.71
2014.11,00.23,00.45,00.52,00.65,00.62,00.59,00.68,00.45,00.88,00.79,00.62
2014.12,00.23,00.39,00.54,00.63,00.63,00.53,00.52,00.52,01.20,00.64,00.65
