Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2013.39,09.19,05.20,11.96,18.08,17.64,25.56,38.75,42.88,13.28,29.22,18.31
2013.40,09.19,05.20,11.96,18.06,17.64,25.54,38.72,42.77,13.21,29.11,18.29
2013.41,09.20,05.21,11.96,18.06,17.64,25.55,38.71,42.79,13.20,29.14,18.29
2013.42,09.19,05.21,11.96,18.07,17.65,25.55,38.72,42.81,13.19,29.15,18.29
2013.43,09.19,05.20,11.97,18.08,17.65,25.55,38.71,42.80,13.21,29.15,18.30
2013.44,09.19,05.20,11.97,18.08,17.65,25.55,38.73,42.79,13.23,29.16,18.30
2013.45,09.19,05.21,11.96,18.08,17.64,25.54,38.73,42.79,13.23,29.16,18.30
2013.46,09.20,05.21,11.96,18.07,17.64,25.55,38.72,42.78,13.21,29.16,18.30
2013.47,09.20,05.21,11.96,18.08,17.65,25.54,38.72,42.79,13.23,29.16,18.30
2013.48,09.19,05.21,11.97,18.09,17.64,25.55,38.72,42.80,13.26,29.15,18.31
2013.49,09.20,05.21,11.97,18.08,17.65,25.55,38.71,42.80,13.26,29.17,18.31
2013.50,09.20,05.21,11.97,18.08,17.64,25.55,38.73,42.79,13.27,29.17,18.31
2013.51,09.20,05.21,11.97,18.09,17.64,25.56,38.73,42.80,13.26,29.18,18.31
2013.52,09.20,05.21,11.97,18.09,17.64,25.56,38.73,42.80,13.27,29.20,18.31
2014.01,09.19,05.21,11.97,18.09,17.64,25.56,38.74,42.79,13.28,29.20,18.31
2014.02,09.20,05.21,11.98,18.09,17.64,25.55,38.75,42.80,13.28,29.19,18.31
2014.03,09.19,05.21,11.97,18.09,17.64,25.55,38.74,42.81,13.30,29.18,18.32
2014.04,09.19,05.21,11.98,18.09,17.64,25.56,38.73,42.79,13.29,29.13,18.31
2014.05,09.18,05.22,11.97,18.08,17.65,25.55,38.73,42.79,13.27,29.13,18.31
2014.06,09.20,05.21,11.97,18.08,17.65,25.54,38.73,42.81,13.29,29.16,18.31
2014.07,09.19,05.21,11.96,18.08,17.65,25.55,38.72,42.79,13.29,29.16,18.31
2014.08,09.20,05.21,11.96,18.08,17.64,25.54,38.72,42.79,13.31,29.14,18.31
2014.09,09.21,05.21,11.97,18.08,17.64,25.55,38.73,42.80,13.25,29.14,18.30
2014.10,09.20,05.20,11.97,18.08,17.65,25.56,38.74,42.81,13.27,29.15,18.31
2014.11,09.20,05.21,11.97,18.07,17.64,25.55,38.72,42.77,13.27,29.16,18.31
2014.12,09.20,05.21,11.96,18.07,17.64,25.55,38.73,42.78,13.26,29.16,18.30
2014.13,09.20,05.21,11.97,18.07,17.64,25.55,38.73,42.79,13.21,29.15,18.29
2014.14,09.20,05.21,11.97,18.07,17.64,25.54,38.73,42.80,13.25,29.14,18.30
2014.15,09.20,05.20,11.97,18.07,17.64,25.55,38.72,42.81,13.29,29.14,18.31
2014.16,09.20,05.21,11.97,18.09,17.65,25.55,38.71,42.80,13.27,29.16,18.31
2014.17,09.20,05.21,11.98,18.10,17.65,25.55,38.71,42.80,13.26,29.14,18.31
2014.18,09.21,05.20,11.97,18.10,17.64,25.54,38.71,42.79,13.27,29.14,18.31
2014.19,09.20,05.20,11.96,18.11,17.64,25.54,38.72,42.78,13.25,29.13,18.31
2014.20,09.20,05.20,11.97,18.11,17.64,25.55,38.73,42.78,13.25,29.16,18.31
2014.21,09.20,05.21,11.96,18.11,17.64,25.55,38.72,42.80,13.22,29.15,18.30
2014.22,09.20,05.20,11.96,18.11,17.64,25.54,38.72,42.79,13.22,29.17,18.30
2014.23,09.20,05.20,11.96,18.11,17.64,25.55,38.72,42.80,13.23,29.19,18.30
2014.24,09.19,05.20,11.96,18.10,17.63,25.54,38.73,42.78,13.23,29.16,18.30
2014.25,09.19,05.20,11.96,18.11,17.64,25.55,38.73,42.78,13.23,29.17,18.30
2014.26,09.18,05.20,11.96,18.10,17.64,25.56,38.72,42.77,13.19,29.16,18.30
2014.27,09.19,05.21,11.97,18.11,17.64,25.55,38.72,42.80,13.20,29.15,18.30
2014.28,09.19,05.21,11.96,18.11,17.65,25.54,38.72,42.79,13.23,29.17,18.31
2014.29,09.20,05.21,11.96,18.12,17.65,25.53,38.71,42.77,13.21,29.18,18.30
2014.30,09.20,05.20,11.96,18.11,17.65,25.53,38.71,42.78,13.24,29.15,18.31
2014.31,09.19,05.20,11.96,18.10,17.64,25.54,38.73,42.80,13.23,29.17,18.30
2014.32,09.19,05.20,11.97,18.11,17.64,25.54,38.72,42.79,13.20,29.17,18.30
2014.33,09.19,05.20,11.96,18.12,17.64,25.54,38.72,42.79,13.22,29.15,18.30
2014.34,09.20,05.20,11.96,18.12,17.64,25.54,38.72,42.78,13.22,29.17,18.31
2014.35,09.21,05.20,11.97,18.12,17.64,25.55,38.73,42.78,13.21,29.16,18.31
2014.36,09.20,05.21,11.98,18.13,17.64,25.55,38.73,42.78,13.21,29.16,18.31
2014.37,09.20,05.21,11.97,18.12,17.64,25.55,38.71,42.80,13.21,29.16,18.31
2014.38,09.20,05.20,11.97,18.12,17.63,25.55,38.73,42.77,13.22,29.17,18.31
2014.39,09.20,05.20,11.97,18.12,17.63,25.53,38.74,42.78,13.22,29.14,18.30
2014.40,09.20,05.20,11.97,18.11,17.64,25.55,38.73,42.76,13.21,29.15,18.30
2014.41,09.20,05.20,11.97,18.11,17.65,25.56,38.73,42.77,13.23,29.13,18.31
2014.42,09.20,05.20,11.97,18.11,17.65,25.55,38.73,42.79,13.26,29.13,18.31
2014.43,09.19,05.20,11.97,18.11,17.65,25.55,38.73,42.80,13.23,29.14,18.31
2014.44,09.21,05.20,11.98,18.11,17.65,25.56,38.72,42.82,13.20,29.14,18.31
2014.45,09.20,05.20,11.98,18.10,17.65,25.55,38.73,42.79,13.21,29.15,18.30
2014.46,09.21,05.21,11.97,18.11,17.65,25.56,38.72,42.80,13.19,29.16,18.30
2014.47,09.21,05.21,11.97,18.11,17.65,25.56,38.73,42.79,13.20,29.16,18.31
2014.48,09.21,05.21,11.98,18.12,17.64,25.56,38.73,42.79,13.22,29.17,18.31
2014.49,09.20,05.21,11.97,18.12,17.64,25.55,38.73,42.79,13.22,29.17,18.31
2014.50,09.20,05.21,11.97,18.12,17.64,25.55,38.74,42.81,13.23,29.18,18.31
2014.51,09.20,05.21,11.97,18.12,17.65,25.56,38.73,42.81,13.24,29.19,18.31
2014.52,09.20,05.20,11.97,18.12,17.65,25.56,38.73,42.82,13.27,29.19,18.32
2014.53,09.21,05.21,11.97,18.11,17.65,25.56,38.74,42.81,13.29,29.20,18.32
2015.01,09.21,05.21,11.97,18.12,17.64,25.56,38.75,42.83,13.30,29.20,18.33
2015.02,09.22,05.20,11.97,18.12,17.64,25.55,38.75,42.82,13.31,29.20,18.33
2015.03,09.21,05.21,11.97,18.12,17.64,25.55,38.75,42.81,13.31,29.18,18.32
2015.04,09.20,05.21,11.97,18.12,17.64,25.54,38.75,42.81,13.30,29.19,18.32
2015.05,09.22,05.21,11.97,18.12,17.64,25.55,38.73,42.80,13.30,29.16,18.32
