GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4442558,*****
0400000US02,02,Alaska,641724,*****
0400000US04,04,Arizona,5829839,*****
0400000US05,05,Arkansas,2701431,*****
0400000US06,06,California,35278768,*****
0400000US08,08,Colorado,4562244,*****
0400000US09,09,Connecticut,3394751,*****
0400000US10,10,Delaware,818587,*****
0400000US11,11,District of Columbia,515118,*****
0400000US12,12,Florida,17382511,*****
0400000US13,13,Georgia,8821142,*****
0400000US15,15,Hawaii,1238158,*****
0400000US16,16,Idaho,1395634,*****
0400000US17,17,Illinois,12440351,*****
0400000US18,18,Indiana,6093372,*****
0400000US19,19,Iowa,2862541,*****
0400000US20,20,Kansas,2662616,*****
0400000US21,21,Kentucky,4058633,*****
0400000US22,22,Louisiana,4389747,*****
0400000US23,23,Maine,1283673,*****
0400000US24,24,Maryland,5461318,*****
0400000US25,25,Massachusetts,6182860,*****
0400000US26,26,Michigan,9865583,*****
0400000US27,27,Minnesota,4989848,*****
0400000US28,28,Mississippi,2824156,*****
0400000US29,29,Missouri,5631910,*****
0400000US30,30,Montana,910651,*****
0400000US31,31,Nebraska,1706976,*****
0400000US32,32,Nevada,2381281,*****
0400000US33,33,New Hampshire,1272486,*****
0400000US34,34,New Jersey,8521427,*****
0400000US35,35,New Mexico,1887200,*****
0400000US36,36,New York,18655275,*****
0400000US37,37,North Carolina,8411041,*****
0400000US38,38,North Dakota,609645,*****
0400000US39,39,Ohio,11155606,*****
0400000US40,40,Oklahoma,3433496,*****
0400000US41,41,Oregon,3560109,*****
0400000US42,42,Pennsylvania,11979147,*****
0400000US44,44,Rhode Island,1032662,*****
0400000US45,45,South Carolina,4113961,*****
0400000US46,46,South Dakota,746033,*****
0400000US47,47,Tennessee,5810590,*****
0400000US48,48,Texas,22270165,*****
0400000US49,49,Utah,2427350,*****
0400000US50,50,Vermont,602290,*****
0400000US51,51,Virginia,7332608,*****
0400000US53,53,Washington,6146338,*****
0400000US54,54,West Virginia,1771750,*****
0400000US55,55,Wisconsin,5375751,*****
0400000US56,56,Wyoming,495226,*****
0400000US72,72,Puerto Rico,3865280,*****
