GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0400000US01,01,Alabama,4779736(r38235)
0400000US02,02,Alaska,710231(r38823)
0400000US04,04,Arizona,6392017
0400000US05,05,Arkansas,2915918(r39193)
0400000US06,06,California,37253956
0400000US08,08,Colorado,5029196
0400000US09,09,Connecticut,3574097
0400000US10,10,Delaware,897934
0400000US11,11,District of Columbia,601723(r39494)
0400000US12,12,Florida,18801310(r40184)
0400000US13,13,Georgia,9687653(r41102)
0400000US15,15,Hawaii,1360301
0400000US16,16,Idaho,1567582(r41542)
0400000US17,17,Illinois,12830632
0400000US18,18,Indiana,6483802
0400000US19,19,Iowa,3046355
0400000US20,20,Kansas,2853118
0400000US21,21,Kentucky,4339367
0400000US22,22,Louisiana,4533372
0400000US23,23,Maine,1328361
0400000US24,24,Maryland,5773552(r42264)
0400000US25,25,Massachusetts,6547629
0400000US26,26,Michigan,9883640(r45127)
0400000US27,27,Minnesota,5303925
0400000US28,28,Mississippi,2967297
0400000US29,29,Missouri,5988927
0400000US30,30,Montana,989415
0400000US31,31,Nebraska,1826341
0400000US32,32,Nevada,2700551
0400000US33,33,New Hampshire,1316470
0400000US34,34,New Jersey,8791894(r46246)
0400000US35,35,New Mexico,2059179(r46748)
0400000US36,36,New York,19378102
0400000US37,37,North Carolina,9535483
0400000US38,38,North Dakota,672591
0400000US39,39,Ohio,11536504
0400000US40,40,Oklahoma,3751351
0400000US41,41,Oregon,3831074
0400000US42,42,Pennsylvania,12702379
0400000US44,44,Rhode Island,1052567
0400000US45,45,South Carolina,4625364
0400000US46,46,South Dakota,814180(r48166)
0400000US47,47,Tennessee,6346105
0400000US48,48,Texas,25145561(r48514)
0400000US49,49,Utah,2763885
0400000US50,50,Vermont,625741
0400000US51,51,Virginia,8001024
0400000US53,53,Washington,6724540
0400000US54,54,West Virginia,1852994
0400000US55,55,Wisconsin,5686986
0400000US56,56,Wyoming,563626
0400000US72,72,Puerto Rico,3725789(r49850)
