count,week,name,short_name,created_at,fips_id,disparity,week_start,medicare_status,year,percentage,_id,ethnicity
602168,52,Alabama,AL,,1,,01AUG,A,2014,0.4620936345,55c899a7f6f1d0103dd851fe,T
602168,51,Alabama,AL,,1,,25JUL,A,2014,0.4620936345,55c899a6f6f1d0103dd851ef,T
602168,50,Alabama,AL,,1,,18JUL,A,2014,0.4620936345,55c899a6f6f1d0103dd851e0,T
602168,49,Alabama,AL,,1,,11JUL,A,2014,0.4620936345,55c899a6f6f1d0103dd851d1,T
602168,48,Alabama,AL,,1,,04JUL,A,2014,0.4620936345,55c899a6f6f1d0103dd851c2,T
602168,47,Alabama,AL,,1,,27JUN,A,2014,0.4620936345,55c899a5f6f1d0103dd851b3,T
602168,46,Alabama,AL,,1,,20JUN,A,2014,0.4620936345,55c899a5f6f1d0103dd851a4,T
602168,45,Alabama,AL,,1,,13JUN,A,2014,0.4620936345,55c899a5f6f1d0103dd85195,T
602168,44,Alabama,AL,,1,,06JUN,A,2014,0.4620936345,55c899a5f6f1d0103dd85186,T
602168,43,Alabama,AL,,1,,30MAY,A,2014,0.4620936345,55c899a5f6f1d0103dd85177,T
602168,42,Alabama,AL,,1,,23MAY,A,2014,0.4620903134,55c899a5f6f1d0103dd85168,T
602168,41,Alabama,AL,,1,,16MAY,A,2014,0.4620853309,55c899a4f6f1d0103dd85159,T
602168,40,Alabama,AL,,1,,09MAY,A,2014,0.4620737061,55c899a4f6f1d0103dd8514a,T
602168,39,Alabama,AL,,1,,02MAY,A,2014,0.4620637428,55c899a4f6f1d0103dd8513b,T
602168,38,Alabama,AL,,1,,25APR,A,2014,0.4620471355,55c899a4f6f1d0103dd8512c,T
602168,37,Alabama,AL,,1,,18APR,A,2014,0.4620355116,55c899a4f6f1d0103dd8511d,T
602168,36,Alabama,AL,,1,,11APR,A,2014,0.4620189043,55c899a4f6f1d0103dd8510e,T
602168,35,Alabama,AL,,1,,04APR,A,2014,0.4619939942,55c899a4f6f1d0103dd850ff,T
602168,34,Alabama,AL,,1,,28MAR,A,2014,0.4619574603,55c899a4f6f1d0103dd850f0,T
602168,33,Alabama,AL,,1,,21MAR,A,2014,0.4619059796,55c899a3f6f1d0103dd850e1,T
602168,32,Alabama,AL,,1,,14MAR,A,2014,0.4617980355,55c899a3f6f1d0103dd850d2,T
602168,31,Alabama,AL,,1,,07MAR,A,2014,0.4616801282,55c899a3f6f1d0103dd850c3,T
602168,30,Alabama,AL,,1,,28FEB,A,2014,0.4615273476,55c899a3f6f1d0103dd850b4,T
602168,29,Alabama,AL,,1,,21FEB,A,2014,0.461374566,55c899a3f6f1d0103dd850a5,T
602168,28,Alabama,AL,,1,,14FEB,A,2014,0.4611354303,55c899a3f6f1d0103dd85096,T
602168,27,Alabama,AL,,1,,07FEB,A,2014,0.4608099395,55c899a2f6f1d0103dd85087,T
602168,26,Alabama,AL,,1,,31JAN,A,2014,0.4603383103,55c899a2f6f1d0103dd85078,T
602168,25,Alabama,AL,,1,,24JAN,A,2014,0.4597039362,55c899a2f6f1d0103dd85069,T
602168,24,Alabama,AL,,1,,17JAN,A,2014,0.4587922301,55c899a2f6f1d0103dd8505a,T
602168,23,Alabama,AL,,1,,10JAN,A,2014,0.4577725809,55c899a2f6f1d0103dd8504b,T
602168,22,Alabama,AL,,1,,03JAN,A,2014,0.4561119154,55c899a2f6f1d0103dd8503c,T
602168,21,Alabama,AL,,1,,27DEC,A,2014,0.4534033686,55c899a2f6f1d0103dd8502d,T
602168,20,Alabama,AL,,1,,20DEC,A,2014,0.4514338188,55c899a1f6f1d0103dd8501e,T
602168,19,Alabama,AL,,1,,13DEC,A,2014,0.4496286744,55c899a1f6f1d0103dd8500f,T
602168,18,Alabama,AL,,1,,06DEC,A,2014,0.4445038587,55c899a1f6f1d0103dd85000,T
602168,17,Alabama,AL,,1,,29NOV,A,2014,0.4380355645,55c899a1f6f1d0103dd84ff1,T
602168,16,Alabama,AL,,1,,22NOV,A,2014,0.4292672472,55c899a1f6f1d0103dd84fe2,T
602168,15,Alabama,AL,,1,,15NOV,A,2014,0.4228404695,55c899a0f6f1d0103dd84fd3,T
602168,14,Alabama,AL,,1,,08NOV,A,2014,0.4070923729,55c899a0f6f1d0103dd84fc4,T
602168,13,Alabama,AL,,1,,01NOV,A,2014,0.3874666197,55c899a0f6f1d0103dd84fb5,T
602168,12,Alabama,AL,,1,,25OCT,A,2014,0.3606734332,55c899a0f6f1d0103dd84fa6,T
602168,11,Alabama,AL,,1,,18OCT,A,2014,0.3249076661,55c899a0f6f1d0103dd84f97,T
602168,10,Alabama,AL,,1,,11OCT,A,2014,0.2748668138,55c899a0f6f1d0103dd84f88,T
602168,9,Alabama,AL,,1,,04OCT,A,2014,0.2163698501,55c8999ff6f1d0103dd84f79,T
602168,8,Alabama,AL,,1,,27SEP,A,2014,0.1527646766,55c8999ff6f1d0103dd84f6a,T
602168,7,Alabama,AL,,1,,20SEP,A,2014,0.1031871503,55c8999ff6f1d0103dd84f5b,T
602168,6,Alabama,AL,,1,,13SEP,A,2014,0.0637629365,55c8999ff6f1d0103dd84f4c,T
602168,5,Alabama,AL,,1,,06SEP,A,2014,0.0353389751,55c8999ff6f1d0103dd84f3d,T
602168,4,Alabama,AL,,1,,30AUG,A,2014,0.0175200276,55c8999ef6f1d0103dd84f2e,T
602168,3,Alabama,AL,,1,,23AUG,A,2014,0.0077403648,55c8999ef6f1d0103dd84f1f,T
602168,2,Alabama,AL,,1,,16AUG,A,2014,0.0034076869,55c8999ef6f1d0103dd84f10,T
602168,1,Alabama,AL,,1,,09AUG,A,2014,0.0011525023,55c8999ef6f1d0103dd84f01,T
64653,52,Alaska,AK,,2,,01AUG,A,2014,0.3561474327,55c899aff6f1d0103dd8550a,T
64653,51,Alaska,AK,,2,,25JUL,A,2014,0.3561474327,55c899aff6f1d0103dd854fb,T
64653,50,Alaska,AK,,2,,18JUL,A,2014,0.3561474327,55c899aff6f1d0103dd854ec,T
64653,49,Alaska,AK,,2,,11JUL,A,2014,0.3561474327,55c899aff6f1d0103dd854dd,T
64653,48,Alaska,AK,,2,,04JUL,A,2014,0.3561474327,55c899aff6f1d0103dd854ce,T
64653,47,Alaska,AK,,2,,27JUN,A,2014,0.3561474327,55c899aff6f1d0103dd854bf,T
64653,46,Alaska,AK,,2,,20JUN,A,2014,0.3561474327,55c899aef6f1d0103dd854b0,T
64653,45,Alaska,AK,,2,,13JUN,A,2014,0.3561474327,55c899aef6f1d0103dd854a1,T
64653,44,Alaska,AK,,2,,06JUN,A,2014,0.3561474327,55c899aef6f1d0103dd85492,T
64653,43,Alaska,AK,,2,,30MAY,A,2014,0.3561474327,55c899aef6f1d0103dd85483,T
64653,42,Alaska,AK,,2,,23MAY,A,2014,0.3561474327,55c899aef6f1d0103dd85474,T
64653,41,Alaska,AK,,2,,16MAY,A,2014,0.3561474327,55c899aef6f1d0103dd85465,T
64653,40,Alaska,AK,,2,,09MAY,A,2014,0.3561010314,55c899aef6f1d0103dd85456,T
64653,39,Alaska,AK,,2,,02MAY,A,2014,0.356085564,55c899aef6f1d0103dd85447,T
64653,38,Alaska,AK,,2,,25APR,A,2014,0.3560546292,55c899adf6f1d0103dd85438,T
64653,37,Alaska,AK,,2,,18APR,A,2014,0.3560082279,55c899adf6f1d0103dd85429,T
64653,36,Alaska,AK,,2,,11APR,A,2014,0.3559463592,55c899adf6f1d0103dd8541a,T
64653,35,Alaska,AK,,2,,04APR,A,2014,0.3558071544,55c899adf6f1d0103dd8540b,T
64653,34,Alaska,AK,,2,,28MAR,A,2014,0.3557452857,55c899acf6f1d0103dd853fc,T
64653,33,Alaska,AK,,2,,21MAR,A,2014,0.3555596797,55c899acf6f1d0103dd853ed,T
64653,32,Alaska,AK,,2,,14MAR,A,2014,0.3553586062,55c899acf6f1d0103dd853de,T
64653,31,Alaska,AK,,2,,07MAR,A,2014,0.3550647302,55c899acf6f1d0103dd853cf,T
64653,30,Alaska,AK,,2,,28FEB,A,2014,0.3547863206,55c899acf6f1d0103dd853c0,T
64653,29,Alaska,AK,,2,,21FEB,A,2014,0.3543377724,55c899acf6f1d0103dd853b1,T
64653,28,Alaska,AK,,2,,14FEB,A,2014,0.3539820267,55c899abf6f1d0103dd853a2,T
64653,27,Alaska,AK,,2,,07FEB,A,2014,0.3533633389,55c899abf6f1d0103dd85393,T
64653,26,Alaska,AK,,2,,31JAN,A,2014,0.3524971772,55c899abf6f1d0103dd85384,T
64653,25,Alaska,AK,,2,,24JAN,A,2014,0.3516464811,55c899abf6f1d0103dd85375,T
64653,24,Alaska,AK,,2,,17JAN,A,2014,0.3506720485,55c899abf6f1d0103dd85366,T
64653,23,Alaska,AK,,2,,10JAN,A,2014,0.3493264038,55c899aaf6f1d0103dd85357,T
64653,22,Alaska,AK,,2,,03JAN,A,2014,0.347021793,55c899aaf6f1d0103dd85348,T
64653,21,Alaska,AK,,2,,27DEC,A,2014,0.3444387726,55c899aaf6f1d0103dd85339,T
64653,20,Alaska,AK,,2,,20DEC,A,2014,0.342505374,55c899aaf6f1d0103dd8532a,T
64653,19,Alaska,AK,,2,,13DEC,A,2014,0.3408967871,55c899aaf6f1d0103dd8531b,T
64653,18,Alaska,AK,,2,,06DEC,A,2014,0.3372155968,55c899aaf6f1d0103dd8530c,T
64653,17,Alaska,AK,,2,,29NOV,A,2014,0.3329157187,55c899aaf6f1d0103dd852fd,T
64653,16,Alaska,AK,,2,,22NOV,A,2014,0.3268061802,55c899a9f6f1d0103dd852ee,T
64653,15,Alaska,AK,,2,,15NOV,A,2014,0.3208203791,55c899a9f6f1d0103dd852df,T
64653,14,Alaska,AK,,2,,08NOV,A,2014,0.3079826143,55c899a9f6f1d0103dd852d0,T
64653,13,Alaska,AK,,2,,01NOV,A,2014,0.2950829808,55c899a9f6f1d0103dd852c1,T
64653,12,Alaska,AK,,2,,25OCT,A,2014,0.2768007666,55c899a9f6f1d0103dd852b2,T
64653,11,Alaska,AK,,2,,18OCT,A,2014,0.2500889357,55c899a9f6f1d0103dd852a3,T
64653,10,Alaska,AK,,2,,11OCT,A,2014,0.2150557591,55c899a8f6f1d0103dd85294,T
64653,9,Alaska,AK,,2,,04OCT,A,2014,0.1735727652,55c899a8f6f1d0103dd85285,T
64653,8,Alaska,AK,,2,,27SEP,A,2014,0.1301873075,55c899a8f6f1d0103dd85276,T
64653,7,Alaska,AK,,2,,20SEP,A,2014,0.0854098031,55c899a8f6f1d0103dd85267,T
64653,6,Alaska,AK,,2,,13SEP,A,2014,0.0545218319,55c899a8f6f1d0103dd85258,T
64653,5,Alaska,AK,,2,,06SEP,A,2014,0.029635129,55c899a7f6f1d0103dd85249,T
64653,4,Alaska,AK,,2,,30AUG,A,2014,0.0127449615,55c899a7f6f1d0103dd8523a,T
64653,3,Alaska,AK,,2,,23AUG,A,2014,0.0046092215,55c899a7f6f1d0103dd8522b,T
64653,2,Alaska,AK,,2,,16AUG,A,2014,0.0012992437,55c899a7f6f1d0103dd8521c,T
0,1,Alaska,AK,,2,,09AUG,A,2014,0,55c899a7f6f1d0103dd8520d,T
517160,52,Arizona,AZ,,4,,01AUG,A,2014,0.485706551,55c899b9f6f1d0103dd85816,T
517160,51,Arizona,AZ,,4,,25JUL,A,2014,0.485706551,55c899b9f6f1d0103dd85807,T
517160,50,Arizona,AZ,,4,,18JUL,A,2014,0.485706551,55c899b8f6f1d0103dd857f8,T
517160,49,Arizona,AZ,,4,,11JUL,A,2014,0.485706551,55c899b8f6f1d0103dd857e9,T
517160,48,Arizona,AZ,,4,,04JUL,A,2014,0.485706551,55c899b8f6f1d0103dd857da,T
517160,47,Arizona,AZ,,4,,27JUN,A,2014,0.485706551,55c899b8f6f1d0103dd857cb,T
517160,46,Arizona,AZ,,4,,20JUN,A,2014,0.485706551,55c899b8f6f1d0103dd857bc,T
517160,45,Arizona,AZ,,4,,13JUN,A,2014,0.485706551,55c899b8f6f1d0103dd857ad,T
517160,44,Arizona,AZ,,4,,06JUN,A,2014,0.485706551,55c899b7f6f1d0103dd8579e,T
517160,43,Arizona,AZ,,4,,30MAY,A,2014,0.485706551,55c899b7f6f1d0103dd8578f,T
517160,42,Arizona,AZ,,4,,23MAY,A,2014,0.4857046166,55c899b7f6f1d0103dd85780,T
517160,41,Arizona,AZ,,4,,16MAY,A,2014,0.4856968829,55c899b7f6f1d0103dd85771,T
517160,40,Arizona,AZ,,4,,09MAY,A,2014,0.4856775459,55c899b7f6f1d0103dd85762,T
517160,39,Arizona,AZ,,4,,02MAY,A,2014,0.4856678778,55c899b6f6f1d0103dd85753,T
517160,38,Arizona,AZ,,4,,25APR,A,2014,0.4856543429,55c899b6f6f1d0103dd85744,T
517160,37,Arizona,AZ,,4,,18APR,A,2014,0.4856427405,55c899b6f6f1d0103dd85735,T
517160,36,Arizona,AZ,,4,,11APR,A,2014,0.4856292056,55c899b6f6f1d0103dd85726,T
517160,35,Arizona,AZ,,4,,04APR,A,2014,0.4856040683,55c899b6f6f1d0103dd85717,T
517160,34,Arizona,AZ,,4,,28MAR,A,2014,0.4855692629,55c899b5f6f1d0103dd85708,T
517160,33,Arizona,AZ,,4,,21MAR,A,2014,0.4854822485,55c899b5f6f1d0103dd856f9,T
517160,32,Arizona,AZ,,4,,14MAR,A,2014,0.4853662308,55c899b5f6f1d0103dd856ea,T
517160,31,Arizona,AZ,,4,,07MAR,A,2014,0.4851129241,55c899b5f6f1d0103dd856db,T
517160,30,Arizona,AZ,,4,,28FEB,A,2014,0.484890556,55c899b5f6f1d0103dd856cc,T
517160,29,Arizona,AZ,,4,,21FEB,A,2014,0.4845773065,55c899b5f6f1d0103dd856bd,T
517160,28,Arizona,AZ,,4,,14FEB,A,2014,0.4841731759,55c899b4f6f1d0103dd856ae,T
517160,27,Arizona,AZ,,4,,07FEB,A,2014,0.4837361742,55c899b4f6f1d0103dd8569f,T
517160,26,Arizona,AZ,,4,,31JAN,A,2014,0.4830710031,55c899b4f6f1d0103dd85690,T
517160,25,Arizona,AZ,,4,,24JAN,A,2014,0.4822182683,55c899b4f6f1d0103dd85681,T
517160,24,Arizona,AZ,,4,,17JAN,A,2014,0.4811238293,55c899b4f6f1d0103dd85672,T
517160,23,Arizona,AZ,,4,,10JAN,A,2014,0.4796368619,55c899b3f6f1d0103dd85663,T
517160,22,Arizona,AZ,,4,,03JAN,A,2014,0.4770728592,55c899b3f6f1d0103dd85654,T
517160,21,Arizona,AZ,,4,,27DEC,A,2014,0.4733041991,55c899b3f6f1d0103dd85645,T
517160,20,Arizona,AZ,,4,,20DEC,A,2014,0.4712448753,55c899b2f6f1d0103dd85636,T
517160,19,Arizona,AZ,,4,,13DEC,A,2014,0.4690385945,55c899b2f6f1d0103dd85627,T
517160,18,Arizona,AZ,,4,,06DEC,A,2014,0.4645950962,55c899b2f6f1d0103dd85618,T
517160,17,Arizona,AZ,,4,,29NOV,A,2014,0.4586878335,55c899b2f6f1d0103dd85609,T
517160,16,Arizona,AZ,,4,,22NOV,A,2014,0.4506903086,55c899b2f6f1d0103dd855fa,T
