Week,D01.%ILI,D02.%ILI,D03.%ILI,D04.%ILI,D05.%ILI,D06.%ILI,D07.%ILI,D08.%ILI,D09.%ILI,MS.%ILI
2012.48,1.9,3.7,4.0,6.9,13.3,8.3,7.2,6.8,10.0,7.1
2012.49,2.7,5.2,4.8,10.9,7.2,14.4,9.5,13.4,9.1,9.4
2012.50,2.8,6.9,2.2,14.8,7.2,20.5,8.9,12.2,8.9,10.4
2012.51,4.9,16.6,5.8,25.5,6.6,20.5,12.3,17.9,11.2,13.8
2012.52,7.7,17.7,3.3,24.8,4.9,24.8,15.4,11.1,11.1,13.9
2013.01,6.0,13.8,10.2,13.8,4.1,13.7,7.8,8.8,9.4,9.4
2013.02,8.1,11.9,9.7,8.3,3.9,12.2,5.1,6.0,9.4,8.0
2013.03,9.2,7.3,9.5,7.1,4.5,12.2,5.9,2.3,7.3,6.8
2013.04,8.6,7.8,10.7,8.5,2.7,11.9,7.1,2.8,7.4,7.0
2013.05,5.6,6.8,10.9,9.2,3.6,11.4,5.6,2.7,5.1,6.0
2013.06,5.9,6.5,8.5,7.5,3.8,15.0,5.4,2.5,5.6,6.1
2013.07,4.3,12.0,5.7,5.4,2.0,11.7,5.4,3.2,5.8,5.4
2013.08,6.7,9.1,5.2,6.2,3.7,15.0,4.6,2.2,5.1,5.6
2013.09,6.9,11.2,8.2,6.7,4.9,12.9,3.9,2.1,5.5,5.9
2013.10,5.4,10.3,7.4,7.4,2.9,20.2,5.0,3.3,5.0,6.1
2013.11,4.7,10.7,8.2,10.1,3.7,13.4,6.3,3.2,5.9,6.4
2013.12,3.2,6.3,9.2,6.1,3.1,10.3,3.8,2.5,4.5,4.6
2013.13,2.0,6.4,9.9,6.9,2.1,8.4,3.3,1.8,5.7,4.5
2013.14,1.5,5.6,8.8,5.6,2.1,10.7,5.1,5.7,4.4,4.8
2013.15,2.1,1.9,5.9,5.2,2.2,8.2,3.1,2.0,3.8,3.7
2013.16,0.9,3.2,5.6,4.7,2.0,6.5,2.5,1.8,3.1,3.0
2013.17,2.1,4.4,8.4,3.4,1.2,7.1,2.6,1.3,3.2,3.0
2013.18,1.1,1.9,2.9,4.2,0.7,3.4,3.1,1.3,3.1,2.6
2013.19,1.7,6.2,1.8,3.4,0.0,7.4,2.7,1.1,3.4,2.9
2013.20,0.9,10.9,2.2,4.2,0.4,8.0,2.6,2.4,2.9,3.0
2013.40,1.6,2.3,5.7,2.7,0.3,10.3,2.2,2.3,4.0,3.1
2013.41,1.8,4.2,4.4,1.5,0.0,8.1,2.7,2.2,4.3,2.9
2013.42,1.2,8.2,5.3,2.7,0.6,8.3,2.6,2.1,6.0,3.6
2013.43,1.1,8.6,6.4,3.4,0.7,4.7,2.7,3.1,7.5,4.1
2013.44,1.4,7.8,10.4,3.8,0.5,1.6,2.0,2.2,8.5,4.4
2013.45,1.5,9.6,7.2,3.2,0.5,12.7,2.8,3.5,8.6,4.8
2013.46,2.0,5.7,10.3,4.4,0.7,11.7,3.0,5.6,8.2,5.3
2013.47,2.6,8.8,7.3,3.4,1.6,13.5,3.7,6.2,8.5,5.9
2013.48,4.8,15.8,5.2,7.0,1.8,10.6,3.4,5.4,7.7,5.9
2013.49,6.0,10.7,8.0,7.2,2.0,15.8,5.1,5.6,5.8,6.1
2013.50,4.5,13.7,13.4,9.9,1.2,11.0,6.5,5.0,6.0,6.2
2013.51,6.8,12.4,16.1,12.2,1.8,13.9,12.4,4.1,4.6,7.6
2013.52,6.9,25.0,13.6,13.6,2.0,14.3,11.0,7.0,6.4,7.9
2014.01,5.8,17.2,9.2,9.9,4.9,11.7,10.5,5.3,6.5,7.5
2014.02,3.5,20.8,6.8,4.7,2.2,6.2,6.5,6.6,7.2,5.5
2014.03,3.1,7.8,12.9,4.8,2.0,14.9,4.8,4.4,6.7,5.6
2014.04,2.3,9.4,8.5,4.5,2.9,13.2,4.5,4.1,6.5,5.1
2014.05,2.4,8.1,10.8,4.9,2.1,10.0,3.4,5.2,6.9,4.9
2014.06,1.2,6.7,9.6,5.5,1.4,12.6,2.9,2.1,4.8,4.1
2014.07,0.5,5.3,8.0,5.0,1.8,9.7,2.5,2.8,4.5,4.1
2014.08,1.3,2.5,12.1,3.5,2.8,10.7,3.5,2.0,4.1,3.6
2014.09,1.4,2.4,5.7,2.6,2.0,8.0,2.8,1.7,3.7,3.1
2014.10,0.5,3.6,5.2,3.7,1.7,8.8,2.7,2.0,5.0,3.6
2014.11,1.1,1.3,0.6,3.9,1.9,4.1,2.4,1.1,3.9,2.7
2014.12,0.0,1.7,,2.4,1.5,7.8,1.9,1.1,2.6,2.3
2014.13,0.5,0.3,3.2,4.4,1.2,5.0,1.5,0.7,3.0,2.2
2014.14,1.2,2.4,4.9,1.8,1.0,5.7,2.2,1.0,3.6,2.3
2014.15,1.0,1.9,3.3,3.4,1.4,6.3,1.3,1.2,2.7,2.2
2014.16,0.6,1.8,5.0,2.8,1.3,5.8,1.4,1.0,2.9,2.2
2014.40,0.5,1.1,11.3,2.7,1.5,7.6,1.4,1.5,2.8,2.5
2014.41,1.1,1.5,2.6,2.5,3.4,6.9,2.5,1.9,3.1,2.8
2014.42,0.8,1.5,6.6,2.8,2.0,7.6,2.2,1.9,2.8,2.6
2014.43,1.3,1.4,7.4,3.1,2.7,9.4,1.7,1.8,2.5,2.8
2014.44,2.2,1.3,5.4,2.2,2.7,4.5,1.9,2.1,2.2,2.4
2014.45,3.8,1.5,7.5,2.8,2.5,6.0,2.6,3.4,4.0,3.5
2014.46,1.2,1.3,4.4,2.6,3.5,4.8,2.5,2.6,4.2,3.2
2014.47,0.4,3.9,4.7,3.0,2.7,4.3,3.4,3.8,6.4,4.0
2014.48,1.9,6.3,2.3,5.5,3.6,4.8,5.6,4.4,7.1,5.1
2014.49,2.4,6.1,6.1,5.1,4.5,10.4,7.4,4.9,9.3,6.2
2014.50,3.6,8.6,6.8,9.9,5.3,9.5,8.9,5.5,8.4,7.2
2014.51,9.5,14.6,11.1,9.1,9.6,16.5,11.7,11.1,10.9,10.8
2014.52,4.4,14.2,19.4,18.3,7.2,10.1,11.2,11.3,11.6,9.9
2014.53,6.0,9.6,12.4,10.0,7.8,11.1,9.1,7.1,7.5,8.2
2015.01,3.3,2.7,9.1,5.1,5.7,12.5,5.1,3.6,6.2,5.6
2015.02,3.4,3.8,13.1,4.5,7.9,10.8,5.3,3.2,5.4,5.6
2015.03,4.8,,15.3,7.0,8.4,13.6,6.4,3.8,6.1,6.9
2015.04,2.3,3.1,19.9,3.9,6.8,16.1,5.0,3.7,6.7,5.8
2015.05,2.8,1.7,9.2,5.9,6.8,13.9,4.9,4.2,8.6,6.4
2015.06,3.3,4.5,9.5,6.1,6.6,12.4,4.6,3.7,7.1,6.1
2015.07,2.3,4.4,,5.0,8.7,12.9,4.9,4.9,7.2,6.3
2015.08,1.5,4.8,5.5,5.5,7.3,12.0,6.5,5.1,6.6,6.1
2015.09,1.0,3.8,7.7,1.9,4.9,11.7,6.5,5.9,9.2,6.4
2015.10,2.3,3.3,4.2,7.3,3.7,10.9,4.4,5.1,7.1,5.8
2015.11,2.0,5.2,4.0,4.0,2.7,9.6,3.2,3.8,4.7,4.0
2015.12,2.6,2.3,9.3,3.7,3.4,7.5,3.5,2.4,4.4,3.7
2015.13,1.4,4.9,4.6,1.7,2.9,9.3,1.9,1.7,4.3,3.2
2015.14,1.5,1.4,7.1,3.3,2.9,7.0,3.1,1.3,4.2,3.1
2015.15,0.2,2.6,4.0,3.2,2.0,7.5,1.5,1.2,3.2,2.6
2015.16,1.0,,7.2,4.3,2.1,7.7,2.1,1.4,2.8,2.8
2015.17,1.0,1.3,3.7,3.2,1.7,8.9,2.0,0.9,2.4,2.3
2015.18,1.1,0.6,4.2,2.0,1.4,6.4,1.5,1.0,2.6,2.0
2015.19,1.5,0.4,6.1,3.3,2.1,6.8,2.1,1.4,2.2,2.3
2015.20,0.7,1.0,0.7,3.2,1.6,5.2,1.4,0.7,2.4,2.0
