Week,D01.all,D01.allV%,D01.65+,D01.65+V%,D02.all,D02.allV%,D02.65+,D02.65+V%,D03.all,D03.allV%,D03.65+,D03.65+V%,D04.all,D04.allV%,D04.65+,D04.65+V%,D05.all,D05.allV%,D05.65+,D05.65+V%,D06.all,D06.allV%,D06.65+,D06.65+V%,D07.all,D07.allV%,D07.65+,D07.65+V%,D08.all,D08.allV%,D08.65+,D08.65+V%,D09.all,D09.allV%,D09.65+,D09.65+V%,MS.all,MS.allV%,MS.65+,MS.65+V%
2012.48,36960,42.80,28806,47.63,55143,43.30,41614,48.25,31263,33.23,22850,37.93,34763,37.07,26330,41.01,62801,40.28,50127,44.73,34414,36.11,26815,40.48,26492,38.29,20314,42.86,37457,37.36,29145,41.63,40833,35.92,32336,39.83,360126,38.73,278337,43.21
2012.49,36960,44.16,28806,49.12,55143,44.96,41614,49.99,31263,34.38,22850,39.19,34763,38.53,26330,42.58,62801,41.49,50127,46.00,34414,37.13,26815,41.56,26492,39.34,20314,44.00,37457,38.43,29145,42.78,40833,37.12,32336,41.10,360126,40.00,278337,44.56
2012.50,36960,45.10,28806,50.16,55143,45.79,41614,50.84,31263,34.92,22850,39.79,34763,39.30,26330,43.36,62801,42.17,50127,46.73,34414,37.66,26815,42.11,26492,39.94,20314,44.55,37457,38.89,29145,43.26,40833,37.72,32336,41.71,360126,40.68,278337,45.26
2012.51,36960,45.28,28806,50.35,55143,46.05,41614,51.10,31263,35.11,22850,39.97,34763,39.49,26330,43.54,62801,42.37,50127,46.92,34414,37.79,26815,42.24,26492,40.12,20314,44.72,37457,39.04,29145,43.42,40833,37.93,32336,41.90,360126,40.87,278337,45.45
2012.52,36960,45.57,28806,50.65,55143,46.38,41614,51.42,31263,35.36,22850,40.22,34763,39.72,26330,43.77,62801,42.61,50127,47.13,34414,38.06,26815,42.54,26492,40.31,20314,44.94,37457,39.21,29145,43.58,40833,38.20,32336,42.16,360126,41.12,278337,45.70
2013.01,36960,46.80,28806,51.95,55143,47.36,41614,52.45,31263,36.08,22850,41.01,34763,40.51,26330,44.56,62801,43.40,50127,47.95,34414,38.90,26815,43.45,26492,41.00,20314,45.64,37457,40.13,29145,44.59,40833,39.54,32336,43.61,360126,42.06,278337,46.69
2013.02,36960,47.46,28806,52.60,55143,47.87,41614,52.94,31263,36.53,22850,41.47,34763,40.91,26330,44.95,62801,43.91,50127,48.47,34414,39.39,26815,43.94,26492,41.51,20314,46.15,37457,40.68,29145,45.16,40833,40.35,32336,44.45,360126,42.60,278337,47.24
2013.03,36960,47.76,28806,52.92,55143,48.08,41614,53.14,31263,36.69,22850,41.62,34763,41.11,26330,45.15,62801,44.07,50127,48.63,34414,39.50,26815,44.07,26492,41.72,20314,46.35,37457,40.84,29145,45.31,40833,40.60,32336,44.71,360126,42.80,278337,47.43
2013.04,36960,47.94,28806,53.07,55143,48.21,41614,53.26,31263,36.82,22850,41.75,34763,41.22,26330,45.26,62801,44.18,50127,48.74,34414,39.62,26815,44.18,26492,41.82,20314,46.44,37457,40.91,29145,45.37,40833,40.76,32336,44.87,360126,42.92,278337,47.55
2013.05,36960,48.01,28806,53.14,55143,48.32,41614,53.34,31263,36.89,22850,41.81,34763,41.30,26330,45.32,62801,44.26,50127,48.80,34414,39.69,26815,44.24,26492,41.87,20314,46.51,37457,40.94,29145,45.39,40833,40.82,32336,44.93,360126,42.99,278337,47.61
2013.06,36960,48.05,28806,53.19,55143,48.38,41614,53.39,31263,36.94,22850,41.85,34763,41.33,26330,45.36,62801,44.30,50127,48.84,34414,39.73,26815,44.27,26492,41.90,20314,46.53,37457,40.96,29145,45.39,40833,40.85,32336,44.96,360126,43.03,278337,47.65
2013.07,36960,48.09,28806,53.22,55143,48.42,41614,53.43,31263,36.97,22850,41.90,34763,41.38,26330,45.39,62801,44.34,50127,48.88,34414,39.76,26815,44.29,26492,41.92,20314,46.56,37457,40.96,29145,45.39,40833,40.88,32336,44.99,360126,43.06,278337,47.68
2013.08,36960,48.10,28806,53.23,55143,48.44,41614,53.45,31263,37.02,22850,41.93,34763,41.40,26330,45.41,62801,44.36,50127,48.89,34414,39.78,26815,44.31,26492,41.95,20314,46.57,37457,40.97,29145,45.40,40833,40.90,32336,45.01,360126,43.09,278337,47.69
