Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,MS.Tmax,MS.Tmin,MS.prcp
2012.48,14.22,-0.91,0.91,11.15,-0.93,0.72,15.29,0.39,3.00,11.84,-0.36,3.28,17.17,1.19,4.63,13.32,-0.30,3.79,12.86,1.52,3.55,12.13,0.96,4.25,18.02,4.73,2.26,14.46,0.90,3.07
2012.49,21.22,11.53,3.45,16.07,8.67,2.83,21.52,12.17,3.63,16.59,8.77,2.30,22.78,12.84,3.63,17.16,8.58,2.77,16.14,9.53,2.55,15.54,8.18,3.13,19.17,11.49,1.29,18.80,10.41,2.78
2012.50,14.73,0.86,6.29,11.78,1.06,5.99,15.35,2.46,4.89,12.41,1.54,3.40,17.37,3.41,5.40,13.26,2.25,6.67,12.54,2.30,4.85,11.68,2.84,4.46,17.39,5.06,1.84,14.52,2.65,4.77
2012.51,16.90,4.21,5.04,12.59,2.36,5.61,17.35,5.00,6.91,13.64,3.37,7.91,18.32,4.75,6.39,14.43,3.36,6.39,14.00,3.81,5.24,13.48,3.23,7.56,18.76,6.00,2.92,15.87,4.15,5.89
2012.52,9.30,-0.18,8.37,7.39,0.60,9.76,10.06,0.94,9.20,8.79,1.17,12.75,12.50,2.57,14.26,8.83,0.90,16.16,10.50,1.96,17.53,10.44,2.28,14.23,16.38,5.17,7.51,10.92,1.99,12.23
2013.01,6.28,-3.47,5.75,5.30,-2.57,4.57,7.52,-1.56,5.90,6.62,-1.42,6.15,10.12,-0.20,6.53,8.00,-0.62,5.59,7.82,0.69,6.84,8.21,0.49,3.02,13.43,2.58,2.23,8.63,-0.47,5.14
2013.02,14.12,3.25,11.75,12.28,3.87,10.89,15.04,6.18,14.10,11.98,5.30,4.67,16.98,8.15,10.27,13.36,5.46,5.43,11.92,6.24,20.65,11.65,5.66,9.33,17.62,10.33,4.26,14.39,6.49,9.12
2013.03,7.74,-0.75,14.49,7.14,-0.13,11.39,8.96,0.66,11.31,8.92,1.69,18.92,11.96,1.89,15.24,9.03,1.72,12.97,8.54,1.90,12.76,8.90,2.77,14.15,14.98,4.88,4.66,10.15,1.86,12.73
2013.04,12.76,-0.70,0.26,9.14,-1.09,0.44,14.01,2.20,0.27,11.40,0.80,0.42,16.64,4.64,0.05,13.26,2.15,0.02,14.05,3.35,0.01,12.89,2.13,0.00,18.08,4.41,0.00,14.05,2.33,0.15
2013.05,16.06,4.05,6.88,11.96,2.60,5.37,16.15,5.30,5.20,13.06,3.80,3.70,19.04,6.71,3.44,14.02,3.76,4.11,14.40,5.26,2.84,13.56,4.20,7.11,18.68,6.33,3.92,15.68,4.88,4.48
2013.06,15.29,2.74,1.93,12.03,1.08,2.01,16.49,3.24,0.52,14.51,2.63,0.44,18.08,5.21,0.70,13.97,2.89,1.04,13.46,5.21,2.71,13.45,3.82,4.22,19.58,8.01,8.45,15.72,4.17,2.57
2013.07,13.26,2.05,4.54,9.74,1.40,4.89,12.85,3.62,8.56,12.20,3.12,10.54,14.77,4.42,17.72,10.95,2.80,18.18,11.10,3.61,17.81,10.73,3.76,24.69,17.81,7.16,3.91,13.10,3.82,12.26
2013.08,10.37,-0.26,5.34,8.50,-0.57,5.24,12.24,1.50,5.50,11.61,0.78,9.00,14.68,2.08,10.49,12.02,1.11,10.27,12.00,3.16,11.05,11.31,2.02,7.79,16.76,6.45,10.20,12.70,2.06,8.75
2013.09,10.56,0.20,2.65,8.19,0.20,2.42,11.71,0.93,3.30,9.85,1.03,1.72,11.90,1.29,2.81,10.97,0.68,1.21,11.28,1.66,2.90,10.89,1.97,5.59,16.04,5.80,15.65,11.55,1.73,4.66
2013.10,12.77,-1.08,0.87,10.29,-0.98,1.78,13.98,0.34,0.27,12.62,-0.58,0.31,16.89,1.30,0.08,13.21,-0.25,0.29,12.35,1.05,0.05,11.45,0.47,0.11,17.96,2.95,0.05,14.14,0.57,0.38
2013.11,17.05,2.46,4.67,13.87,1.63,6.73,17.93,3.83,4.22,15.36,2.68,7.77,20.66,5.30,7.82,15.88,2.27,6.39,14.28,2.86,7.58,13.61,2.84,5.07,20.28,5.83,1.58,17.18,3.60,5.80
2013.12,18.12,4.49,4.84,13.09,2.71,5.54,17.76,5.48,7.14,15.07,4.13,5.83,20.72,7.47,3.32,15.46,4.88,3.65,16.26,6.68,1.41,14.41,5.36,1.51,21.47,10.28,0.38,17.47,6.07,3.58
2013.13,13.03,0.73,4.71,10.30,0.82,3.61,13.62,2.23,5.15,11.87,1.26,5.96,17.23,2.77,2.20,13.41,0.93,3.42,13.16,1.72,0.99,12.06,1.33,1.34,18.20,3.51,0.31,14.24,1.87,2.95
2013.14,15.56,6.06,5.85,12.84,4.62,4.87,16.56,7.39,7.38,14.23,6.40,5.51,19.63,8.18,4.01,15.56,6.20,3.98,14.05,6.19,6.89,14.14,5.74,3.96,21.30,9.70,10.88,16.64,7.02,5.94
2013.15,23.47,10.79,13.81,19.26,8.37,10.66,24.22,10.90,8.17,20.57,8.51,5.13,25.53,10.61,4.94,20.41,8.38,5.05,18.13,8.57,4.57,17.31,7.50,5.82,24.10,13.20,6.34,22.00,9.90,6.78
2013.16,25.24,11.51,7.07,18.38,8.15,5.69,24.60,12.47,6.73,19.13,9.07,7.12,25.59,12.60,8.10,19.72,9.45,8.68,18.46,9.05,9.28,17.27,8.50,11.59,23.59,13.59,12.00,21.75,10.80,8.57
2013.17,20.84,5.52,3.99,16.55,4.77,2.93,21.86,7.68,2.58,17.96,6.69,3.33,24.08,9.40,3.17,17.20,5.95,1.44,16.91,6.92,4.36,16.04,5.92,4.20,23.20,12.20,2.35,19.98,7.69,2.98
