Year,Week #,Ending,FL,NC,TN,AL,GA,MS,SC,KY
2013,32,8/10/2013,1.63E-05,1.60E-05,1.30E-05,1.92E-05,2.05E-05,9.02E-06,1.47E-05,1.06E-05
2013,33,8/17/2013,2.05E-05,1.64E-05,1.51E-05,2.06E-05,2.37E-05,9.02E-06,1.68E-05,1.06E-05
2013,34,8/24/2013,1.93E-05,1.60E-05,1.63E-05,2.23E-05,2.05E-05,9.02E-06,1.80E-05,1.06E-05
2013,35,8/31/2013,2.05E-05,1.64E-05,1.80E-05,2.95E-05,2.64E-05,8.35E-06,2.05E-05,1.72E-05
2013,36,9/7/2013,3.05E-05,2.42E-05,2.49E-05,4.87E-05,2.64E-05,9.02E-06,2.30E-05,2.31E-05
2013,37,9/14/2013,3.28E-05,2.80E-05,3.21E-05,5.92E-05,3.03E-05,1.00E-05,2.65E-05,2.63E-05
2013,38,9/21/2013,3.54E-05,3.60E-05,3.94E-05,7.63E-05,3.62E-05,1.94E-05,3.04E-05,3.33E-05
2013,39,9/28/2013,4.12E-05,4.86E-05,5.36E-05,8.10E-05,4.89E-05,2.14E-05,3.87E-05,4.92E-05
2013,40,10/5/2013,4.49E-05,5.03E-05,5.37E-05,8.10E-05,5.30E-05,2.97E-05,5.81E-05,5.10E-05
2013,41,10/12/2013,4.50E-05,5.36E-05,5.36E-05,7.53E-05,5.81E-05,3.17E-05,5.81E-05,5.91E-05
2013,42,10/19/2013,5.70E-05,5.37E-05,5.88E-05,7.53E-05,6.20E-05,4.48E-05,6.21E-05,6.37E-05
2013,43,10/26/2013,5.70E-05,5.37E-05,6.23E-05,7.71E-05,6.03E-05,4.48E-05,5.59E-05,6.37E-05
2013,44,11/2/2013,4.91E-05,5.28E-05,6.23E-05,8.06E-05,6.03E-05,4.48E-05,6.81E-05,6.37E-05
2013,45,11/9/2013,4.91E-05,4.92E-05,6.23E-05,8.06E-05,6.01E-05,4.34E-05,6.50E-05,5.01E-05
2013,46,11/16/2013,4.91E-05,4.35E-05,5.41E-05,8.08E-05,5.91E-05,4.34E-05,6.50E-05,4.35E-05
2013,47,11/23/2013,4.40E-05,3.83E-05,4.95E-05,8.08E-05,5.29E-05,4.38E-05,5.09E-05,3.78E-05
2013,48,11/30/2013,4.40E-05,3.83E-05,4.95E-05,8.08E-05,5.29E-05,4.48E-05,5.09E-05,3.78E-05
2013,49,12/7/2013,4.64E-05,6.14E-05,6.57E-05,0.000113004,7.20E-05,4.64E-05,7.74E-05,5.05E-05
2013,50,12/14/2013,4.96E-05,6.50E-05,8.09E-05,0.000124758,7.90E-05,5.24E-05,8.03E-05,5.17E-05
2013,51,12/21/2013,4.96E-05,6.14E-05,8.79E-05,0.000124758,7.90E-05,5.24E-05,7.97E-05,6.43E-05
2013,52,12/28/2013,4.96E-05,6.50E-05,9.76E-05,0.000130532,7.90E-05,6.51E-05,8.46E-05,7.14E-05
2014,1,1/4/2014,6.49E-05,0.000120274,0.000150397,0.000139606,8.74E-05,7.01E-05,0.000112572,0.000121673
