Week,NC.#ILI,NC.#patients,NC.%ILI
2001.40,52,7842,0.7
2001.41,83,7941,1.0
2001.42,45,7256,0.6
2001.43,61,9058,0.7
2001.44,61,9002,0.7
2001.45,76,9498,0.8
2001.46,60,9417,0.6
2001.47,41,5343,0.8
2001.48,64,9017,0.7
2001.49,56,9403,0.6
2001.50,27,8389,0.3
2001.51,20,5985,0.3
2001.52,25,2606,1.0
2002.01,33,3731,0.9
2002.02,65,8982,0.7
2002.03,128,10339,1.2
2002.04,286,9561,3.0
2002.05,238,11329,2.1
2002.06,313,11189,2.8
2002.07,358,10979,3.3
2002.08,350,11316,3.1
2002.09,238,11039,2.2
2002.10,133,8064,1.6
2002.11,68,6280,1.1
2002.12,50,8192,0.6
2002.13,27,6316,0.4
2002.14,12,5408,0.2
2002.15,18,5426,0.3
2002.16,18,5664,0.3
2002.17,21,5547,0.4
2002.18,14,5222,0.3
2002.19,29,5243,0.6
2002.20,9,2122,0.4
2002.40,3,4865,0.06
2002.41,5,5063,0.10
2002.42,5,5764,0.08
2002.43,30,6105,0.49
2002.44,23,9573,0.24
2002.45,37,9660,0.38
2002.46,42,7958,0.52
2002.47,15,7167,0.20
2002.48,25,5274,0.47
2002.49,25,7746,0.32
2002.50,22,7113,0.30
2002.51,20,5381,0.37
2002.52,17,2868,0.59
2003.01,25,5276,0.47
2003.02,41,8605,0.47
2003.03,47,9591,0.49
2003.04,96,8886,1.08
2003.05,225,10298,2.18
2003.06,333,11547,2.88
2003.07,291,9456,3.07
2003.08,268,8967,2.98
2003.09,185,9232,2.00
2003.10,101,6828,1.47
2003.11,25,4939,0.50
2003.12,42,7351,0.57
2003.13,23,6977,0.32
2003.14,25,6357,0.39
2003.15,18,6292,0.28
2003.16,12,5367,0.22
2003.17,8,5249,0.15
2003.18,9,4962,0.18
2003.19,7,2488,0.28
2003.20,2,1337,0.14
2003.40,31,11641,0.26
2003.41,52,13074,0.39
2003.42,59,13969,0.42
2003.43,71,13357,0.53
2003.44,77,15501,0.49
2003.45,111,14255,0.77
2003.46,173,14683,1.17
2003.47,204,13412,1.52
2003.48,303,11688,2.59
2003.49,799,18881,4.23
2003.50,1372,17709,7.74
2003.51,696,12351,5.63
2003.52,347,6583,5.27
2003.53,192,7091,2.70
2004.01,104,11043,0.94
2004.02,70,9983,0.70
2004.03,55,8800,0.62
2004.04,65,7801,0.83
2004.05,36,9888,0.36
2004.06,29,9746,0.29
2004.07,19,9518,0.19
2004.08,18,9491,0.18
2004.09,22,10217,0.21
2004.10,14,7616,0.18
2004.11,31,8684,0.35
2004.12,7,7583,0.09
2004.13,23,7804,0.29
2004.14,22,6645,0.33
2004.15,12,5763,0.20
2004.16,3,6393,0.04
2004.17,6,5557,0.10
2004.18,6,4494,0.13
2004.19,3,2431,0.12
2004.20,4,1960,0.20
2004.40,65,13829,0.47
2004.41,55,14800,0.37
2004.42,66,16446,0.40
2004.43,70,17378,0.40
2004.44,96,15828,0.60
2004.45,60,17145,0.34
2004.46,69,16499,0.41
2004.47,40,11383,0.35
2004.48,76,14810,0.51
2004.49,65,14627,0.44
2004.50,64,12163,0.52
2004.51,44,7659,0.57
2004.52,74,7717,0.95
2005.01,126,14076,0.89
2005.02,93,15665,0.59
2005.03,82,14421,0.56
2005.04,141,17588,0.80
2005.05,338,17973,1.88
2005.06,517,19018,2.71
2005.07,448,16515,2.71
2005.08,345,17344,1.98
2005.09,312,15555,2.00
2005.10,273,12715,2.14
2005.11,196,13919,1.40
2005.12,205,12845,1.59
2005.13,109,12153,0.89
2005.14,58,10303,0.56
2005.15,43,9959,0.43
2005.16,17,9253,0.18
2005.17,10,8309,0.12
2005.18,3,4899,0.06
2005.19,2,3606,0.05
2005.40,28,18279,0.15
2005.41,49,19163,0.25
2005.42,84,22640,0.37
2005.43,85,22511,0.37
2005.44,99,25608,0.38
2005.45,91,23181,0.39
2005.46,114,25393,0.44
2005.47,109,17987,0.60
2005.48,151,25757,0.58
2005.49,171,25081,0.68
2005.50,160,20705,0.77
2005.51,104,16879,0.61
2005.52,161,15451,1.04
2006.01,172,20266,0.84
2006.02,147,25964,0.56
2006.03,187,26413,0.70
2006.04,180,25252,0.71
2006.05,316,26437,1.19
2006.06,354,24756,1.42
2006.07,426,25292,1.68
2006.08,471,24960,1.88
2006.09,523,26069,2.00
2006.10,370,22776,1.62
2006.11,273,21192,1.28
2006.12,235,23055,1.01
2006.13,173,22178,0.78
2006.14,87,18698,0.46
2006.15,81,19079,0.42
2006.16,65,18084,0.35
2006.17,67,16120,0.41
2006.18,68,13869,0.49
2006.19,48,13614,0.35
2006.20,20,10664,0.18
2006.40,49,18344,0.26
2006.41,63,19460,0.32
2006.42,61,19584,0.31
2006.43,87,22865,0.38
2006.44,172,25913,0.66
2006.45,129,24976,0.51
2006.46,109,20182,0.54
2006.47,135,17624,0.76
2006.48,280,26940,1.03
2006.49,277,23680,1.16
2006.50,556,21899,2.53
2006.51,530,17907,2.95
2006.52,367,14155,2.59
2007.01,261,18205,1.43
2007.02,229,22937,0.99
2007.03,188,22822,0.82
2007.04,199,25063,0.79
2007.05,264,23639,1.11
2007.06,355,26047,1.36
2007.07,547,30533,1.79
2007.08,604,23865,2.53
2007.09,411,23814,1.72
2007.10,326,22171,1.47
2007.11,246,19637,1.25
2007.12,179,20061,0.89
2007.13,121,18060,0.66
2007.14,65,16675,0.38
2007.15,74,15579,0.47
2007.16,83,16713,0.49
2007.17,55,16283,0.33
2007.18,67,12954,0.51
2007.19,53,9236,0.57
2007.20,50,7965,0.62
2007.40,96,21610,0.44
2007.41,107,22201,0.48
2007.42,133,22462,0.59
2007.43,132,22968,0.57
2007.44,135,23388,0.57
2007.45,243,25762,0.94
2007.46,247,23124,1.06
2007.47,219,17363,1.26
