Week,NC.tc
2013.32,182
2013.33,159
2013.34,163
2013.35,150
2013.36,241
2013.37,278
2013.38,358
2013.39,500
2013.40,483
2013.41,533
2013.42,534
2013.43,637
2013.44,525
2013.45,433
2013.46,489
2013.47,381
2013.48,342
2013.49,674
2013.50,611
2013.51,646
2013.52,607
2014.01,1196
2014.02,1292
2014.03,1021
2014.04,1016
2014.05,779
2014.06,590
2014.07,436
2014.08,577
2014.09,415
2014.10,346
2014.11,265
2014.12,322
2014.13,248
2014.14,252
2014.15,528
2014.16,240
2014.17,227
2014.18,181
2014.19,177
2014.20,138
2014.21,120
2014.22,118
2014.23,418
2014.24,150
2014.25,110
2014.26,105
2014.27,152
2014.28,109
2014.29,94
2014.30,108
2014.31,119
2014.32,147
2014.33,128
2014.34,139
2014.35,143
2014.36,183
2014.37,232
2014.38,350
2014.39,454
2014.40,675
2014.41,849
2014.42,870
2014.43,728
2014.44,597
2014.45,561
2014.46,442
2014.47,501
2014.48,345
2014.49,667
2014.50,728
2014.51,809
2014.52,980
2014.53,1476
2015.01,1527
2015.02,1195
2015.03,955
2015.04,702
2015.05,729
2015.06,535
2015.07,475
2015.08,379
2015.09,371
2015.10,339
2015.11,270
2015.12,225
2015.13,221
2015.14,243
2015.15,317
2015.16,272
2015.17,191
2015.18,169
2015.19,203
2015.20,217
2015.21,205
2015.22,217
2015.23,271
2015.24,147
2015.25,106
2015.26,116
2015.27,124
2015.28,237
2015.29,215
