Week,NC.all,NC.allV%,NC.65+,NC.65+V%
2012.32,648910,0.18,150265,0.24
2012.33,928083,0.57,354773,0.73
2012.34,978304,1.36,634452,1.57
2012.35,996317,2.98,780574,3.11
2012.36,997756,5.95,809887,6.27
2012.37,997756,10.15,823988,10.75
2012.38,997756,15.23,823988,16.28
2012.39,997756,21.42,824643,22.99
2012.40,997756,27.52,824643,29.62
2012.41,997756,32.99,825173,35.56
2012.42,997756,37.56,825173,40.51
2012.43,997756,40.88,825173,44.09
2012.44,997756,43.55,825173,46.93
2012.45,997756,45.68,825173,49.19
2012.46,997756,46.70,825173,50.26
2012.47,997756,48.26,825173,51.91
2012.48,997756,50.37,825173,54.14
2012.49,997756,51.76,825173,55.58
2012.50,997756,52.51,825173,56.34
2012.51,997756,52.79,825173,56.63
2012.52,997756,53.15,825173,57.00
2013.01,997756,54.03,825173,57.91
2013.02,997756,54.57,825173,58.44
2013.03,997756,54.76,825173,58.63
2013.04,997756,54.88,825173,58.73
2013.05,997756,54.95,825173,58.79
2013.06,997756,54.99,825173,58.82
2013.07,997756,55.01,825173,58.84
2013.08,997756,55.03,825173,58.86
2013.09,997756,55.05,825173,58.87
2013.10,997756,55.06,825173,58.88
2013.11,997756,55.06,825173,58.88
2013.12,997756,55.07,825173,58.88
2013.13,997756,55.07,825173,58.89
2013.14,997756,55.07,825173,58.89
2013.15,997756,55.07,825173,58.89
2013.16,997756,55.07,825173,58.89
2013.17,997756,55.07,825173,58.89
2013.18,997756,55.07,825173,58.89
2013.19,997756,55.07,825173,58.89
2013.20,997756,55.08,825173,58.89
2013.21,997756,55.08,825173,58.89
2013.22,997756,55.08,825173,58.89
2013.23,997756,55.08,825173,58.89
2013.24,997756,55.08,825173,58.90
2013.25,997756,55.08,825173,58.90
2013.26,997756,55.08,825173,58.90
2013.27,997756,55.08,825173,58.90
2013.28,997756,55.08,825173,58.90
2013.29,997756,55.08,825173,58.90
2013.30,997756,55.08,825173,58.90
2013.31,997756,55.08,825173,58.90
2013.32,167844,0.05,0,0.00
2013.33,612163,0.17,137088,0.24
2013.34,851408,0.49,373600,0.64
2013.35,944997,1.61,663533,1.68
2013.36,950179,4.07,753478,4.26
2013.37,950179,7.87,772074,8.38
2013.38,950179,12.79,772074,13.77
2013.39,950179,19.03,773169,20.59
2013.40,950179,25.49,773169,27.67
2013.41,950179,31.40,773169,34.13
2013.42,950179,36.31,773169,39.48
2013.43,950179,40.24,773169,43.73
2013.44,950179,43.26,773169,46.95
2013.45,950179,45.61,773169,49.44
2013.46,950179,47.49,773169,51.39
2013.47,950179,48.26,773169,52.19
2013.48,950179,49.54,773169,53.52
2013.49,950179,50.49,773169,54.49
2013.50,950179,51.19,773169,55.21
2013.51,950179,51.44,773169,55.46
2013.52,950179,52.06,773169,56.10
2014.01,950179,52.74,773169,56.78
2014.02,950179,53.28,773169,57.32
2014.03,950179,53.63,773169,57.66
2014.04,950179,53.79,773169,57.81
2014.05,950179,53.95,773169,57.95
2014.06,950179,54.01,773169,58.01
2014.07,950179,54.09,773169,58.07
2014.08,950179,54.15,773169,58.13
2014.09,950179,54.19,773169,58.15
2014.10,950179,54.21,773169,58.17
2014.11,950179,54.23,773169,58.18
2014.12,950179,54.24,773169,58.19
2014.13,950179,54.25,773169,58.20
2014.14,950179,54.25,773169,58.20
2014.15,950179,54.25,773169,58.20
2014.16,950179,54.26,773169,58.20
2014.17,950179,54.26,773169,58.20
2014.18,950179,54.26,773169,58.21
2014.19,950179,54.26,773169,58.21
2014.20,950179,54.26,773169,58.21
2014.21,950179,54.26,773169,58.21
2014.22,950179,54.26,773169,58.21
2014.23,950179,54.26,773169,58.21
2014.24,950179,54.26,773169,58.21
2014.25,950179,54.26,773169,58.21
2014.26,950179,54.26,773169,58.21
2014.27,950179,54.26,773169,58.21
2014.28,950179,54.26,773169,58.21
2014.29,950179,54.27,773169,58.21
2014.30,950179,54.27,773169,58.21
2014.31,950179,54.28,773169,58.22
2014.32,637712,0.16,149140,0.22
2014.33,910392,0.39,347146,0.48
2014.34,980311,0.89,564260,1.05
2014.35,1003757,1.97,732863,2.13
2014.36,1005148,3.97,778041,4.29
2014.37,1005148,7.27,808232,7.85
2014.38,1005148,11.93,812300,12.97
2014.39,1005148,17.98,812300,19.57
2014.40,1005148,25.41,812818,27.64
2014.41,1005148,32.18,813438,35.03
2014.42,1005148,37.57,813438,40.90
2014.43,1005148,41.87,813438,45.58
2014.44,1005148,44.95,813438,48.81
2014.45,1005148,47.24,813438,51.20
2014.46,1005148,49.07,813438,53.09
2014.47,1005148,49.93,813438,53.97
2014.48,1005148,50.99,813438,55.04
2014.49,1005148,51.78,813438,55.84
2014.50,1005148,52.43,813438,56.49
2014.51,1005148,52.67,813438,56.73
2014.52,1005148,52.98,813438,57.04
2014.53,1005148,53.40,813438,57.45
2015.01,1005148,53.65,813438,57.69
2015.02,1005148,53.81,813438,57.84
2015.03,1005148,53.93,813438,57.94
2015.04,1005148,54.01,813438,58.01
2015.05,1005148,54.07,813438,58.07
2015.06,1005148,54.11,813438,58.09
2015.07,1005148,54.13,813438,58.11
2015.08,1005148,54.15,813438,58.13
2015.09,1005148,54.18,813438,58.15
2015.10,1005148,54.19,813438,58.16
2015.11,1005148,54.20,813438,58.17
2015.12,1005148,54.21,813438,58.18
2015.13,1005148,54.21,813438,58.18
2015.14,1005148,54.22,813438,58.18
2015.15,1005148,54.22,813438,58.19
2015.16,1005148,54.22,813438,58.19
2015.17,1005148,54.22,813438,58.19
2015.18,1005148,54.22,813438,58.19
2015.19,1005148,54.22,813438,58.19
2015.20,1005148,54.22,813438,58.19
2015.21,1005148,54.22,813438,58.19
2015.22,1005148,54.22,813438,58.19
2015.23,1005148,54.22,813438,58.19
2015.24,1005148,54.23,813438,58.19
2015.25,1005148,54.23,813438,58.19
2015.26,1005148,54.23,813438,58.19
2015.27,1005148,54.23,813438,58.19
2015.28,1005148,54.23,813438,58.19
2015.29,1005148,54.23,813438,58.19
