Week,RI.all,RI.allV%,RI.65+,RI.65+V%
2013.40,87247,25.31,68626,27.80
2013.41,87247,30.08,68626,33.09
2013.42,87247,34.94,68626,38.43
2013.43,87247,38.34,68626,42.08
2013.44,87247,40.76,68626,44.67
2013.45,87247,42.76,68626,46.75
2013.46,87247,44.40,68626,48.48
2013.47,87247,45.20,68626,49.31
2013.48,87247,46.29,68626,50.40
2013.49,87247,47.12,68626,51.21
2013.50,87247,47.71,68626,51.79
2013.51,87247,47.92,68626,51.98
2013.52,87247,48.47,68626,52.58
2014.01,87247,49.32,68626,53.42
2014.02,87247,49.89,68626,53.98
2014.03,87247,50.16,68626,54.22
2014.04,87247,50.37,68626,54.40
2014.05,87247,50.46,68626,54.47
2014.06,87247,50.52,68626,54.52
2014.07,87247,50.57,68626,54.56
2014.08,87247,50.64,68626,54.61
2014.09,87247,50.66,68626,54.62
2014.10,87247,50.69,68626,54.64
2014.11,87247,50.71,68626,54.66
2014.12,87247,50.74,68626,54.68
2014.13,87247,50.75,68626,54.69
2014.14,87247,50.76,68626,54.70
2014.15,87247,50.78,68626,54.71
2014.16,87247,50.78,68626,54.72
2014.17,87247,50.80,68626,54.73
2014.18,87247,50.81,68626,54.74
2014.19,87247,50.81,68626,54.74
2014.20,87247,50.81,68626,54.74
2014.21,87247,50.82,68626,54.74
2014.22,87247,50.82,68626,54.74
2014.23,87247,50.82,68626,54.75
2014.24,87247,50.82,68626,54.75
2014.25,87247,50.82,68626,54.75
2014.26,87247,50.82,68626,54.75
2014.27,87247,50.82,68626,54.75
2014.28,87247,50.82,68626,54.75
2014.29,87247,50.83,68626,54.76
2014.30,87247,50.84,68626,54.76
2014.31,87247,50.85,68626,54.77
2014.32,64205,0.15,35618,0.15
2014.33,92788,0.35,35618,0.44
2014.34,92788,0.69,47495,0.76
2014.35,92788,1.40,72114,1.46
2014.36,92788,2.79,72114,3.01
2014.37,92788,5.59,72114,6.15
2014.38,92788,9.55,72114,10.59
2014.39,92788,15.35,72114,17.10
2014.40,92788,22.27,72114,24.90
2014.41,92788,28.07,72114,31.37
2014.42,92788,33.31,72114,37.14
2014.43,92788,37.30,72114,41.49
2014.44,92788,40.15,72114,44.58
2014.45,92788,42.10,72114,46.68
2014.46,92788,43.72,72114,48.41
2014.47,92788,44.41,72114,49.12
2014.48,92788,45.31,72114,50.05
2014.49,92788,46.01,72114,50.75
2014.50,92788,46.67,72114,51.41
2014.51,92788,46.94,72114,51.68
2014.52,92788,47.23,72114,51.98
2014.53,92788,47.62,72114,52.36
2015.01,92788,47.85,72114,52.58
2015.02,92788,48.02,72114,52.74
2015.03,92788,48.07,72114,52.79
2015.04,92788,48.12,72114,52.84
2015.05,92788,48.17,72114,52.87
2015.06,92788,48.22,72114,52.92
2015.07,92788,48.26,72114,52.95
2015.08,92788,48.29,72114,52.97
2015.09,92788,48.31,72114,52.98
2015.10,92788,48.32,72114,52.99
2015.11,92788,48.33,72114,53.00
2015.12,92788,48.33,72114,53.01
2015.13,92788,48.34,72114,53.01
2015.14,92788,48.34,72114,53.01
2015.15,92788,48.35,72114,53.02
2015.16,92788,48.35,72114,53.02
2015.17,92788,48.35,72114,53.02
2015.18,92788,48.35,72114,53.02
2015.19,92788,48.35,72114,53.02
2015.20,92788,48.35,72114,53.02
2015.21,92788,48.35,72114,53.02
2015.22,92788,48.35,72114,53.02
2015.23,92788,48.35,72114,53.02
2015.24,92788,48.35,72114,53.02
2015.25,92788,48.35,72114,53.02
2015.26,92788,48.35,72114,53.02
2015.27,92788,48.35,72114,53.03
2015.28,92788,48.35,72114,53.03
2015.29,92788,48.36,72114,53.03
