Week,RI.Tmax,RI.Tmin,RI.prcp
2013.40,22.97,9.61,1.30
2013.41,19.45,10.48,0.93
2013.42,18.57,6.59,0.14
2013.43,14.75,2.15,0.11
2013.44,15.54,3.73,0.65
2013.45,11.55,-0.13,1.96
2013.46,10.81,-0.19,0.41
2013.47,11.13,0.37,2.51
2013.48,4.88,-4.63,11.20
2013.49,8.94,-0.11,3.23
2013.50,0.44,-7.09,1.92
2013.51,3.86,-5.72,3.93
2013.52,6.44,-2.25,2.54
2014.01,-0.45,-10.60,6.88
2014.02,3.61,-9.71,2.74
2014.03,7.66,0.11,6.41
2014.04,-1.81,-10.41,2.14
2014.05,0.76,-9.38,0.28
2014.06,2.43,-7.12,5.21
2014.07,-0.08,-9.11,6.26
2014.08,4.36,-6.52,5.30
2014.09,1.64,-9.43,0.08
2014.10,1.90,-9.09,0.08
2014.11,8.89,-2.81,2.45
2014.12,6.95,-4.52,1.97
2014.13,6.12,-4.62,1.55
2014.14,10.64,1.05,18.53
2014.15,14.97,2.57,3.34
2014.16,13.91,2.82,7.24
2014.17,14.62,3.63,1.97
2014.18,13.89,5.33,8.62
2014.19,18.12,7.67,0.36
2014.20,21.77,10.73,3.13
2014.21,20.21,9.62,1.19
2014.22,20.00,7.70,1.12
2014.23,22.95,10.46,2.86
2014.24,23.42,14.63,4.83
2014.25,25.60,13.14,0.58
2014.26,25.88,13.31,1.09
2014.27,27.58,17.36,10.80
2014.28,27.96,17.55,0.18
2014.29,25.87,18.07,4.11
2014.30,26.96,16.58,0.34
2014.31,25.53,15.93,2.11
2014.32,27.02,15.70,1.31
2014.33,25.38,14.55,5.95
2014.34,25.14,13.23,0.66
2014.35,26.66,13.48,0.00
2014.36,28.60,18.56,1.25
2014.37,23.89,13.37,0.81
2014.38,20.64,7.25,0.62
2014.39,21.99,9.96,0.80
2014.40,19.01,11.60,3.90
2014.41,18.45,6.59,1.77
2014.42,20.62,11.28,4.10
2014.43,15.04,6.48,5.05
2014.44,16.25,5.14,0.44
2014.45,12.00,3.10,3.01
2014.46,11.96,0.26,1.10
2014.47,6.85,-4.08,5.72
2014.48,9.30,0.59,8.96
2014.49,9.57,0.38,3.48
2014.50,4.02,-2.64,12.89
2014.51,5.57,-1.68,1.18
2014.52,9.29,1.50,4.67
2014.53,3.78,-5.16,0.74
2015.01,0.27,-10.83,3.81
2015.02,0.34,-8.94,1.66
2015.03,3.95,-4.30,3.00
2015.04,-1.19,-10.68,5.68
2015.05,-1.04,-14.07,3.00
2015.06,-1.94,-11.61,2.43
2015.07,-4.15,-16.32,2.26
2015.08,-0.95,-13.19,2.34
2015.09,1.36,-9.93,5.56
2015.10,7.81,-4.42,2.63
2015.11,4.75,-4.37,3.16
2015.12,5.49,-3.58,4.41
2015.13,9.48,-1.36,1.73
2015.14,9.70,0.92,2.64
2015.15,18.01,3.78,0.87
2015.16,14.48,3.09,4.29
2015.17,15.56,3.90,0.24
2015.18,23.10,7.66,0.00
2015.19,23.06,10.77,0.47
2015.20,20.62,8.85,1.66
2015.21,24.65,12.76,0.01
2015.22,18.25,8.79,7.54
2015.23,24.85,13.65,0.09
2015.24,23.40,13.65,4.27
2015.25,26.39,15.21,4.68
2015.26,24.16,14.17,8.57
2015.27,27.71,16.58,1.94
2015.28,27.06,16.63,3.26
2015.29,28.74,17.30,0.94
