Week,D1.ILI%,D2.ILI%,D3.ILI%,D4.ILI%,D5.ILI%,D6.ILI%,D7.ILI%,D8.ILI%,D9.ILI%,D10.ILI%,D11.ILI%,D12.ILI%,D13.ILI%,TN.ILI%
2009.32,0.0,0.1,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.16
2009.33,0.0,0.8,1.4,1.6,1.5,1.5,3.1,0.2,0.0,0.2,0.0,0.0,0.3,0.94
2009.34,0.2,1.1,3.3,11.1,2.5,0.0,6.0,0.0,0.0,1.8,0.6,1.2,1.0,2.67
2009.35,1.4,2.5,3.4,6.2,5.5,0.0,9.3,1.5,1.2,1.9,1.1,3.1,1.0,4.14
2009.36,5.8,2.7,4.5,10.4,4.9,2.9,12.2,0.2,0.5,2.9,1.9,1.4,0.8,4.75
2009.37,2.0,3.9,4.4,9.2,4.9,1.2,6.3,0.6,0.9,3.5,0.0,2.7,0.9,3.88
2009.38,4.5,5.1,0.0,1.9,6.8,0.8,5.3,0.5,0.0,5.6,6.0,3.0,2.5,4.48
2009.39,4.2,7.9,0.0,3.1,6.3,2.2,3.5,0.9,1.4,3.0,1.9,1.7,1.9,4.19
2009.40,3.2,3.4,1.6,3.0,6.2,0.5,2.9,0.3,1.4,5.1,0.0,4.2,1.7,3.29
2009.41,1.8,5.2,2.2,5.1,5.3,0.5,5.7,0.8,2.3,6.7,3.4,4.6,1.3,4.31
2009.42,1.7,2.8,2.2,2.8,6.1,0.6,8.0,4.9,0.6,3.9,4.5,3.2,1.1,3.87
2009.43,0.7,5.9,1.5,6.4,6.1,1.0,6.0,4.1,0.6,7.4,14.1,1.8,1.2,4.77
2009.44,1.8,1.5,1.1,3.3,5.2,1.2,7.9,5.2,0.0,4.2,3.3,2.2,0.5,3.22
2009.45,1.4,1.4,0.0,2.7,3.8,1.6,6.2,0.7,0.0,2.9,0.8,1.4,0.8,2.54
