Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,D10.Tmax,D10.Tmin,D10.prcp,D11.Tmax,D11.Tmin,D11.prcp,D12.Tmax,D12.Tmin,D12.prcp,D13.Tmax,D13.Tmin,D13.prcp,TN.Tmax,TN.Tmin,TN.prcp
2009.32,32.19,21.29,0.55,31.46,19.89,0.96,32.28,20.53,2.07,31.88,19.72,0.95,31.95,20.08,1.14,31.49,19.39,2.65,31.08,19.30,0.62,30.73,19.22,2.93,31.11,20.02,1.95,31.59,20.09,4.64,29.29,18.35,4.15,28.16,16.48,3.46,30.69,18.36,2.34,31.02,19.29,2.03
2009.33,31.86,21.51,6.12,30.86,20.24,2.44,31.26,20.74,1.81,30.36,20.23,3.39,30.17,20.33,3.73,29.50,19.98,2.79,29.13,19.34,3.55,28.89,19.51,3.54,29.54,20.26,3.64,30.24,20.31,5.25,27.73,18.43,6.71,26.91,17.15,5.83,29.73,18.79,2.43,29.45,19.63,3.89
2009.34,29.72,18.12,0.07,28.99,16.18,0.15,30.00,16.03,0.12,28.30,16.14,1.05,28.23,16.35,1.01,28.36,15.57,0.84,27.14,15.96,0.62,26.97,16.87,2.21,27.85,18.15,5.37,28.73,17.77,1.28,26.15,16.06,2.75,25.89,15.15,1.73,28.86,16.35,0.54,27.73,16.18,1.32
2009.35,27.92,16.59,1.96,25.82,14.06,0.37,27.98,14.51,0.02,26.78,14.32,2.62,27.09,14.64,3.02,26.93,14.29,2.10,26.32,13.97,0.38,26.05,15.03,1.44,26.06,16.75,0.48,26.91,16.74,0.52,24.94,14.79,1.34,24.39,13.81,0.97,27.07,15.15,0.81,26.28,14.53,1.57
2009.36,30.77,20.32,0.86,30.31,17.75,2.23,31.12,18.24,4.85,29.46,16.81,1.80,29.69,17.50,2.62,28.79,16.62,2.89,27.72,16.04,3.67,26.73,16.34,2.62,26.17,17.05,4.01,28.09,17.70,2.04,25.31,15.44,2.10,24.19,13.28,4.01,26.32,15.06,3.96,28.04,16.47,2.63
2009.37,26.49,20.78,19.57,26.69,19.51,10.30,27.20,20.07,9.69,26.43,18.19,12.12,25.93,18.01,16.73,26.76,18.56,14.05,25.61,16.99,14.04,25.20,17.97,8.75,24.19,18.68,14.98,26.66,18.03,8.15,24.31,16.05,5.95,24.33,13.83,2.12,27.18,15.44,0.58,25.83,17.70,11.03
2009.38,27.32,20.97,5.58,26.87,20.53,7.79,27.32,21.05,12.22,26.94,20.01,11.13,26.75,19.98,12.48,26.63,19.74,13.86,26.53,19.29,7.12,25.79,19.03,12.66,25.24,19.52,18.23,27.29,19.67,3.75,24.99,17.13,7.74,24.50,16.06,7.78,26.79,17.69,7.69,26.31,19.23,10.25
2009.39,25.28,11.78,0.14,24.40,10.27,1.99,24.42,10.40,2.46,22.93,9.65,3.49,23.02,9.77,3.53,23.23,9.40,4.16,21.45,8.87,6.25,22.10,8.96,5.48,21.87,10.79,6.17,22.13,10.23,11.83,20.52,8.47,8.39,18.74,7.65,6.48,20.86,8.56,5.89,22.28,9.32,4.98
2009.40,22.22,12.64,10.22,21.45,11.13,8.19,21.15,11.73,7.20,20.80,9.83,6.28,21.55,9.92,5.99,21.87,10.85,8.00,20.06,9.08,6.13,20.68,11.01,7.75,20.69,12.00,9.90,23.27,11.13,5.24,20.59,10.06,5.97,20.70,8.51,3.16,22.41,9.69,2.75,21.01,10.22,6.68
2009.41,17.11,11.26,5.22,16.58,9.54,4.89,16.80,9.84,4.30,15.82,8.75,7.14,16.41,8.27,6.73,17.43,10.56,5.42,16.01,9.03,8.62,16.81,10.90,5.79,17.19,11.22,5.10,18.10,12.06,7.18,15.92,9.94,7.11,14.93,9.13,5.32,15.63,9.16,5.05,16.34,9.66,6.48
