Week,TX.#sites,TX.age0-4,TX.age5-24,TX.age25-64*,TX.age50-64,TX.age65+,TX.#ILI,TX.#patients,TX.%ILI
2005.40,32,49,82,49,,2,182,14185,1.28
2005.41,27,55,96,48,,4,203,11750,1.72
2005.42,27,67,87,62,,4,220,13843,1.58
2005.43,27,67,101,60,,2,230,13785,1.66
2005.44,27,72,125,37,,5,239,11601,2.06
2005.45,33,68,124,93,,13,298,11436,2.60
2005.46,37,102,142,117,,18,379,13824,2.74
2005.47,35,95,119,93,,6,313,10897,2.87
2005.48,43,144,163,128,,9,444,15657,2.83
2005.49,39,118,181,116,,3,418,12894,3.24
2005.50,45,160,268,190,,13,631,14410,4.37
2005.51,44,146,149,61,,7,363,7797,4.65
2005.52,39,219,232,363,,29,843,10140,8.31
2006.01,40,177,201,297,,46,721,11399,6.32
2006.02,55,229,359,269,,36,893,15487,5.76
2006.03,47,297,399,287,,28,1011,13520,7.47
2006.04,69,331,489,307,,42,1169,18518,6.31
2006.05,64,282,420,265,,44,1011,17853,5.66
2006.06,67,278,375,230,,27,910,18375,4.95
2006.07,62,239,358,207,,33,837,18270,4.58
2006.08,67,261,426,238,,38,963,18767,5.13
2006.09,65,210,389,182,,21,802,18329,4.37
2006.10,66,186,314,188,,65,753,17774,4.23
2006.11,66,174,229,162,,33,598,13943,4.28
2006.12,67,153,285,154,,35,627,15188,4.12
2006.13,67,148,388,161,,33,730,16004,4.56
2006.14,67,203,419,141,,27,790,15904,4.96
2006.15,70,153,363,108,,19,643,18678,3.44
2006.16,63,139,264,92,,12,507,14287,3.54
2006.17,72,106,249,126,,19,500,16126,3.10
2006.18,70,90,196,76,,15,377,16117,2.33
2006.19,63,102,168,94,,13,377,12848,2.93
2006.20,46,91,176,70,,16,353,10196,3.46
2006.40,61,71,120,65,,9,265,15479,1.71
2006.41,59,104,126,93,,14,337,16457,2.04
2006.42,77,250,187,154,,44,635,25223,2.51
2006.43,77,219,188,153,,20,580,23296,2.48
2006.44,72,235,254,164,,39,692,22504,3.07
2006.45,71,356,249,182,,42,829,22660,3.65
2006.46,71,495,312,228,,62,1097,24033,4.56
2006.47,76,450,277,237,,95,1009,19958,5.05
2006.48,78,442,275,302,,70,1089,24495,4.44
2006.49,84,374,325,283,,96,1078,24229,4.44
2006.50,72,387,381,252,,80,1100,22227,4.94
2006.51,67,349,259,187,,50,845,17402,4.85
2006.52,63,460,199,264,,104,1027,16039,6.40
2007.01,86,343,221,284,,84,932,20681,4.50
2007.02,72,329,244,284,,84,941,21819,4.31
2007.03,70,242,223,128,,19,612,15461,3.95
2007.04,80,518,475,283,,106,1382,24696,5.59
