Week,TX.all,TX.allV%,TX.65+,TX.65+V%
2012.32,1088672,0.23,505499,0.25
2012.33,1433594,0.71,721202,0.88
2012.34,1582897,1.67,1029711,1.89
2012.35,1632118,3.67,1252177,3.92
2012.36,1651218,6.89,1324151,7.32
2012.37,1659550,11.07,1353360,11.82
2012.38,1660594,15.55,1366213,16.59
2012.39,1662189,20.98,1386739,22.29
2012.40,1662273,26.23,1394413,27.90
2012.41,1662273,30.60,1397188,32.56
2012.42,1662273,34.17,1400331,36.38
2012.43,1662273,36.76,1401731,39.13
2012.44,1662273,38.69,1402613,41.17
2012.45,1662273,40.32,1403513,42.87
2012.46,1662273,41.04,1404113,43.61
2012.47,1662273,42.05,1405647,44.65
2012.48,1662273,43.56,1406678,46.25
2012.49,1662273,44.53,1407052,47.26
2012.50,1662273,45.10,1407052,47.85
2012.51,1662418,45.32,1407052,48.08
2012.52,1662418,45.71,1407052,48.48
2013.01,1662418,47.04,1407313,49.89
2013.02,1662418,47.82,1407313,50.67
2013.03,1662418,48.12,1407313,50.97
2013.04,1662418,48.29,1407820,51.13
2013.05,1662418,48.39,1407820,51.21
2013.06,1662418,48.45,1407820,51.27
2013.07,1662418,48.49,1407820,51.31
2013.08,1662418,48.52,1407820,51.34
2013.09,1662418,48.55,1407820,51.36
2013.10,1662418,48.57,1407820,51.38
2013.11,1662418,48.59,1407820,51.39
2013.12,1662418,48.61,1407820,51.41
2013.13,1662418,48.62,1407820,51.41
2013.14,1662418,48.62,1407820,51.42
2013.15,1662418,48.62,1407820,51.42
2013.16,1662418,48.63,1407820,51.42
2013.17,1662418,48.63,1407820,51.43
2013.18,1662418,48.63,1407820,51.43
2013.19,1662418,48.63,1407820,51.43
2013.20,1662418,48.63,1407820,51.43
2013.21,1662418,48.63,1407820,51.43
2013.22,1662418,48.65,1407820,51.45
2013.23,1662418,48.65,1407820,51.45
2013.24,1662418,48.65,1407820,51.45
2013.25,1662418,48.66,1407820,51.45
2013.26,1662418,48.66,1407820,51.45
2013.27,1662418,48.66,1407820,51.45
2013.28,1662418,48.66,1407820,51.45
2013.29,1662418,48.66,1407820,51.45
2013.30,1662418,48.66,1407820,51.45
2013.31,1662418,48.66,1407820,51.46
2013.32,532299,0.03,0,0.00
2013.33,1005355,0.13,452166,0.15
2013.34,1524528,0.52,731590,0.65
2013.35,1733272,2.09,1230524,2.24
2013.36,1781568,4.95,1381449,5.31
2013.37,1799386,8.75,1433741,9.44
2013.38,1805388,13.48,1475778,14.50
2013.39,1807997,19.09,1494673,20.46
2013.40,1808336,24.70,1507395,26.45
2013.41,1808647,29.67,1513141,31.79
2013.42,1808647,33.56,1517615,35.93
2013.43,1808647,36.40,1520169,38.92
2013.44,1808647,38.65,1520909,41.26
2013.45,1808647,40.47,1522122,43.14
2013.46,1808647,41.86,1522792,44.59
2013.47,1808647,42.44,1524194,45.17
2013.48,1808647,43.27,1524194,46.02
2013.49,1808647,43.99,1524194,46.76
2013.50,1808647,44.87,1524194,47.67
2013.51,1808647,45.47,1524194,48.31
2013.52,1808647,46.21,1524194,49.08
2014.01,1808647,47.20,1524194,50.08
2014.02,1808674,47.92,1524194,50.79
2014.03,1808674,48.31,1524194,51.17
2014.04,1808674,48.52,1525203,51.35
2014.05,1808674,48.64,1525203,51.47
2014.06,1808674,48.74,1525813,51.54
2014.07,1808674,48.81,1525813,51.60
2014.08,1808674,48.86,1525813,51.65
2014.09,1808674,48.89,1525951,51.68
2014.10,1808674,48.92,1525951,51.70
2014.11,1808674,48.94,1525951,51.72
2014.12,1808674,48.95,1525951,51.73
2014.13,1808674,48.97,1525951,51.74
2014.14,1808674,48.97,1525951,51.75
2014.15,1808674,48.98,1525951,51.75
2014.16,1808674,48.98,1525951,51.75
2014.17,1808674,48.98,1525951,51.76
2014.18,1808674,48.98,1525951,51.76
2014.19,1808674,49.00,1525951,51.78
2014.20,1808674,49.00,1525951,51.78
2014.21,1808674,49.00,1525951,51.78
2014.22,1808674,49.00,1525951,51.78
2014.23,1808674,49.01,1525951,51.78
2014.24,1808674,49.01,1525951,51.78
2014.25,1808674,49.01,1525951,51.78
2014.26,1808674,49.01,1525951,51.78
2014.27,1808674,49.01,1525951,51.78
2014.28,1808674,49.01,1525951,51.78
2014.29,1808674,49.01,1525951,51.79
2014.30,1808674,49.02,1525951,51.79
2014.31,1808674,49.03,1525951,51.80
2014.32,1225956,0.18,512150,0.20
2014.33,1547806,0.45,761519,0.56
2014.34,1740143,1.00,928837,1.29
2014.35,1846894,2.44,1321652,2.69
2014.36,1885864,4.74,1424607,5.22
2014.37,1897674,8.25,1507177,9.06
2014.38,1903883,13.03,1543651,14.29
2014.39,1906273,18.62,1573968,20.19
2014.40,1906675,24.62,1589060,26.49
2014.41,1906778,30.20,1595165,32.40
2014.42,1906961,34.57,1599577,37.07
2014.43,1906961,37.88,1602490,40.55
2014.44,1906961,40.19,1604612,42.95
2014.45,1906961,42.13,1605356,44.94
2014.46,1906961,43.66,1605356,46.53
2014.47,1906961,44.34,1606115,47.21
2014.48,1906961,45.25,1607110,48.13
2014.49,1906961,45.96,1607110,48.84
2014.50,1906961,46.49,1607110,49.38
2014.51,1906961,46.70,1607110,49.59
2014.52,1906961,46.94,1607110,49.82
2014.53,1906961,47.26,1607110,50.14
2015.01,1906961,47.48,1607632,50.35
2015.02,1906961,47.62,1607632,50.48
2015.03,1906961,47.73,1607632,50.59
2015.04,1906961,47.82,1607632,50.67
2015.05,1906961,47.89,1607632,50.74
2015.06,1906961,47.95,1609046,50.78
2015.07,1906961,47.99,1609046,50.81
2015.08,1906961,48.02,1609046,50.84
2015.09,1906961,48.05,1609046,50.86
2015.10,1906961,48.08,1609046,50.88
2015.11,1906961,48.10,1609401,50.90
2015.12,1906961,48.11,1609401,50.91
2015.13,1906961,48.11,1609914,50.90
2015.14,1906961,48.12,1609914,50.91
2015.15,1906961,48.12,1609914,50.91
2015.16,1906961,48.12,1609914,50.91
2015.17,1906961,48.12,1609914,50.91
2015.18,1906961,48.13,1609914,50.91
2015.19,1906961,48.13,1609914,50.91
2015.20,1906961,48.13,1609914,50.92
2015.21,1906961,48.13,1609914,50.92
2015.22,1906961,48.13,1609914,50.92
2015.23,1906961,48.13,1609914,50.92
2015.24,1906961,48.13,1609914,50.92
2015.25,1906961,48.13,1609914,50.92
2015.26,1906961,48.13,1609914,50.92
2015.27,1906961,48.13,1609914,50.92
2015.28,1906961,48.13,1609914,50.92
2015.29,1906961,48.14,1609914,50.92
