Week,R01.all,R01.allV%,R01.65+,R01.65+V%,R02.all,R02.allV%,R02.65+,R02.65+V%,R03.all,R03.allV%,R03.65+,R03.65+V%,R04.all,R04.allV%,R04.65+,R04.65+V%,R05.all,R05.allV%,R05.65+,R05.65+V%,R06.all,R06.allV%,R06.65+,R06.65+V%,R07.all,R07.allV%,R07.65+,R07.65+V%,R08.all,R08.allV%,R08.65+,R08.65+V%,R09.all,R09.allV%,R09.65+,R09.65+V%,R10.all,R10.allV%,R10.65+,R10.65+V%,USA.all,USA.allV%,USA.65+,USA.65+V%
2012.32,1374103,0.22,833911,0.23,1995145,0.25,1317883,0.26,2061637,0.30,944463,0.36,3848653,0.26,906176,0.37,3393296,0.26,1473242,0.32,1629289,0.22,600026,0.23,540694,0.18,39873,0.18,311208,0.22,36626,0.34,2590432,0.43,1779110,0.50,598667,0.16,202782,0.16,18343124,0.28,8134092,0.34
2012.33,1473648,0.77,1098408,0.79,2090616,0.83,1717526,0.87,2549615,0.91,1448813,1.10,4932722,0.78,2480728,0.99,4250240,0.81,2215856,1.00,2313358,0.63,945801,0.83,878688,0.54,344012,0.64,478493,0.60,175821,0.84,2699945,1.17,2119823,1.29,797224,0.49,363794,0.54,22464549,0.81,12910582,0.99
2012.34,1500293,1.74,1143157,1.83,2096251,1.81,1878661,1.88,2703531,2.03,1850101,2.32,5419273,1.70,3559740,2.05,4537386,1.70,2866004,1.98,2747038,1.35,1515194,1.65,1149323,1.20,537576,1.46,561924,1.38,320802,1.64,2711642,2.45,2247261,2.63,854184,1.15,539509,1.29,24280845,1.74,16458005,2.03
2012.35,1502621,3.49,1216424,3.64,2097121,3.76,1930891,3.91,2724051,4.12,2152808,4.40,5599130,3.56,4309261,3.90,4651744,3.41,3511763,3.67,2916456,2.97,2056018,3.31,1315070,2.60,784941,3.03,657948,2.84,415684,3.38,2718898,4.70,2302010,4.88,879501,2.49,634229,2.74,25062540,3.55,19314029,3.87
2012.36,1503791,6.78,1241796,7.09,2097121,7.58,1943386,7.92,2725162,7.71,2256246,8.14,5659313,6.60,4542772,7.16,4673398,6.60,3705929,7.01,2955855,5.69,2286779,6.18,1371982,5.34,942557,6.12,713312,5.45,491352,6.31,2723066,7.93,2321074,8.27,898212,4.81,695386,5.22,25321212,6.68,20427277,7.19
2012.37,1503791,11.11,1249421,11.67,2097121,12.08,1943386,12.73,2726251,12.14,2290523,12.82,5662355,10.53,4649805,11.36,4676997,10.88,3803630,11.55,2969980,9.32,2357863,10.11,1396105,9.60,1031021,10.80,746346,8.83,525377,10.27,2724489,11.71,2331219,12.30,902369,7.98,725587,8.63,25405804,10.72,20907832,11.52
2012.38,1503791,16.38,1250329,17.34,2097121,17.42,1944193,18.45,2726446,17.09,2302604,18.09,5664305,15.08,4680954,16.30,4678404,16.02,3841044,17.03,2972614,13.40,2395402,14.50,1403909,14.98,1092853,16.55,768856,13.53,556255,15.68,2724785,15.93,2331836,16.81,902369,12.18,738121,13.16,25442600,15.48,21133591,16.63
2012.39,1503791,22.91,1250329,24.43,2097121,23.67,1944830,25.16,2726446,23.00,2306982,24.41,5665107,20.63,4695309,22.32,4678959,22.28,3855938,23.78,2974401,18.80,2438355,20.21,1405242,21.65,1128562,23.63,778228,20.17,588929,22.83,2724974,20.76,2331836,22.01,902443,17.40,748891,18.76,25456712,21.30,21289961,22.88
2012.40,1503791,28.68,1250329,30.67,2097121,29.35,1944830,31.26,2726446,28.80,2307928,30.64,5665254,26.05,4700925,28.22,4678959,28.36,3862711,30.36,2974648,24.14,2454818,25.97,1405451,28.23,1159196,30.52,781238,26.74,613497,29.59,2724974,25.35,2333591,26.92,902826,22.80,757374,24.51,25460708,26.92,21385199,28.92
2012.41,1503791,34.41,1251436,36.87,2097121,34.43,1944830,36.70,2726446,33.92,2307928,36.13,5665254,30.87,4704364,33.44,4678959,33.66,3866570,36.08,2974648,28.78,2460423,30.98,1405699,33.94,1173942,36.43,781822,32.16,631358,35.09,2724974,29.40,2335756,31.24,902826,27.76,760182,29.85,25461540,31.91,21436789,34.27
