obs. SSE, season SSE
  0.000,  39.731
  0.001,  38.815
  0.001,  30.878
  0.001,  19.189
  0.001,  17.613
  0.038,  44.086
  0.014,  673.543
  0.033,  493.302
  0.040,  590.088
  0.071,  358.873
  0.098,  162.333
  0.118,  133.122
  0.124,  142.942
  0.230,  95.056
  0.081,  70.471
  0.198,  38.800
  0.268,  36.444
  0.218,  34.511
  0.330,  32.533
  0.147,  52.223
  0.351,  30.718
  0.356,  34.032
  0.699,  27.681
  0.440,  39.254
  0.438,  39.727
  0.435,  40.192
  0.604,  35.040
  0.441,  40.810
  0.545,  38.955
  0.917,  34.603
  2.031,  27.820
  3.637,  17.442
  6.050,   8.142
  6.246,   9.901
  6.241,   9.215
  6.586,   7.858
  6.646,   7.390
  6.705,   7.344
  6.712,   7.565
  6.672,   7.373
  6.516,   7.205
  6.925,   7.597
  6.886,   7.500
  6.884,   7.479
  6.798,   7.346
  6.780,   7.287
  6.787,   7.256
  6.751,   7.156
  6.713,   6.955
  6.892,   7.197
  7.071,   7.222
  7.311,   7.311
