obs. SSE, season SSE
  0.000,  26.423
  0.000,  30.197
  0.000,  27.585
  0.000,  53.004
  0.002,  29.315
  0.000,  968.225
  0.001,  589.905
  0.003,  414.156
  0.008,  475.634
  0.027,  272.655
  0.039,  184.130
  0.051,  128.500
  0.072,  113.599
  0.124,  75.280
  0.011,  62.883
  0.019,  45.777
  0.195,  27.296
  0.109,  23.035
  0.091,  36.553
  0.069,  43.799
  0.303,  13.826
  0.451,  12.468
  0.266,  21.183
  0.327,  28.355
  0.343,  30.730
  0.359,  30.093
  0.389,  27.286
  0.465,  23.558
  0.902,  18.164
  1.390,  10.247
  1.749,   4.348
  2.284,   4.023
  2.493,   9.556
  2.346,   4.940
  2.552,   5.037
  2.717,   3.677
  2.743,   3.448
  2.795,   3.367
  2.870,   3.437
  2.808,   3.248
  2.819,   3.272
  2.846,   3.279
  2.868,   3.245
  2.899,   3.346
  2.802,   3.163
  2.886,   3.266
  2.908,   3.243
  2.953,   3.225
  3.026,   3.279
  3.024,   3.190
  3.115,   3.193
  3.167,   3.167
